player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Denzel Ward,49558,CB,CLV,2,5,,2.5,8,0,39.6,0,2,0,0,0,0.0
Isaiah Oliver,50393,CB,ATL,2,8,,4.0,2,0,39.6,0,2,0,0,0,0.0
Chuck Clark,11941,S,BLT,1,3,,3.0,3,0,39.6,0,1,0,0,0,0.0
Terrence Brooks,8714,S,NE,2,12,,12.0,19,0,39.6,0,1,0,0,0,0.0
Dominique Rodgers-Cromartie,4330,CB,WAS,1,1,,1.0,32,0,39.6,0,1,0,0,0,0.0
Damarious Randall,9463,S,CLV,1,5,,5.0,8,0,39.6,0,1,0,0,0,0.0
Bradley Roby,8666,CB,HST,2,35,,17.5,13,0,39.6,0,2,0,0,0,0.0
C.J. Mosley,8652,LB,NYJ,1,1,,1.0,22,0,39.6,0,1,0,0,0,0.0
Ross Cockrell,8744,CB,CAR,1,1,,1.0,5,0,39.6,0,1,0,0,0,0.0
Eric Kendricks,9478,LB,MIN,2,3,,3.0,18,0,39.6,0,1,0,0,0,0.0
Jaquiski Tartt,9479,S,SF,2,17,,17.0,28,0,39.6,0,1,0,0,0,0.0
Malik Hooker,11770,S,IND,1,1,,1.0,14,1,0.0,0,1,0,0,0,0.0
Ronnie Harrison,49206,S,JAX,1,3,,3.0,15,0,39.6,0,1,0,0,0,0.0
Eric Murray,10740,CB,CLV,2,9,,9.0,8,0,39.6,0,1,0,0,0,0.0
A.J. Bouye,8110,CB,JAX,1,3,,1.5,15,0,39.6,0,2,0,0,0,0.0
Matt Milano,11918,LB,BUF,2,6,,3.0,4,0,39.6,0,2,0,0,0,0.0
Marcus Maye,11794,S,NYJ,2,8,,8.0,22,0,39.6,0,1,0,0,0,0.0
Duron Harmon,7872,S,NE,1,2,,2.0,19,0,39.6,0,1,0,0,0,0.0
Desmond Trufant,7803,CB,ATL,1,3,,3.0,2,0,39.6,0,1,0,0,0,0.0
Jourdan Lewis,11846,CB,DAL,2,30,,30.0,9,0,39.6,0,1,0,0,0,0.0
Vernon Hargreaves III,10645,CB,TB,2,3,,3.0,30,0,39.6,0,1,0,0,0,0.0
Johnathan Joseph,2969,CB,HST,2,4,,4.0,13,0,39.6,0,1,0,0,0,0.0
Neville Hewitt,9836,LB,NYJ,1,10,,5.0,22,0,39.6,0,2,0,0,0,0.0
Sidney Jones,11798,CB,PHI,1,4,,4.0,24,0,39.6,0,1,0,0,0,0.0
Jackrabbit Jenkins,7043,CB,NYG,2,12,,6.0,21,0,39.6,0,2,0,0,0,0.0
Mackensie Alexander,10688,CB,MIN,1,13,,13.0,18,0,39.6,0,1,0,0,0,0.0
Deion Jones,10686,LB,ATL,1,7,,7.0,2,0,39.6,0,1,0,0,0,0.0
Nicholas Morrow,51674,LB,OAK,2,6,,6.0,23,0,39.6,0,1,0,0,0,0.0
John Johnson III,11847,S,LA,2,14,,14.0,26,0,39.6,0,1,0,0,0,0.0
Desmond King II,11906,CB,LAC,2,42,42.0,42.0,27,0,79.2,1,1,0,3,8,0.07
D.J. Hayden,7793,CB,JAX,2,49,24.5,12.3,15,0,76.0,2,4,0,31,1,0.63
Grant Haley,50473,CB,NYG,2,40,20.0,13.3,21,0,88.2,2,3,0,22,19,0.55
Anthony Averett,50365,CB,BLT,2,18,18.0,6.0,3,0,63.2,1,3,0,24,8,1.33
Jason McCourty,5127,CB,NE,2,18,18.0,4.5,19,0,39.6,1,4,0,3,0,0.17
Tramaine Brock Sr.,5903,CB,ARZ,2,53,17.7,7.6,1,0,69.3,3,7,0,53,8,1.0
Brian Poole,11052,CB,NYJ,2,53,17.7,6.6,22,0,45.8,3,8,0,12,5,0.23
Jaylon Smith,10668,LB,DAL,2,16,16.0,16.0,9,0,104.2,1,1,0,9,2,0.56
Nickell Robey-Coleman,8483,CB,LA,2,61,15.3,10.2,26,0,76.4,4,6,0,27,2,0.44
Rashaan Melvin,8334,CB,DET,2,15,15.0,5.0,11,0,54.9,1,3,0,18,1,1.2
Minkah Fitzpatrick,51206,S,MIA,2,15,15.0,15.0,17,0,118.8,1,1,1,3,1,0.2
Kevin Johnson,9449,CB,BUF,1,15,15.0,7.5,4,0,95.8,1,2,0,33,3,2.2
B.W. Webb,7896,CB,CIN,2,29,14.5,14.5,7,0,102.1,2,2,0,17,16,0.59
Tramon Williams,3558,CB,GB,2,58,14.5,7.3,12,0,84.4,4,8,0,78,75,1.34
Emmanuel Moseley,50430,CB,SF,2,28,14.0,14.0,28,0,102.1,2,2,0,17,17,0.61
Patrick Chung,4957,S,NE,2,14,14.0,14.0,19,0,79.2,1,1,0,1,2,0.07
M.J. Stewart,49397,CB,TB,2,55,13.8,6.1,30,0,98.4,4,9,1,48,21,0.87
Kenny Moore II,51596,CB,IND,2,40,13.3,13.3,14,0,105.6,3,3,0,28,11,0.7
Tyrann Mathieu,7850,S,KC,2,13,13.0,13.0,16,0,79.2,1,1,0,-2,2,-0.15
Jamar Taylor,7835,CB,SEA,1,13,13.0,3.3,29,0,39.6,1,4,0,11,1,0.85
Budda Baker,11791,S,ARZ,2,26,13.0,8.7,1,0,70.1,2,3,0,3,7,0.12
Landon Collins,9466,S,WAS,2,12,12.0,12.0,32,0,83.3,1,1,0,4,8,0.33
Malcolm Jenkins,4937,S,PHI,2,24,12.0,12.0,24,0,100.0,2,2,0,16,14,0.67
K'Waun Williams,9332,CB,SF,2,33,11.0,6.6,28,0,99.6,3,5,0,57,37,1.73
Rodney McLeod,7271,S,PHI,2,11,11.0,11.0,24,0,118.8,1,1,0,19,1,1.73
Jonathan Jones,11217,CB,NE,2,52,10.4,6.5,19,0,76.6,5,8,0,43,23,0.83
Kevin Byard,10698,S,TEN,2,10,10.0,10.0,31,0,118.8,1,1,1,3,0,0.3
Vontaze Burfict,7280,LB,OAK,2,10,10.0,10.0,23,0,100.0,1,1,0,8,11,0.8
Anthony Barr,8644,LB,MIN,2,10,10.0,10.0,18,0,95.8,1,1,0,7,4,0.7
