team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
BLT,3,10,343,7,38,343,90.8,54,9
KC,16,11,446,17,51,446,89.9,79,11
ARZ,1,11,447,5,77,447,88.8,91,9
NO,20,10,397,17,62,397,88.3,86,7
OAK,23,10,336,9,50,336,87.6,71,12
BUF,4,10,388,16,62,388,87.1,89,11
NE,19,10,425,15,76,425,86.7,102,11
DEN,10,10,362,11,56,362,86.6,82,15
DAL,9,10,390,25,74,390,86.0,104,5
WAS,32,10,336,10,59,336,85.6,83,14
PIT,25,10,368,14,74,368,85.6,97,9
TB,30,10,461,23,76,461,85.4,117,18
HST,13,10,398,13,77,398,85.2,104,14
ATL,2,10,444,22,77,444,85.2,115,16
TEN,31,10,357,17,48,357,85.0,86,21
GB,12,10,384,12,76,384,84.9,102,14
CHI,6,10,387,20,82,387,84.8,110,8
PHI,24,10,392,19,78,392,84.3,110,13
MIN,18,11,352,13,70,352,84.2,97,14
CLV,8,10,378,7,83,378,84.1,105,15
SF,28,10,343,16,72,343,84.0,99,11
DET,11,10,402,16,91,402,83.5,120,13
JAX,15,10,418,12,97,418,83.4,124,15
NYG,21,10,442,18,88,442,83.3,127,21
IND,14,10,367,20,82,367,83.1,113,11
SEA,29,10,381,15,90,381,82.0,121,16
CIN,7,10,442,13,97,442,81.7,136,26
NYJ,22,10,360,19,81,360,80.8,119,19
CAR,5,10,413,18,94,413,80.6,136,24
LA,26,10,397,17,115,397,80.1,145,13
LAC,27,11,443,39,100,443,79.8,159,20
MIA,17,10,421,30,98,421,79.6,150,22
