player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kyler Murray,38334,QB,ARZ,3,70.2,124,137,8.0,2.6,4,3,2.1,61.3,84,0,47,3.4,158,3,39,1,89.1,61.3,57.2,75.2,0,3,166,0,34.0,79.0,10.1,16,5,1,8,4,4,2.4,830,6.1
Andy Dalton,6187,QB,CIN,3,75.2,117,130,7.9,2.51,7,3,2.2,62.3,81,0,47,8.0,141,7,41,7,38.4,58.4,60.7,37.0,2,3,149,2,23.4,88.6,7.8,11,0,1,3,5,4,2.7,979,7.5
Case Keenum,7323,QB,WAS,3,78.6,117,124,6.9,2.48,0,4,2.9,69.4,86,0,47,6.5,131,6,48,32,23.6,45.6,49.0,33.2,4,3,147,1,12.8,100.0,4.6,6,1,2,1,7,9,6.1,933,7.5
Matt Ryan,4317,QB,ATL,3,75.8,120,123,8.9,2.58,0,4,3.0,72.4,89,0,46,2.2,131,2,49,2,87.8,70.2,69.3,59.2,1,6,144,0,10.9,95.2,3.8,5,3,0,2,8,7,4.9,928,7.5
Carson Wentz,10636,QB,PHI,3,73.9,111,118,10.4,2.63,3,8,6.3,61.0,72,0,42,12.2,129,10,34,24,87.9,86.1,83.3,70.9,1,2,139,0,16.7,91.2,5.4,7,3,0,3,6,4,2.9,803,6.8
Philip Rivers,1725,QB,LAC,3,78.7,108,116,9.9,2.82,2,7,5.6,66.4,77,0,52,9.4,130,8,46,27,62.9,73.8,73.6,57.2,1,2,139,1,19.2,98.5,7.7,10,4,0,5,5,5,3.6,944,8.1
Patrick Mahomes,11765,QB,KC,3,78.7,108,114,9.3,2.45,1,11,8.5,71.9,82,1,27,3.5,118,3,46,16,27.5,81.9,83.2,39.3,1,0,136,2,11.1,134.9,2.5,3,1,0,4,10,3,2.2,1195,10.5
Joe Flacco,4332,QB,DEN,3,78.2,101,110,6.2,2.41,3,3,2.6,69.1,76,0,45,3.8,123,3,43,10,62.1,70.7,68.6,67.0,3,2,131,0,24.4,87.4,8.9,11,1,1,2,2,3,2.3,773,7.0
Baker Mayfield,46518,QB,CLV,3,66.7,99,109,9.2,2.78,3,5,4.1,56.9,62,2,46,6.1,121,4,34,8,62.8,71.3,72.9,44.8,1,5,135,3,23.9,70.3,9.1,11,0,1,5,3,4,3.0,805,7.4
Matthew Stafford,4924,QB,DET,3,71.7,99,107,11.8,2.69,0,4,3.6,62.6,67,0,45,5.6,116,4,42,11,60.7,73.4,72.3,61.8,0,2,120,1,6.7,97.5,2.6,3,5,2,6,6,4,3.3,831,7.8
Tom Brady,698,QB,NE,3,77.6,98,106,8.1,2.32,0,9,7.8,67.9,72,0,28,5.3,109,4,43,19,86.5,91.4,90.5,66.6,1,0,119,1,10.7,116.5,2.8,3,0,0,7,7,0,0.0,911,8.6
Jared Goff,10635,QB,LA,3,75.3,97,105,8.3,2.85,0,2,1.8,62.9,66,0,48,9.6,115,7,39,26,63.0,69.9,69.9,54.1,3,3,124,0,12.5,84.5,5.2,6,3,0,5,4,6,4.8,737,7.0
Russell Wilson,7077,QB,SEA,3,80.4,97,105,9.9,2.55,1,8,6.9,71.4,75,0,37,3.8,119,3,42,29,87.7,85.5,80.4,81.6,0,0,132,1,21.6,119.6,6.7,8,6,1,6,7,0,0.0,901,8.6
Mitchell Trubisky,11757,QB,CHI,3,72.3,101,103,7.6,2.53,1,3,2.6,65.0,67,0,38,8.2,114,6,33,6,86.7,47.2,49.0,54.2,1,2,125,2,21.1,81.3,7.0,8,3,0,0,3,3,2.4,579,5.6
Josh Allen,46601,QB,BUF,3,81.3,91,103,9.1,3.13,1,2,1.8,64.1,66,1,48,10.8,121,8,40,4,27.9,60.1,64.3,45.2,2,3,129,2,10.4,83.4,4.1,5,13,1,8,3,7,5.4,750,7.3
Lamar Jackson,46416,QB,BLT,3,71.7,92,100,11.5,3.01,3,6,5.7,63.0,63,0,38,4.5,116,3,47,3,87.9,71.1,68.7,69.6,1,0,124,1,15.8,113.9,5.2,6,10,0,4,7,3,2.4,863,8.6
Jameis Winston,9434,QB,TB,3,67.4,92,98,11.7,2.77,1,6,5.8,60.2,59,0,50,4.8,114,3,37,30,36.9,53.7,58.1,44.6,1,4,120,3,20.0,85.5,8.8,10,6,1,3,5,8,6.7,782,8.0
Derek Carr,8671,QB,OAK,3,80.9,94,98,6.7,2.53,2,4,4.0,73.5,72,0,29,5.3,108,4,38,23,57.5,72.2,71.5,57.6,0,3,110,0,24.1,93.9,6.5,7,3,0,2,4,3,2.7,699,7.1
Aaron Rodgers,2241,QB,GB,3,74.1,81,94,9.2,2.95,0,5,5.1,61.7,58,0,43,3.3,102,2,30,12,57.6,74.4,75.0,59.5,2,0,108,3,16.3,96.6,6.9,7,1,0,11,4,2,1.9,653,6.9
Dak Prescott,10769,QB,DAL,3,81.7,93,94,10.4,2.78,0,5,4.9,74.5,70,0,21,7.9,99,6,45,9,86.1,90.4,86.0,82.5,0,2,107,0,9.5,128.0,2.0,2,3,0,1,9,4,3.7,920,9.8
Deshaun Watson,11767,QB,HST,3,74.4,90,93,10.7,3.06,0,10,10.1,65.6,61,0,56,9.0,114,6,39,13,30.0,83.8,79.2,78.9,0,1,120,0,21.4,108.6,10.5,12,8,0,3,6,4,3.3,778,8.4
Jacoby Brissett,10725,QB,IND,3,78.4,88,92,6.0,2.66,0,2,2.0,71.7,66,0,28,4.3,104,3,34,14,29.5,61.5,61.5,59.4,0,1,111,3,21.4,112.0,5.8,6,6,1,3,7,3,2.7,646,7.0
Marcus Mariota,9435,QB,TEN,3,71.3,87,92,8.5,3.0,0,3,3.1,60.9,56,0,43,9.7,118,6,33,31,37.3,62.8,58.3,73.9,0,0,126,1,39.5,99.3,14.4,17,9,2,3,4,5,4.0,706,7.7
Eli Manning,1722,QB,NYG,2,75.3,77,89,8.1,2.59,3,3,3.3,62.9,56,0,19,3.4,92,2,29,21,28.3,63.3,62.1,62.6,3,2,95,1,10.5,78.7,2.2,2,1,0,6,2,5,5.3,556,6.2
Cam Newton,6153,QB,CAR,2,66.3,80,89,9.5,2.25,1,0,0.0,56.2,50,0,27,5.7,96,3,29,5,55.4,48.5,53.6,29.2,5,1,99,0,18.5,71.0,5.2,5,1,1,2,0,4,4.0,572,6.4
Gardner Minshew,41401,QB,JAX,3,81.4,86,88,6.7,2.76,1,6,6.2,73.9,65,0,38,7.1,104,5,30,15,30.1,77.1,75.6,64.9,0,1,113,0,13.2,110.6,4.8,5,10,0,1,5,3,2.7,692,7.9
Jimmy Garoppolo,8697,QB,SF,3,80.2,81,84,7.2,2.39,1,2,2.2,69.0,58,0,21,10.8,88,7,35,28,85.6,74.3,72.6,68.3,0,4,98,1,9.5,96.3,2.3,2,2,0,2,5,2,2.0,739,8.8
Kirk Cousins,7102,QB,MIN,3,76.9,52,63,8.7,3.11,2,2,2.8,58.7,37,0,36,7.5,69,3,21,18,23.3,49.6,54.2,37.6,1,2,78,1,5.6,87.1,2.9,2,4,0,8,3,5,6.4,505,8.0
Ben Roethlisberger,1732,QB,PIT,2,66.7,60,62,9.3,2.55,2,1,1.4,56.5,35,0,16,12.5,65,5,14,25,45.0,49.0,49.5,58.3,0,1,74,0,12.5,66.0,3.1,2,1,0,0,0,3,4.1,351,5.7
Josh Rosen,35460,QB,MIA,3,57.4,54,60,12.3,2.83,4,3,4.8,43.3,26,0,31,16.1,70,5,15,17,82.7,53.4,55.2,48.2,1,2,72,0,22.6,45.3,10.0,7,3,0,1,0,3,4.2,302,5.0
Teddy Bridgewater,8667,QB,NO,2,75.5,53,57,5.1,2.8,0,0,0.0,63.2,36,0,24,10.0,63,4,18,20,46.6,47.6,46.3,64.8,1,0,74,1,8.3,91.4,3.2,2,4,0,3,2,4,5.4,342,6.0
Ryan Fitzpatrick,2467,QB,MIA,3,60.4,48,52,12.4,2.92,2,0,0.0,51.9,27,0,26,6.9,61,2,16,17,81.9,60.1,57.2,73.0,2,4,64,0,23.1,44.0,9.8,6,2,0,0,1,2,3.1,303,5.8
Drew Brees,802,QB,NO,2,84.1,44,48,8.1,2.52,0,0,0.0,72.9,35,0,11,5.4,49,2,21,20,80.4,91.0,90.1,,0,2,50,0,9.1,94.8,2.0,1,0,2,2,2,1,2.0,408,8.5
