player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kyler Murray,38334,QB,ARZ,4,2.69,2.48,4.02,4.09,195,1,71.2,104,109,5.5,1.8,2,0,0.0,65.1,71,15,4.1,112,57.4,3,26,,,,85.9,44.2,81.1,45.1,,,,0,3,115,20.0,71.2,2.7,3,0,0,3,2,3,2.6,529,4.9,73.5,49,59,11.7,3.9,2,3,4.7,59.3,35,46,2.8,83,42.6,1,26,,,,84.3,77.9,80.2,74.7,,71.6,,0,1,91,37.0,94.0,20.5,17,7,0,8,2,1,1.1,542,9.2
Matt Ryan,4317,QB,ATL,4,2.66,2.55,3.18,5.72,191,2,82.6,86,87,6.8,1.95,1,1,1.0,81.6,71,26,0.0,91,47.6,0,38,,,,85.0,75.1,80.6,73.7,,,,0,2,101,15.4,107.8,4.4,4,0,0,0,4,3,3.0,738,8.5,72.0,82,89,10.9,3.32,0,5,5.3,59.6,53,43,10.2,100,52.4,6,29,,,,56.1,64.0,80.8,62.3,,67.3,,1,4,106,14.0,75.4,6.0,6,5,0,6,4,6,5.7,587,6.6
Andy Dalton,6187,QB,CIN,4,2.5,2.37,3.47,6.7,186,7,76.6,94,99,4.9,1.89,5,2,1.9,66.7,66,20,8.3,103,55.4,6,30,,,,28.6,56.2,80.9,56.2,,,,0,2,109,20.0,77.4,3.9,4,0,0,0,1,5,4.6,589,5.9,66.1,59,67,11.6,3.27,2,2,2.8,53.7,36,44,7.7,83,44.6,3,20,,,,83.8,63.3,80.0,63.3,,58.3,,2,2,87,34.1,89.2,18.1,15,1,0,4,4,2,2.3,561,8.4
Jared Goff,10635,QB,LA,4,2.69,2.62,3.2,6.0,185,26,84.9,73,76,5.0,1.9,2,1,1.2,78.9,60,28,3.2,77,41.6,2,30,,,,83.6,75.7,79.8,74.2,,,,1,2,82,3.6,109.5,1.3,1,0,0,0,5,2,2.4,581,7.6,68.6,86,97,10.4,3.27,1,4,3.7,52.6,51,52,13.6,107,57.8,8,36,,,,32.6,57.9,81.2,58.7,,52.0,,4,4,119,13.5,61.1,6.5,7,3,0,6,1,7,5.9,673,6.9
Patrick Mahomes,11765,QB,KC,4,2.69,2.58,3.47,5.02,165,16,80.6,72,74,4.7,1.81,1,2,2.6,77.0,57,11,1.7,74,44.8,1,26,,,,83.2,73.4,79.6,72.2,,,,1,0,78,0.0,108.5,0.0,0,0,0,0,3,0,0.0,510,6.9,71.8,71,82,14.9,3.4,0,11,11.6,59.8,49,31,3.9,91,55.2,2,39,,,,29.4,85.7,80.8,82.6,,71.4,,1,0,106,9.7,131.1,3.3,3,6,0,10,7,3,2.8,1000,12.2
Philip Rivers,1725,QB,LAC,4,2.8,2.7,2.92,5.98,161,27,91.5,47,49,3.8,1.97,2,1,1.9,83.7,41,10,4.7,50,31.1,2,20,,,,80.8,72.0,78.2,70.9,,,,0,1,53,10.0,118.5,2.0,1,0,0,0,4,2,3.8,389,7.9,74.4,90,97,12.4,3.17,0,7,6.8,61.9,60,51,10.4,111,68.9,7,41,,,,58.5,87.6,81.2,86.3,,57.2,,1,1,118,19.6,96.8,9.0,10,4,0,6,3,3,2.5,865,8.9
Aaron Rodgers,2241,QB,GB,4,2.87,2.74,3.79,4.85,160,12,77.3,75,77,5.1,1.68,0,2,2.4,72.7,56,11,3.4,77,48.1,2,25,,,,83.6,72.2,79.8,71.0,,,,0,1,82,0.0,92.2,0.0,0,0,0,2,2,1,1.2,485,6.3,69.1,55,69,13.7,3.98,0,6,8.2,52.2,36,56,5.3,83,51.9,2,27,,,,27.8,78.9,80.1,76.2,,69.5,,2,0,89,14.3,100.5,9.6,8,6,0,12,4,3,3.4,590,8.6
Joe Flacco,4332,QB,DEN,4,2.42,2.35,3.34,5.4,160,10,77.6,85,92,6.7,2.0,3,3,3.2,66.3,61,26,7.6,95,59.4,5,35,,,,53.2,67.1,80.4,66.3,,,,4,2,97,11.5,87.3,3.2,3,0,0,0,4,3,3.1,541,5.9,77.1,48,55,7.2,3.1,1,2,3.3,67.3,37,31,0.0,64,40.0,0,23,,,,82.6,70.0,79.3,68.3,,63.3,,1,1,71,25.8,97.2,12.5,8,1,0,5,1,1,1.4,535,9.7
Carson Wentz,10636,QB,PHI,4,2.61,2.46,4.49,4.74,158,24,74.1,81,82,6.8,1.88,1,1,1.2,63.4,52,16,13.3,82,51.9,8,22,,,,83.9,65.6,80.0,65.0,,,,0,0,86,0.0,87.4,0.0,0,0,0,0,3,1,1.2,399,4.9,71.4,56,63,14.2,3.44,2,8,11.4,57.1,36,36,10.0,75,47.5,4,24,,,,83.7,92.8,79.8,93.3,,46.6,,2,2,83,19.4,105.5,9.3,7,5,0,3,6,3,3.6,564,9.0
Jameis Winston,9434,QB,TB,4,2.69,2.48,4.23,4.62,156,30,72.3,65,67,6.2,1.87,1,1,1.4,70.1,47,15,0.0,69,44.2,0,31,,,,82.7,53.9,79.3,54.2,,,,1,1,72,13.3,104.2,2.9,2,0,0,0,4,3,4.2,482,7.2,67.2,64,71,15.9,3.34,1,6,8.1,56.3,40,49,7.0,87,55.8,3,28,,,,51.3,71.0,0.0,71.8,,58.6,,2,4,90,20.4,89.2,11.5,10,6,0,4,5,6,6.7,685,9.6
