player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Terrell Suggs,1326,ED,ARZ,3,2,0,100.0,0,1,1,50.2,69.4,15.5,73.4,68.6,78.3,1,9,0,15,0.0,0,0,2,118.8,1,2,2,0,5,160,158,0,1,157,0,0,2,94,61,0,6,6,1,12,0,15,6,15.0
Thomas Davis Sr.,2231,LB,LAC,3,6,0,70.6,0,0,27,49.4,47.3,0.0,60.9,55.0,66.2,0,1,0,20,6.5,2,0,1,103.1,12,1,165,0,98,182,3,0,0,3,0,3,179,8,76,11,9,23,17,2,1,92,51,7.7
Lorenzo Alexander,2476,ED,BUF,3,1,2,100.0,0,1,4,49.2,67.1,80.0,69.4,63.1,77.4,0,5,0,6,0.0,0,0,0,91.7,1,2,18,0,8,73,54,0,1,53,0,1,19,54,11,0,4,4,1,7,0,6,4,6.0
Johnathan Joseph,2969,CB,HST,3,1,0,69.0,0,0,13,58.4,60.4,82.0,,69.7,31.2,0,0,0,34,24.1,7,3,0,104.7,20,0,11,174,146,198,0,0,0,0,0,0,198,0,52,13,7,21,29,0,1,234,71,11.7
Antoine Bethea,3152,S,NYG,3,3,0,80.0,0,0,21,54.6,64.8,80.4,68.4,83.0,90.1,0,0,0,45,0.0,0,0,0,158.3,4,0,47,1,115,212,1,0,0,1,0,151,211,3,94,12,3,17,5,0,1,88,22,22.0
Tramon Williams,3558,CB,GB,3,2,0,57.1,0,0,12,74.2,70.3,0.0,57.2,59.5,82.7,0,0,0,61,0.0,0,1,2,82.1,8,0,10,25,99,137,0,0,0,0,0,1,137,2,36,101,1,3,14,0,0,109,96,13.6
Eric Weddle,3653,S,LA,3,5,0,100.0,0,0,26,71.7,79.4,82.0,68.5,80.3,68.6,0,1,0,16,10.0,2,1,0,95.8,4,0,42,0,99,156,2,0,0,2,0,97,154,2,55,15,6,13,4,1,0,28,32,7.0
Brandon Mebane,3701,DI,LAC,3,2,0,,0,0,27,60.0,50.2,82.3,59.5,50.0,50.5,0,2,0,,11.1,1,0,0,0.0,0,1,0,0,0,93,93,74,19,0,0,0,0,46,47,0,4,6,0,3,0,0,0,
Dominique Rodgers-Cromartie,4330,CB,WAS,2,1,0,85.7,0,0,32,41.5,42.6,77.7,,51.3,32.2,0,0,0,16,25.0,2,0,0,106.0,6,0,4,51,33,62,0,0,0,0,0,0,62,0,29,7,0,5,7,0,0,66,20,11.0
Aqib Talib,4334,CB,LA,3,1,0,46.2,0,0,26,64.8,66.2,81.4,,69.2,45.2,0,0,0,19,20.0,2,1,0,63.0,6,0,11,160,127,189,0,0,0,0,0,0,189,0,62,18,1,7,13,0,0,70,13,11.7
