player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jamison Crowder,9538,WR,NYJ,1,2.1,1,93.3,,0,0,0,6.7,1,6,22,0,64.7,73.2,72.7,,70.7,0.0,0,0,19,0.0,0,49,0,14,93.9,46,83.7,41,94.2,15,0,16.3,8,99,70,5.0,7.1,2.15
Evan Engram,11778,TE,NYG,1,5.9,1,78.6,50.0,1,2,0,0.0,0,8,21,0,78.7,71.5,90.6,68.7,87.3,48.9,22,0,22,2.2,1,45,0,11,93.3,42,44.4,20,125.0,14,1,6.7,3,116,55,5.0,10.5,2.76
Robert Woods,7822,WR,LA,1,7.3,2,61.5,33.3,1,3,0,11.1,1,3,26,0,54.9,72.4,67.3,62.3,64.5,0.0,0,1,22,2.3,1,43,0,8,90.7,39,60.5,26,43.8,13,0,39.5,17,70,49,6.1,8.8,1.79
Allen Robinson II,8696,WR,CHI,1,14.1,2,53.8,50.0,3,6,0,12.5,1,5,6,0,52.1,69.5,69.5,,67.0,0.0,0,1,27,0.0,0,55,0,7,92.7,51,47.3,26,47.6,13,0,52.7,29,102,21,3.0,14.6,2.0
Michael Thomas,10681,WR,NO,1,9.6,0,76.9,100.0,3,3,0,9.1,1,6,20,0,58.9,71.1,78.3,,77.4,0.0,0,0,24,0.0,0,42,0,10,97.6,41,31.0,13,105.6,13,0,69.0,29,123,26,2.6,12.3,3.0
DeAndre Hopkins,7808,WR,HST,1,13.2,0,61.5,75.0,3,4,0,27.3,3,6,13,0,28.8,70.1,71.5,,72.6,0.0,0,0,38,0.0,0,40,1,8,92.5,37,37.5,15,128.5,13,2,62.5,25,111,29,3.6,13.9,3.0
Danny Amendola,4717,WR,DET,1,9.8,2,58.3,,0,0,0,12.5,1,5,11,0,52.1,69.5,70.4,,69.7,0.0,0,0,47,0.0,0,38,0,7,94.7,36,89.5,34,114.6,12,1,10.5,4,104,43,6.1,14.9,2.89
John Ross,11764,WR,CIN,1,14.1,3,58.3,0.0,0,1,0,30.0,3,6,7,0,28.7,70.1,68.8,,69.8,0.0,0,0,55,0.0,0,49,1,7,93.9,46,34.7,17,142.4,12,2,65.3,32,158,60,8.6,22.6,3.43
Sammy Watkins,8639,WR,KC,1,9.3,3,81.8,100.0,1,1,0,0.0,0,5,16,0,77.3,70.6,91.8,64.9,91.6,2.4,1,0,68,2.4,1,41,0,9,80.5,33,58.5,24,158.3,11,3,39.0,16,198,135,15.0,22.0,6.0
Christian McCaffrey,11763,HB,CAR,1,3.1,0,90.9,100.0,1,1,0,0.0,0,3,5,0,78.0,78.5,83.6,46.3,80.3,0.0,0,0,17,11.6,5,43,0,10,86.0,37,11.6,5,97.3,11,0,14.0,6,81,48,4.8,8.1,2.19
Julio Jones,6158,WR,ATL,1,9.4,1,54.5,0.0,0,4,0,0.0,0,4,2,0,75.6,69.5,65.2,,64.5,0.0,0,1,10,0.0,0,45,0,6,88.9,40,15.6,7,52.5,11,1,84.4,38,31,15,2.5,5.2,0.78
Odell Beckham Jr.,8647,WR,CLV,1,10.4,3,63.6,,0,0,0,0.0,0,3,8,0,77.3,70.6,69.5,,69.3,0.0,0,1,24,0.0,0,50,1,7,88.0,44,20.0,10,44.1,11,0,80.0,40,71,17,2.4,10.1,1.61
Larry Fitzgerald,1724,WR,ARZ,1,13.3,0,72.7,60.0,3,5,0,0.0,0,3,1,0,76.5,70.1,68.0,36.3,67.6,0.0,0,0,45,1.6,1,62,0,8,90.3,56,93.5,58,135.8,11,1,6.5,4,113,17,2.1,14.1,2.02
D.J. Moore,48267,WR,CAR,1,10.4,1,70.0,50.0,1,2,0,0.0,0,5,5,1,75.6,17.7,69.5,,68.5,0.0,0,0,15,0.0,0,42,0,7,97.6,41,9.5,4,92.1,10,0,90.5,38,76,14,2.0,10.9,1.85
Julian Edelman,5156,WR,NE,1,6.9,1,60.0,100.0,1,1,0,14.3,1,4,19,0,75.6,70.9,76.7,,73.5,0.0,0,0,24,0.0,0,40,0,6,92.5,37,72.5,29,86.7,10,0,27.5,11,83,36,6.0,13.8,2.24
Tyler Boyd,10689,WR,CIN,1,7.6,0,80.0,100.0,2,2,0,0.0,0,3,7,0,76.5,70.8,63.5,,62.6,0.0,0,0,14,0.0,0,49,0,8,93.9,46,42.9,21,91.7,10,0,57.1,28,60,7,0.9,7.5,1.3
Cooper Kupp,11824,WR,LA,1,4.4,0,70.0,,0,0,0,0.0,0,3,26,0,75.6,69.5,64.3,,64.5,0.0,0,0,10,0.0,0,40,0,7,92.5,37,70.0,28,79.6,10,0,30.0,12,46,25,3.6,6.6,1.24
KeeSean Johnson,39587,WR,ARZ,1,11.9,0,50.0,0.0,0,1,0,0.0,0,3,1,0,73.4,68.0,57.7,,61.3,0.0,0,1,15,0.0,0,52,2,5,94.2,49,3.8,2,23.3,10,0,96.2,50,46,4,0.8,9.2,0.94
Donte Moncrief,8725,WR,PIT,1,9.9,0,30.0,0.0,0,5,0,25.0,1,0,25,0,36.2,65.8,42.3,,46.9,0.0,0,0,3,0.0,0,48,1,3,91.7,44,50.0,24,39.6,10,0,50.0,24,7,4,1.3,2.3,0.16
George Kittle,11901,TE,SF,1,4.3,1,80.0,100.0,2,2,0,0.0,0,4,28,0,78.0,71.1,93.1,73.5,91.4,62.5,20,0,19,12.5,4,32,0,8,71.9,23,18.8,6,89.2,10,0,15.6,5,54,47,5.9,6.8,2.35
Christian Kirk,47546,WR,ARZ,1,11.7,0,40.0,0.0,0,2,0,0.0,0,4,1,0,73.4,74.7,64.0,,62.3,0.0,0,0,10,0.0,0,58,0,4,91.4,53,89.7,52,48.8,10,0,10.3,6,32,11,2.8,8.0,0.6
Tarik Cohen,11874,HB,CHI,1,4.1,1,80.0,100.0,3,3,0,11.1,1,2,6,0,56.7,76.8,62.2,,62.2,0.0,0,0,9,0.0,0,43,0,8,93.0,40,81.4,35,87.1,10,0,14.0,6,49,25,3.1,6.1,1.23
Keenan Allen,7857,WR,LAC,1,11.6,1,80.0,100.0,1,1,0,11.1,1,5,27,0,54.5,70.1,73.1,,72.2,0.0,0,1,28,0.0,0,39,0,8,92.3,36,56.4,22,111.7,10,1,43.6,17,123,28,3.5,15.4,3.42
DeSean Jackson,4363,WR,PHI,1,15.6,0,88.9,,0,0,0,11.1,1,6,24,0,54.5,70.1,88.0,,88.7,0.0,0,0,53,0.0,0,31,1,8,100.0,31,48.4,15,158.3,9,2,51.6,16,154,18,2.3,19.3,4.97
T.J. Hockenson,40912,TE,DET,1,18.2,0,66.7,,0,0,0,0.0,0,4,11,0,74.6,68.8,82.5,74.7,83.7,33.3,14,0,39,7.1,3,42,0,6,90.5,38,59.5,25,146.8,9,1,7.1,3,131,50,8.3,21.8,3.45
Austin Hooper,10715,TE,ATL,1,5.1,0,100.0,,0,0,0,0.0,0,3,2,0,77.3,70.6,67.3,59.3,66.9,42.6,20,0,16,8.5,4,47,0,9,78.7,37,55.3,26,102.3,9,0,2.1,1,77,31,3.4,8.6,2.08
Kenny Golladay,11851,WR,DET,1,16.7,0,44.4,50.0,2,4,0,20.0,1,3,11,0,45.8,68.0,63.4,,62.6,0.0,0,0,13,0.0,0,52,0,4,96.2,50,17.3,9,95.6,9,1,82.7,43,42,12,3.0,10.5,0.84
T.Y. Hilton,7092,WR,IND,1,7.6,1,88.9,0.0,0,1,0,0.0,0,3,14,0,76.5,70.1,84.7,,83.6,0.0,0,0,19,0.0,0,27,0,8,100.0,27,40.7,11,146.5,9,2,59.3,16,87,44,5.5,10.9,3.22
John Brown,8726,WR,BUF,1,15.3,1,77.8,100.0,2,2,0,0.0,0,7,4,0,75.6,69.5,78.3,,76.6,0.0,0,0,38,0.0,0,40,0,7,92.5,37,52.5,21,155.8,9,1,47.5,19,123,41,5.9,17.6,3.32
Amari Cooper,9437,WR,DAL,1,12.9,0,66.7,0.0,0,1,0,14.3,1,5,9,0,49.2,68.8,77.6,,73.6,0.0,0,0,45,0.0,0,34,1,6,91.2,31,20.6,7,143.8,9,1,79.4,27,106,15,2.5,17.7,3.42
Greg Olsen,3647,TE,CAR,1,7.2,0,44.4,0.0,0,1,0,20.0,1,2,5,0,42.1,67.0,57.3,,55.3,22.5,9,1,14,0.0,0,40,0,4,97.5,39,60.0,24,16.2,9,0,17.5,7,36,18,4.5,9.0,0.92
Darren Waller,9637,TE,OAK,1,6.8,0,87.5,0.0,0,1,0,0.0,0,3,23,0,75.6,69.5,78.7,74.9,77.3,37.0,10,0,25,7.4,2,27,0,7,92.6,25,11.1,3,103.1,8,0,51.9,14,70,32,4.6,10.0,2.8
JuJu Smith-Schuster,11817,WR,PIT,1,8.5,0,75.0,,0,0,0,0.0,0,4,25,0,75.6,69.5,70.8,,69.6,2.1,1,0,26,0.0,0,48,0,6,87.5,42,66.7,32,105.2,8,0,31.3,15,78,24,4.0,13.0,1.86
Cole Beasley,7330,WR,BUF,1,6.5,0,62.5,,0,0,0,28.6,2,2,4,0,29.2,68.0,52.3,,52.9,0.0,0,1,10,0.0,0,36,0,5,94.4,34,91.7,33,35.4,8,0,8.3,3,40,22,4.4,8.0,1.18
Travis Kelce,7844,TE,KC,1,10.9,0,37.5,0.0,0,1,0,25.0,1,2,16,0,45.8,68.0,67.1,73.0,65.9,38.9,14,0,42,8.3,3,36,0,3,72.2,26,30.6,11,79.2,8,0,30.6,11,88,39,13.0,29.3,3.38
Chris Thompson,7936,HB,WAS,1,2.6,0,87.5,,0,0,0,0.0,0,2,32,0,75.6,72.4,64.6,,64.9,5.4,2,0,18,0.0,0,37,0,7,89.2,33,10.8,4,102.1,8,0,8.1,3,68,50,7.1,9.7,2.06
Alvin Kamara,11822,HB,NO,1,0.9,2,87.5,,0,0,0,0.0,0,3,20,0,75.6,75.9,82.0,72.4,76.3,0.0,0,0,41,2.9,1,34,0,7,94.1,32,8.8,3,104.2,8,0,20.6,7,72,66,9.4,10.3,2.25
Mark Andrews,47436,TE,BLT,1,9.4,0,100.0,100.0,1,1,0,0.0,0,6,3,0,76.5,70.1,93.8,,92.8,55.0,11,0,39,0.0,0,20,0,8,90.0,18,40.0,8,158.3,8,1,5.0,1,108,33,4.1,13.5,6.0
Davante Adams,8688,WR,GB,1,7.6,0,50.0,0.0,0,2,0,0.0,0,3,12,0,72.1,67.0,61.6,,64.7,0.0,0,0,11,0.0,0,39,0,4,89.7,35,25.6,10,62.5,8,0,74.4,29,36,21,5.3,9.0,1.03
Courtland Sutton,48164,WR,DEN,1,11.5,3,87.5,100.0,1,1,0,0.0,0,5,10,0,75.6,69.5,86.3,,85.3,0.0,0,0,30,0.0,0,35,0,7,94.3,33,11.4,4,118.8,8,0,88.6,31,120,45,6.4,17.1,3.64
Terry McLaurin,48229,WR,WAS,1,19.7,1,71.4,50.0,1,2,0,0.0,0,4,32,0,74.6,68.8,86.4,,84.7,0.0,0,0,69,0.0,0,44,0,5,90.9,40,15.9,7,153.3,7,1,84.1,37,125,37,7.4,25.0,3.13
Chris Carson,12004,HB,SEA,1,-4.7,4,85.7,,0,0,0,14.3,1,1,29,1,49.2,25.5,60.9,76.1,40.9,0.0,0,0,10,15.0,3,20,0,6,85.0,17,10.0,2,126.5,7,1,5.0,1,34,69,11.5,5.7,2.0
Ted Ginn Jr.,3625,WR,NO,1,12.3,0,100.0,,0,0,0,0.0,0,5,20,0,75.6,69.5,82.3,,80.5,0.0,0,0,41,0.0,0,36,0,7,97.2,35,25.0,9,118.8,7,0,75.0,27,101,15,2.1,14.4,2.89
Michael Gallup,26075,WR,DAL,1,11.6,2,100.0,,0,0,0,0.0,0,5,9,0,75.6,69.5,88.0,,86.1,0.0,0,0,62,0.0,0,30,0,7,93.3,28,13.3,4,118.8,7,0,86.7,26,158,77,11.0,22.6,5.64
Zach Ertz,7816,TE,PHI,1,5.1,0,71.4,100.0,1,1,0,0.0,0,3,24,0,73.4,68.0,73.1,73.2,74.3,44.4,16,0,26,13.9,5,36,0,5,86.1,31,16.7,6,93.8,7,0,38.9,14,54,22,4.4,10.8,1.74
DeVante Parker,9447,WR,MIA,1,23.6,0,42.9,50.0,2,4,0,0.0,0,3,17,0,70.5,65.8,75.5,,77.5,0.0,0,0,49,0.0,0,32,0,3,96.9,31,12.5,4,82.4,7,0,87.5,28,75,3,1.0,25.0,2.42
Rex Burkhead,7971,HB,NE,1,2.1,0,71.4,0.0,0,1,0,0.0,0,2,19,0,73.4,74.3,66.4,,68.5,0.0,0,0,17,0.0,0,23,0,5,95.7,22,4.3,1,86.0,7,0,47.8,11,41,28,5.6,8.2,1.86
Tyrell Williams,10154,WR,OAK,1,18.0,0,85.7,100.0,1,1,0,0.0,0,5,23,0,74.6,68.8,87.6,,86.2,0.0,0,0,43,0.0,0,27,0,6,100.0,27,33.3,9,158.3,7,1,66.7,18,105,26,4.3,17.5,3.89
Vernon Davis,2951,TE,WAS,1,3.4,3,57.1,0.0,0,1,0,0.0,0,1,32,0,73.4,68.0,58.7,72.7,62.5,48.8,20,0,48,7.3,3,41,0,4,82.9,34,34.1,14,124.4,7,1,14.6,6,59,54,13.5,14.8,1.74
Emmanuel Sanders,5606,WR,DEN,1,13.9,0,71.4,0.0,0,1,0,0.0,0,3,10,0,73.4,68.0,69.8,,72.1,0.0,0,0,53,0.0,0,38,1,5,89.5,34,18.4,7,152.4,7,1,81.6,31,86,33,6.6,17.2,2.53
Damiere Byrd,9964,WR,ARZ,1,10.1,1,57.1,0.0,0,1,0,0.0,0,3,1,0,73.4,68.0,61.9,,63.1,0.0,0,0,19,0.0,0,57,1,4,93.0,53,1.8,1,74.7,7,0,98.2,56,42,9,2.3,10.5,0.79
Mike Davis,9559,HB,CHI,1,0.6,0,85.7,,0,0,0,0.0,0,1,6,0,74.6,72.6,59.8,36.7,67.5,0.0,0,0,7,18.2,6,33,0,6,78.8,26,0.0,0,79.2,7,0,3.0,1,17,27,4.5,2.8,0.65
Paul Richardson Jr.,8680,WR,WAS,1,11.7,0,57.1,0.0,0,1,0,20.0,1,2,32,0,41.6,67.0,57.7,,57.4,0.0,0,0,17,0.0,0,38,0,4,94.7,36,23.7,9,71.1,7,0,76.3,29,36,3,0.8,9.0,1.0
