player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Dre Kirkpatrick,7023,CB,CIN,6,0,7,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.6,1,163,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jimmy Smith,6179,CB,BLT,9,0,3,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,1,261,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Joshua Kalu,51203,CB,TEN,3,0,31,0,1,0,0,0,0,,0,0,,0,0,0,0,3.3,1,30,1,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Emmanuel Moseley,50430,CB,SF,15,0,28,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0.3,1,344,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Xavien Howard,10672,CB,MIA,5,0,17,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.7,1,147,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jordan Lucas,10838,S,KC,11,0,16,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,3.3,1,30,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Johnathan Abram,34646,S,OAK,1,0,23,0,2,0,0,0,0,0.0,0,0,,0,0,0,0,8.0,2,25,2,50.0,0,0,2,0,100.0,2,2,50.0,0,0,0,0,0,0
Isaiah Oliver,50393,CB,ATL,16,0,2,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.2,1,544,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Kentrell Brothers,10794,LB,MIN,5,0,18,0,0,0,0,0,0,50.0,1,1,100.0,1,0,0,0,3.2,2,63,1,50.0,0,0,0,0,50.0,1,0,0.0,0,0,0,1,0,0
Darius Phillips,49507,CB,CIN,6,0,7,0,3,0,0,2,1,66.7,2,2,50.0,0,0,0,1,4.1,3,74,3,50.0,0,0,1,0,33.3,1,1,50.0,0,0,0,0,0,0
Alex Brown,28605,CB,KC,1,0,16,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,11.1,1,9,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Orlando Scandrick,4457,CB,PHI,3,0,24,0,1,0,0,0,0,60.0,3,2,66.7,2,2,0,0,8.9,5,56,3,50.0,0,0,1,0,40.0,2,1,25.0,0,0,0,2,2,0
Tre Herndon,50380,CB,JAX,15,0,15,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.2,1,502,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Marshon Lattimore,11766,CB,NO,14,0,20,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.2,1,516,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Eli Apple,10644,CB,NO,15,0,20,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.2,1,592,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
James Bradberry,10696,CB,CAR,15,0,5,0,2,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0.3,2,572,2,50.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
