player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,4,19,19,4.29,44.79,49.0,5.0,0,1,3,2,1,64.9,8,59,1,1,63.2,60,12,19,81.46,851,1,931
Dustin Colquitt,2316,P,KC,6,16,16,4.43,40.06,43.75,4.8,0,0,3,6,16,64.5,6,68,1,0,25.0,19,4,16,70.9,641,2,700
Sam Koch,3148,P,BLT,6,15,15,4.45,41.73,47.2,5.5,0,0,1,7,3,68.9,9,57,0,0,26.7,22,4,15,66.77,626,3,708
Brett Kern,4580,P,TEN,6,40,40,4.26,43.08,47.15,9.5,0,0,4,9,31,91.5,23,70,12,0,32.5,123,13,40,170.26,1723,2,1886
Kevin Huber,5066,P,CIN,6,28,28,4.37,39.96,42.82,5.0,0,0,3,14,7,67.3,10,63,1,0,28.6,40,8,28,122.47,1119,2,1199
Thomas Morstead,5088,P,NO,6,26,26,4.37,43.31,45.92,8.5,0,0,3,13,20,75.8,20,64,2,0,30.8,68,8,26,113.51,1126,0,1194
Britton Colquitt,5192,P,MIN,6,22,22,4.52,42.09,46.41,7.9,0,0,2,7,18,74.7,7,59,1,0,54.5,95,12,22,99.52,926,0,1021
Matt Bosher,6344,P,ATL,3,9,9,4.61,40.78,41.89,5.0,1,0,0,7,2,61.5,2,52,0,0,22.2,10,2,10,41.45,367,0,377
Chris Jones,6798,P,DAL,6,19,19,4.58,38.68,43.0,7.8,0,0,1,7,9,71.8,8,58,2,0,42.1,62,8,19,86.95,735,1,817
Bryan Anger,7072,P,HST,3,10,10,4.42,47.3,47.2,-0.3,0,0,4,3,13,68.3,6,71,0,0,30.0,-1,3,10,44.15,473,0,472
Johnny Hekker,7252,P,LA,6,18,18,4.31,43.5,48.83,10.7,1,0,2,4,26,67.5,4,68,3,0,50.0,96,9,19,77.65,783,0,879
Sam Martin,7947,P,DET,5,24,24,4.23,40.79,43.04,1.8,0,0,5,5,11,55.7,10,55,4,0,33.3,14,8,24,101.45,979,2,1033
Tress Way,8358,P,WAS,6,33,33,4.51,44.85,50.06,8.4,0,0,1,10,32,85.1,15,66,3,0,54.5,152,18,33,148.92,1480,1,1652
Pat O'Donnell,8826,P,CHI,5,26,26,4.26,43.31,47.0,6.3,0,0,4,7,6,66.2,8,75,2,0,46.2,76,12,26,110.84,1126,1,1222
