player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Adam Vinatieri,226,K,IND,2,0,0,0,,2,1,50.0,14,24.7,0,0,,5,2,40.0,0,0,0,,3,1,33.3,1,0,0.0
Matt Bryant,1223,,ATL,1,0,2,1,50.0,0,0,,2,57.2,0,0,,3,3,100.0,0,0,0,,2,1,50.0,0,0,
Robbie Gould,2607,K,SF,2,0,1,0,0.0,1,1,100.0,28,52.9,0,0,,7,7,100.0,0,4,3,75.0,7,5,71.4,1,1,100.0
Stephen Gostkowski,3063,K,NE,2,0,0,0,,2,1,50.0,19,41.9,0,0,,9,7,77.8,0,2,2,100.0,6,5,83.3,2,2,100.0
Matt Prater,3471,K,DET,2,0,1,1,100.0,1,0,0.0,11,53.4,0,0,,5,4,80.0,0,1,1,100.0,3,2,66.7,0,0,
Mason Crosby,3809,K,GB,2,0,0,0,,0,0,,12,65.6,0,0,,4,4,100.0,0,1,1,100.0,1,1,100.0,0,0,
Stephen Hauschka,4655,K,BUF,2,0,0,0,,1,1,100.0,4,67.8,0,0,,6,6,100.0,0,0,0,,1,1,100.0,0,0,
Dan Bailey,6796,K,MIN,2,0,0,0,,1,0,0.0,18,48.9,0,0,,6,5,83.3,0,1,1,100.0,2,1,50.0,0,0,
Randy Bullock,7154,K,CIN,2,0,1,0,0.0,1,0,0.0,7,47.2,0,0,,4,4,100.0,0,2,2,100.0,5,3,60.0,1,1,100.0
Greg Zuerlein,7163,K,LA,2,0,1,1,100.0,2,1,50.0,26,65.9,0,0,,6,6,100.0,0,0,0,,6,5,83.3,3,3,100.0
Justin Tucker,7604,K,BLT,2,0,1,1,100.0,0,0,,3,72.0,0,0,,10,10,100.0,0,2,2,100.0,4,4,100.0,1,1,100.0
Dustin Hopkins,7958,K,WAS,2,0,0,0,,2,2,100.0,32,70.5,0,0,,6,6,100.0,0,0,0,,2,2,100.0,0,0,
Brandon McManus,8437,K,DEN,2,0,1,0,0.0,1,1,100.0,10,53.2,0,0,,1,1,100.0,0,2,2,100.0,6,5,83.3,2,2,100.0
Brett Maher,8585,K,DAL,2,0,0,0,,0,0,,9,67.6,0,0,,9,9,100.0,0,0,0,,1,1,100.0,1,1,100.0
Cairo Santos,8932,K,TEN,2,0,1,1,100.0,2,1,50.0,31,64.0,0,0,,7,7,100.0,0,1,1,100.0,4,3,75.0,0,0,
Chris Boswell,8990,K,PIT,2,0,0,0,,1,1,100.0,25,65.6,1,1,100.0,2,2,100.0,0,1,1,100.0,3,3,100.0,0,0,
Ty Long,9728,K,LAC,2,0,0,0,,2,1,50.0,27,43.5,0,0,,4,4,100.0,0,2,1,50.0,4,2,50.0,0,0,
Josh Lambo,10133,K,JAX,2,0,0,0,,1,1,100.0,15,66.4,0,0,,2,2,100.0,0,2,2,100.0,4,4,100.0,1,1,100.0
Jason Myers,10207,K,SEA,2,0,1,0,0.0,0,0,,29,61.0,0,0,,7,7,100.0,0,0,0,,1,0,0.0,0,0,
Wil Lutz,11096,K,NO,2,0,3,2,66.7,2,2,100.0,20,79.4,0,0,,3,3,100.0,0,2,2,100.0,7,6,85.7,0,0,
Ka'imi Fairbairn,11161,K,HST,2,0,0,0,,0,0,,13,46.5,0,0,,5,5,100.0,0,1,1,100.0,2,2,100.0,1,1,100.0
Aldrick Rosas,11331,K,NYG,2,0,0,0,,1,0,0.0,21,53.3,0,0,,4,4,100.0,0,0,0,,2,1,50.0,1,1,100.0
Sam Ficken,11437,K,NYJ,1,0,0,0,,1,1,100.0,22,61.3,0,0,,0,0,,0,0,0,,1,1,100.0,0,0,
Jake Elliott,11908,K,PHI,2,0,0,0,,1,1,100.0,24,66.4,0,0,,3,3,100.0,0,1,1,100.0,3,3,100.0,1,1,100.0
Zane Gonzalez,11979,K,ARZ,2,0,0,0,,1,1,100.0,1,65.6,0,0,,1,1,100.0,0,1,1,100.0,7,7,100.0,5,5,100.0
Harrison Butker,11988,K,KC,2,0,0,0,,1,1,100.0,16,70.1,0,0,,8,8,100.0,0,1,1,100.0,4,4,100.0,2,2,100.0
Austin Seibert,13701,K,CLV,2,0,0,0,,2,2,100.0,8,55.8,0,0,,4,3,75.0,0,0,0,,3,3,100.0,1,1,100.0
Daniel Carlson,28121,K,OAK,2,0,0,0,,0,0,,23,65.5,0,0,,4,4,100.0,0,0,0,,2,2,100.0,2,2,100.0
Kaare Vedvik,28782,P,NYJ,1,0,0,0,,1,0,0.0,22,29.8,0,0,,1,0,0.0,0,0,0,,1,0,0.0,0,0,
Jason Sanders,29578,K,MIA,1,0,1,1,100.0,0,0,,17,67.2,0,0,,1,1,100.0,0,0,0,,1,1,100.0,0,0,
Joey Slye,39235,K,CAR,2,0,4,3,75.0,1,1,100.0,5,83.0,0,0,,3,3,100.0,0,2,2,100.0,7,6,85.7,0,0,
Eddy Pineiro,44140,K,CHI,2,0,2,2,100.0,1,1,100.0,6,83.1,0,0,,1,1,100.0,0,1,1,100.0,4,4,100.0,0,0,
Matt Gay,57643,K,TB,2,0,0,0,,2,1,50.0,30,55.3,0,0,,4,4,100.0,0,2,2,100.0,4,3,75.0,0,0,
