player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Christian McCaffrey,11763,HB,CAR,4,86,20,4,32.6,134,1,411,0,4,20,257,64.6,10,15,5,0,34,87.6,83.0,85.4,,67.6,89.7,76.3,56.1,76,1,218,25,127,97,0,0,29,111,4,411,257,2.99,4.8,1.72,52
Nick Chubb,45783,HB,CLV,4,78,12,5,38.7,154,0,398,1,4,12,231,51.5,11,14,8,0,35,86.8,79.1,83.4,,90.1,66.0,78.5,60.0,88,0,99,14,88,85,0,0,18,92,4,398,231,2.96,5.1,1.13,38
Derrick Henry,10679,HB,TEN,4,78,16,5,26.9,83,0,309,2,0,16,275,68.0,10,19,31,2,11,31.4,63.9,8.1,,83.0,41.2,67.7,60.1,18,1,97,5,52,88,0,0,8,83,3,309,275,3.53,4.0,1.87,67
Kerryon Johnson,34455,HB,DET,4,74,11,0,0.0,0,0,251,1,3,11,198,46.2,5,15,11,1,39,58.9,63.2,81.1,,73.8,59.1,62.1,60.0,14,0,99,7,71,83,0,0,9,81,1,251,198,2.68,3.4,1.39,34
Ezekiel Elliott,10638,HB,DAL,4,73,8,3,18.5,60,0,324,1,2,8,197,32.1,10,19,9,1,22,59.6,69.2,81.8,,26.8,59.0,73.1,60.0,27,1,63,11,86,85,0,0,13,84,3,324,197,2.7,4.4,0.73,51
Marlon Mack,11898,HB,IND,4,72,12,4,39.1,132,0,338,0,0,12,217,47.6,8,24,14,0,30,85.9,77.7,82.1,,48.8,52.7,80.3,60.0,63,0,26,4,71,85,0,0,5,76,2,338,217,3.01,4.7,0.37,41
Leonard Fournette,11759,HB,JAX,4,72,12,3,43.6,176,1,404,2,4,12,313,79.0,12,17,15,1,42,61.6,54.5,83.8,,60.9,42.4,58.5,60.0,81,1,114,16,118,84,0,0,23,88,0,404,313,4.35,5.6,0.97,27
Dalvin Cook,11796,HB,MIN,4,71,16,7,47.1,193,0,410,3,3,16,254,79.0,9,16,18,0,16,86.0,85.9,12.2,,33.4,52.5,91.0,58.9,75,1,114,15,65,79,0,0,18,86,5,410,254,3.58,5.8,1.75,51
Chris Carson,12004,HB,SEA,4,67,17,5,36.6,96,0,262,1,9,17,207,99.2,9,17,29,3,18,25.5,59.6,84.0,,39.2,69.3,57.2,60.0,22,0,100,14,67,78,0,0,15,81,1,262,207,3.09,3.9,1.49,46
Sony Michel,27589,HB,NE,4,62,3,1,8.8,15,0,171,0,0,3,118,9.2,3,13,19,1,42,50.3,58.9,76.5,,83.1,52.5,58.4,59.8,15,0,0,0,14,74,0,0,0,62,2,171,118,1.9,2.8,0.0,18
Josh Jacobs,45953,HB,OAK,4,62,17,3,27.7,85,0,307,1,4,17,246,128.2,8,16,23,0,22,84.5,80.8,79.0,,53.0,55.7,82.1,60.0,51,0,57,3,44,70,0,0,5,65,2,307,246,3.97,5.0,1.3,39
Frank Gore,2282,HB,BUF,4,61,9,4,38.8,106,0,273,0,0,9,173,39.3,5,15,4,0,42,84.4,68.0,80.7,,68.1,56.2,69.3,58.1,41,0,28,4,50,77,0,0,5,65,2,273,173,2.84,4.5,0.56,19
Alvin Kamara,11822,HB,NO,4,59,23,3,25.0,70,0,280,0,8,23,207,137.7,7,14,20,1,27,85.1,78.0,83.6,,36.1,80.1,75.2,57.6,28,1,199,20,105,74,0,0,24,79,1,280,207,3.51,4.7,1.9,24
Aaron Jones,11937,HB,GB,4,58,12,1,7.9,15,0,189,1,3,12,130,47.4,3,11,12,0,7,84.6,64.7,81.9,,90.0,60.6,62.9,60.0,15,0,81,13,78,62,0,0,16,71,4,189,130,2.24,3.3,1.04,51
David Montgomery,45719,HB,CHI,4,58,10,1,12.5,25,0,200,1,2,10,131,41.1,2,9,6,0,19,84.2,59.5,81.9,,71.1,56.3,59.6,59.4,25,0,61,8,60,67,0,0,12,66,1,200,131,2.26,3.4,1.02,37
Austin Ekeler,12164,HB,LAC,4,56,10,1,8.6,19,0,220,0,10,10,186,83.0,4,15,27,1,28,56.6,86.2,82.7,,54.5,94.1,71.9,59.9,19,0,270,24,98,66,0,0,24,80,3,220,186,3.32,3.9,2.76,25
Le'Veon Bell,7829,HB,NYJ,3,56,15,0,0.0,0,0,163,0,9,15,155,87.4,2,6,22,1,20,55.7,69.0,83.8,,65.8,77.2,63.9,60.0,12,0,121,20,91,62,0,0,20,76,0,163,155,2.77,2.9,1.33,32
Mark Ingram II,6180,HB,BLT,4,55,14,5,37.5,123,0,328,0,1,14,221,97.2,7,17,3,1,35,50.6,76.1,80.5,,90.6,73.2,71.8,55.8,49,0,62,7,53,72,0,0,7,62,5,328,221,4.02,6.0,1.17,20
Phillip Lindsay,12660,HB,DEN,4,54,10,1,13.1,28,0,213,2,3,10,123,44.2,1,11,10,0,29,84.2,67.7,80.2,,6.2,52.3,76.9,59.9,28,0,109,13,69,61,0,0,18,67,2,213,123,2.28,3.9,1.58,24
Peyton Barber,10927,HB,TB,4,53,6,1,8.8,16,0,182,0,3,6,153,44.8,4,9,30,0,33,83.4,64.3,78.1,,60.5,54.4,65.0,60.0,16,0,26,5,33,61,0,0,7,58,2,182,153,2.89,3.4,0.79,20
Carlos Hyde,8692,HB,HST,4,52,7,3,25.2,63,0,250,0,1,7,166,44.8,7,15,13,0,11,83.7,80.6,80.7,,62.3,65.5,80.7,59.7,25,0,8,5,48,62,0,0,6,57,1,250,166,3.19,4.8,0.17,37
Ronald Jones,34001,HB,TB,4,50,12,3,27.8,65,0,234,0,2,12,142,75.0,8,10,30,0,29,83.2,88.0,76.4,,73.7,77.7,83.4,,25,0,71,3,24,52,0,0,3,53,1,234,142,2.84,4.7,2.96,18
Todd Gurley II,9443,HB,LA,4,49,9,4,35.2,77,0,219,3,1,9,163,55.4,5,12,26,0,24,48.6,63.1,82.8,,39.1,38.0,80.0,43.6,25,0,62,11,104,60,0,0,15,60,3,219,163,3.33,4.5,0.6,25
Devonta Freeman,8738,HB,ATL,4,47,9,2,33.1,52,0,157,1,0,9,127,38.0,3,9,2,1,25,51.2,55.8,81.4,,88.6,59.8,51.2,60.0,28,0,133,17,100,52,0,0,20,64,0,157,127,2.7,3.3,1.33,20
David Johnson,9519,HB,ARZ,4,47,4,2,19.1,33,0,173,1,2,4,104,19.5,4,12,1,0,12,84.1,68.1,86.4,,51.8,63.2,71.9,57.8,18,0,182,21,127,65,0,0,28,68,1,173,104,2.21,3.7,1.43,32
Joe Mixon,11803,HB,CIN,4,47,8,1,10.1,15,0,149,0,1,8,115,38.0,5,8,7,0,17,83.4,65.9,6.2,,48.2,65.1,67.1,60.0,15,1,52,11,67,54,0,0,13,58,0,149,115,2.45,3.2,0.78,29
Miles Sanders,40555,HB,PHI,4,45,6,2,27.5,49,0,178,0,0,6,137,35.8,3,6,24,2,18,27.4,54.6,82.4,,54.8,73.0,50.3,60.0,30,0,84,6,50,51,0,0,9,51,0,178,137,3.04,4.0,1.68,24
James Conner,11860,HB,PIT,4,44,5,1,15.1,21,0,139,1,6,5,108,42.9,4,9,25,1,32,49.9,72.0,81.4,,72.2,88.1,60.6,80.8,21,0,153,19,69,52,0,0,20,63,1,139,108,2.45,3.2,2.22,9
Royce Freeman,45747,HB,DEN,4,42,9,1,13.8,26,0,189,1,3,9,146,74.5,6,8,10,0,18,82.6,76.8,82.2,,86.5,68.3,77.9,60.0,26,0,97,14,76,45,0,0,17,56,0,189,146,3.48,4.5,1.28,21
Matt Breida,12271,HB,SF,3,41,6,3,29.6,67,0,226,2,1,6,152,59.0,8,10,28,0,14,82.0,69.6,77.0,,52.7,45.7,73.4,60.0,34,0,31,3,28,44,0,0,5,44,0,226,152,3.71,5.5,1.11,27
Jordan Howard,10784,HB,PHI,4,40,5,3,28.0,52,0,186,2,0,5,134,36.4,6,13,24,0,14,82.0,65.1,80.6,,69.3,49.5,67.5,60.0,19,0,47,6,31,47,0,0,8,46,3,186,134,3.35,4.7,1.52,25
LeSean McCoy,4976,HB,KC,4,40,4,4,53.3,114,0,214,0,0,4,106,21.6,6,12,16,0,12,82.0,65.3,85.3,,35.7,58.4,68.0,60.0,39,1,71,9,57,42,0,0,10,49,2,214,106,2.65,5.4,1.25,28
Saquon Barkley,45791,HB,NYG,3,37,9,2,36.3,86,0,237,1,1,9,109,61.4,8,11,21,1,10,40.9,71.8,80.8,,77.3,44.4,81.3,60.0,59,0,74,11,77,43,0,0,16,48,1,237,109,2.95,6.4,0.96,24
Lamar Jackson,46416,QB,BLT,4,25,10,5,42.4,101,0,144,0,0,5,62,49.6,9,14,3,1,13,71.9,76.4,51.0,75.0,,,68.1,60.3,29,1,0,0,0,117,94,11,0,25,1,238,95,2.64,6.6,,3
Raheem Mostert,9783,HB,SF,3,34,9,3,28.2,57,0,202,0,0,9,128,89.2,8,7,28,1,11,34.3,74.6,78.1,,60.7,83.2,68.4,60.0,20,0,68,4,27,40,0,0,6,38,0,202,128,3.76,5.9,2.52,23
