player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Michael Thomas,10681,WR,NO,7,8.4,5,81.6,85.7,12,14,1,6.1,4,37,20,0,70.9,80.5,85.6,,86.5,0.0,0,0,42,0.0,0,278,4,62,94.2,262,31.3,87,121.7,76,3,68.7,191,763,233,3.8,12.3,2.91
Cooper Kupp,11824,WR,LA,7,6.7,5,68.9,42.9,3,7,0,1.9,1,25,26,0,86.9,79.8,78.1,55.1,78.9,0.0,0,1,66,2.7,8,295,0,51,89.8,265,74.6,220,104.1,74,4,25.4,75,572,289,5.7,11.2,2.16
Tyler Boyd,10689,WR,CIN,7,8.6,4,64.3,40.0,6,15,0,8.2,4,22,7,1,62.0,35.2,66.9,,65.8,0.6,2,4,47,0.0,0,315,1,45,93.0,293,64.8,204,64.6,70,1,34.6,109,471,167,3.7,10.5,1.61
Keenan Allen,7857,WR,LAC,7,12.6,4,64.7,38.5,5,13,0,8.3,4,30,27,0,61.1,78.9,78.6,,77.8,0.0,0,3,34,0.0,0,303,2,44,93.4,283,53.1,161,86.9,68,3,46.9,142,564,138,3.1,12.8,1.99
DeAndre Hopkins,7808,WR,HST,7,10.1,4,73.1,46.2,6,13,0,7.5,4,32,13,0,65.7,79.6,82.2,,83.9,0.0,0,1,38,0.0,0,295,1,49,92.9,274,35.9,106,103.3,67,3,64.1,189,508,167,3.4,10.4,1.85
Julian Edelman,5156,WR,NE,7,8.8,5,67.2,57.1,4,7,0,13.5,7,22,19,1,48.4,39.7,70.1,,71.2,0.0,0,2,36,0.0,0,287,3,45,93.4,268,63.8,183,86.4,67,2,36.2,104,496,182,4.0,11.0,1.85
Julio Jones,6158,WR,ATL,7,13.1,1,66.7,42.1,8,19,0,4.8,2,30,2,1,90.1,30.0,81.8,,80.9,0.0,0,2,54,0.0,0,283,0,40,92.9,263,18.4,52,104.9,60,4,81.6,231,560,146,3.7,14.0,2.13
Allen Robinson II,8696,WR,CHI,6,12.1,5,70.7,55.6,10,18,1,2.4,1,27,6,0,83.5,78.4,80.4,,78.5,0.4,1,3,32,0.0,0,252,2,41,92.9,234,40.1,101,90.0,58,3,59.5,150,464,93,2.3,11.3,1.98
Zach Ertz,7816,TE,PHI,7,9.8,1,62.5,41.7,5,12,0,5.4,2,19,24,1,73.3,29.3,71.1,69.5,72.9,33.3,87,1,26,5.4,14,261,0,35,88.5,231,44.8,117,82.7,56,1,21.8,57,404,98,2.8,11.5,1.75
Travis Kelce,7844,TE,KC,7,10.7,5,69.1,42.9,3,7,2,5.0,2,28,16,0,74.3,78.1,80.6,73.6,82.3,33.3,98,0,42,9.9,29,294,6,38,79.3,233,37.4,110,106.7,55,1,29.3,86,541,173,4.6,14.2,2.32
Robert Woods,7822,WR,LA,7,8.4,4,65.5,37.5,3,8,0,5.3,2,22,26,0,73.5,79.8,76.5,76.5,74.3,0.3,1,2,37,2.9,9,310,3,36,90.0,279,38.4,119,74.4,55,0,61.3,190,435,212,5.9,12.1,1.56
Mark Andrews,47436,TE,BLT,7,10.1,4,66.7,27.3,3,11,1,10.0,4,22,3,2,55.3,21.9,81.9,54.0,79.8,21.9,41,3,39,2.1,4,187,1,36,94.1,176,64.7,121,87.7,54,3,13.4,25,449,145,4.0,12.5,2.55
Austin Hooper,10715,TE,ATL,7,7.8,4,86.8,75.0,3,4,0,2.1,1,26,2,0,85.4,79.0,82.6,71.5,84.4,49.8,149,2,30,6.7,20,299,2,46,85.6,256,43.5,130,117.5,53,4,6.7,20,526,196,4.3,11.4,2.05
Chris Godwin,11839,WR,TB,6,11.6,7,81.1,72.7,8,11,0,2.3,1,38,30,0,83.5,78.4,91.4,71.0,91.3,1.9,5,1,30,0.8,2,258,1,43,93.8,242,64.7,167,148.6,53,6,32.9,85,662,237,5.5,15.4,2.74
Mike Evans,8642,WR,TB,6,16.1,0,51.9,31.3,5,16,0,12.9,4,20,30,0,48.0,76.3,77.5,69.6,75.9,0.4,1,4,67,0.4,1,255,0,27,94.1,240,20.8,53,76.1,52,4,78.8,201,464,91,3.4,17.2,1.93
Evan Engram,11778,TE,NYG,6,6.4,1,65.4,27.3,3,11,1,8.1,3,18,21,0,62.1,77.8,64.8,62.5,66.4,53.2,134,0,75,5.2,13,252,3,34,88.5,223,36.5,92,99.8,52,2,10.3,26,379,219,6.4,11.1,1.7
Austin Ekeler,12164,HB,LAC,7,0.7,15,96.1,100.0,1,1,0,0.0,0,22,27,1,90.4,65.7,85.8,48.6,94.2,0.0,0,0,55,12.2,26,213,0,49,82.2,175,8.9,19,132.7,51,4,11.7,25,488,467,9.5,10.0,2.79
Larry Fitzgerald,1724,WR,ARZ,7,9.4,2,70.6,53.8,7,13,0,0.0,0,19,1,0,90.0,77.7,66.3,48.8,70.2,1.0,3,1,54,1.0,3,291,2,36,93.1,271,89.7,261,101.7,51,2,9.3,27,439,154,4.3,12.2,1.62
Darren Waller,9637,TE,OAK,6,6.5,5,88.0,66.7,2,3,0,2.2,1,24,23,0,84.3,78.9,88.3,67.9,89.9,49.7,97,1,48,12.8,25,195,0,44,85.1,166,26.2,51,112.1,50,2,24.1,47,485,252,5.7,11.0,2.92
Dede Westbrook,11865,WR,JAX,7,7.7,7,64.0,27.3,3,11,1,8.6,3,18,15,0,62.1,85.2,67.4,,67.7,0.4,1,0,33,0.0,0,274,2,32,92.3,253,83.6,229,94.0,50,1,16.1,44,383,196,6.1,12.0,1.51
Amari Cooper,9437,WR,DAL,7,13.5,4,76.0,30.0,3,10,1,9.5,4,25,9,0,57.5,78.0,86.5,,86.6,0.0,0,1,53,0.0,0,219,6,38,93.2,204,11.9,26,142.2,50,5,88.1,193,621,124,3.3,16.3,3.04
Odell Beckham Jr.,8647,WR,CLV,6,11.4,4,58.0,40.0,4,10,2,9.4,3,16,8,0,61.3,29.5,73.3,,72.6,0.0,0,3,89,0.0,0,240,4,29,89.6,215,23.8,57,68.4,50,1,76.3,183,436,164,5.7,15.0,2.03
Will Fuller V,10655,WR,HST,7,14.3,2,69.4,66.7,4,6,0,15.0,6,18,13,1,37.7,28.4,74.2,64.5,72.2,0.0,0,1,54,0.4,1,252,1,34,92.5,233,27.8,70,110.1,49,3,72.2,182,450,178,5.2,13.2,1.93
Courtland Sutton,48164,WR,DEN,7,12.1,9,75.0,62.5,5,8,1,0.0,0,26,10,1,89.7,28.6,83.3,,81.5,0.0,0,0,70,0.0,0,258,1,36,95.0,245,18.2,47,134.4,48,3,81.8,211,564,178,4.9,15.7,2.3
Tyler Lockett,9502,WR,SEA,7,12.8,1,85.1,33.3,1,3,0,4.8,2,25,29,0,74.8,84.8,76.2,,77.1,1.0,3,0,44,0.0,0,294,0,40,90.1,265,70.4,207,140.7,47,4,28.6,84,515,107,2.7,12.9,1.94
D.J. Moore,48267,WR,CAR,6,10.1,2,70.2,61.5,8,13,0,8.3,3,23,5,1,61.5,28.7,74.3,,71.9,0.0,0,0,52,0.0,0,223,0,33,96.0,214,12.6,28,105.4,47,1,87.4,195,425,118,3.6,12.9,1.99
Kenny Golladay,11851,WR,DET,6,16.3,1,53.2,55.0,11,20,1,3.8,1,22,11,0,74.9,75.7,78.0,36.3,77.4,0.0,0,1,66,0.4,1,233,1,25,94.8,221,17.6,41,100.0,47,4,82.4,192,385,93,3.7,15.4,1.74
D.J. Chark Jr.,47702,WR,JAX,7,14.6,4,70.2,50.0,6,12,0,2.9,1,21,15,0,80.8,78.2,85.0,,84.5,0.8,2,1,69,0.0,0,262,2,33,92.7,243,22.5,59,138.7,47,5,76.7,201,581,157,4.8,17.6,2.39
James White,8765,HB,NE,6,2.3,7,84.4,20.0,1,5,0,0.0,0,18,19,0,90.0,81.5,77.4,59.9,87.2,1.8,3,1,32,9.0,15,166,0,38,86.7,144,5.4,9,91.0,45,1,18.7,31,283,237,6.2,7.4,1.97
John Brown,8726,WR,BUF,6,14.6,5,73.3,80.0,4,5,0,5.7,2,26,4,0,60.7,77.4,73.3,,74.4,0.0,0,2,38,0.0,0,247,0,33,93.1,230,22.3,55,103.3,45,2,77.7,192,473,97,2.9,14.3,2.06
Preston Williams,38855,WR,MIA,6,14.6,0,53.5,33.3,4,12,0,8.0,2,16,17,2,50.4,29.4,65.5,,67.7,0.0,0,3,35,0.0,0,216,3,23,92.1,199,5.6,12,55.8,43,1,94.4,204,314,54,2.3,13.7,1.58
Jamison Crowder,9538,WR,NYJ,6,6.3,2,74.4,80.0,4,5,0,5.9,2,13,22,0,69.8,77.2,62.8,,64.6,0.0,0,3,30,0.0,0,217,0,32,91.2,198,72.4,157,63.9,43,0,27.2,59,298,141,4.4,9.3,1.51
Emmanuel Sanders,5606,WR,DEN,7,11.1,4,69.8,14.3,1,7,0,0.0,0,17,10,0,88.0,76.6,79.7,,80.3,0.0,0,3,53,0.0,0,234,3,30,94.0,220,31.2,73,82.2,43,2,67.9,159,367,119,4.0,12.2,1.67
Cole Beasley,7330,WR,BUF,6,7.3,0,69.8,100.0,1,1,0,6.3,2,15,4,0,68.2,76.6,68.6,,68.9,0.0,0,3,51,0.0,0,204,0,30,94.6,193,77.5,158,66.3,43,1,22.1,45,283,135,4.5,9.4,1.47
Calvin Ridley,48262,WR,ATL,7,13.7,3,67.4,50.0,3,6,1,6.5,2,21,2,0,66.8,76.3,68.7,,69.7,0.0,0,0,34,0.0,0,279,3,29,92.1,257,9.7,27,125.4,43,4,90.0,251,373,58,2.0,12.9,1.45
Curtis Samuel,11795,WR,CAR,6,15.4,1,54.8,50.0,4,8,0,8.0,2,14,5,0,61.3,76.7,68.2,,68.7,0.0,0,0,44,0.0,0,230,2,23,96.1,221,30.4,70,93.1,42,2,69.1,159,297,72,3.1,12.9,1.34
Stefon Diggs,9579,WR,MIN,7,16.2,5,71.4,50.0,3,6,0,11.8,4,19,18,3,51.7,21.5,76.2,,76.0,0.0,0,3,66,0.0,0,192,2,30,90.6,174,14.6,28,115.7,42,4,84.9,163,565,164,5.5,18.8,3.25
Marvin Jones Jr.,7158,WR,DET,6,13.7,3,71.4,68.8,11,16,1,0.0,0,21,11,0,87.6,76.5,77.4,,78.1,0.4,1,2,33,0.0,0,238,1,30,95.0,226,30.7,73,119.7,42,5,68.9,164,387,69,2.3,12.9,1.71
George Kittle,11901,TE,SF,6,6.3,7,81.0,57.1,4,7,0,0.0,0,20,28,0,90.0,78.3,92.0,71.7,92.4,62.4,113,1,45,18.8,34,181,0,34,75.1,136,19.9,36,102.0,42,1,13.8,25,376,211,6.2,11.1,2.76
Jarvis Landry,8698,WR,CLV,6,11.0,6,59.5,12.5,1,8,0,10.7,3,16,8,0,54.0,81.1,69.7,,68.6,0.0,0,4,65,0.0,0,240,1,25,90.4,217,70.0,168,55.7,42,0,28.8,69,439,198,7.9,17.6,2.02
Tarik Cohen,11874,HB,CHI,6,2.1,5,70.7,75.0,3,4,0,6.5,2,7,6,0,67.3,86.2,55.3,69.7,55.7,2.5,4,0,24,5.1,8,158,0,29,89.2,141,39.2,62,84.1,41,1,13.3,21,147,156,5.4,5.1,1.04
Nelson Agholor,9453,WR,PHI,7,13.0,3,61.0,37.5,3,8,0,7.4,2,11,24,2,58.1,19.8,53.0,,53.6,0.0,0,0,43,0.0,0,266,0,25,92.9,247,75.2,200,103.1,41,3,24.8,66,254,113,4.5,10.2,1.03
Mike Williams,11762,WR,LAC,6,15.3,3,56.1,50.0,6,12,0,14.8,4,19,27,0,32.1,75.3,68.3,,68.4,0.0,0,3,47,0.0,0,242,1,23,93.4,226,40.5,98,53.9,41,0,59.5,144,350,74,3.2,15.2,1.55
Mohamed Sanu,7084,WR,ATL,7,7.1,4,82.5,60.0,3,5,0,5.7,2,16,2,0,62.1,78.4,60.2,,60.6,0.0,0,2,28,0.0,0,300,0,33,92.0,276,83.3,250,86.8,40,1,16.7,50,313,125,3.8,9.5,1.13
Adam Thielen,8288,WR,MIN,7,14.2,2,67.5,37.5,3,8,1,0.0,0,17,18,0,76.1,76.7,83.3,,85.2,0.0,0,0,44,0.0,0,185,3,27,91.9,170,31.9,59,138.6,40,6,68.1,126,391,118,4.4,14.5,2.3
Brandin Cooks,8655,WR,LA,7,15.4,0,67.5,60.0,6,10,0,10.0,3,20,26,0,57.0,77.6,71.8,62.4,70.4,0.0,0,1,57,0.4,1,279,1,27,92.5,258,26.9,75,98.1,40,1,72.8,203,402,99,3.7,14.9,1.56
Christian McCaffrey,11763,HB,CAR,6,0.3,10,87.5,33.3,1,3,1,0.0,0,18,5,0,89.7,90.1,86.8,76.5,92.1,0.0,0,0,25,22.2,52,234,1,35,74.8,175,7.7,18,115.1,40,2,7.3,17,305,305,8.7,8.7,1.74
Michael Gallup,26075,WR,DAL,5,11.7,5,67.5,57.1,4,7,0,20.6,7,18,9,0,28.8,75.9,72.4,,73.5,0.0,0,1,62,0.0,0,179,1,27,91.6,164,16.2,29,100.1,40,1,83.8,150,421,146,5.4,15.6,2.57
Auden Tate,48192,WR,CIN,6,12.3,3,55.0,53.8,7,13,0,12.0,3,15,7,1,50.6,75.1,71.4,79.6,70.2,0.0,0,1,33,2.2,5,228,0,22,92.1,210,29.8,68,79.8,40,1,70.2,160,326,75,3.4,14.8,1.55
Alvin Kamara,11822,HB,NO,6,0.6,9,84.6,0.0,0,1,0,2.9,1,12,20,0,79.4,67.0,75.6,59.2,75.5,0.0,0,1,41,7.0,12,172,1,33,86.6,149,14.0,24,94.0,39,1,16.3,28,276,291,8.8,8.4,1.85
Terry McLaurin,48229,WR,WAS,6,16.1,3,61.5,55.6,5,9,0,14.3,4,21,32,0,44.5,75.7,81.4,,83.0,0.0,0,0,69,0.0,0,214,1,24,90.7,194,19.6,42,137.7,39,5,80.4,172,419,83,3.5,17.5,2.16
T.Y. Hilton,7092,WR,IND,5,9.2,3,76.9,16.7,1,6,2,6.3,2,16,14,0,67.5,76.5,75.5,,76.3,0.0,0,1,26,0.0,0,166,4,30,91.0,151,28.9,48,127.8,39,5,71.1,118,306,135,4.5,10.2,2.03
Alshon Jeffery,7048,WR,PHI,6,8.8,0,68.4,40.0,4,10,0,7.1,2,19,24,0,64.3,75.7,73.1,,72.7,0.0,0,1,30,0.0,0,178,0,26,93.3,166,12.9,23,102.2,38,3,87.1,155,253,106,4.1,9.7,1.52
Greg Olsen,3647,TE,CAR,6,9.3,0,57.9,16.7,1,6,0,4.3,1,17,5,0,72.3,74.9,65.0,70.9,68.3,25.6,57,1,41,11.7,26,223,0,22,85.2,190,54.3,121,87.4,38,2,17.5,39,278,98,4.5,12.6,1.46
D.K. Metcalf,47864,WR,SEA,7,15.6,3,52.6,50.0,6,12,3,9.1,2,15,29,1,58.1,24.7,67.0,,67.7,0.4,1,0,54,0.0,0,250,4,20,89.6,224,14.4,36,106.1,38,2,85.2,213,389,94,4.7,19.5,1.74
