player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Andrew Sendejo,6118,S,PHI,2,0,24,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,2.1,1,47,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Dre Kirkpatrick,7023,CB,CIN,2,0,7,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.0,1,50,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Morgan Burnett,5596,S,CLV,2,0,8,0,0,0,0,0,0,100.0,3,2,66.7,2,2,0,0,6.0,3,50,2,66.7,0,0,0,0,0.0,0,0,,0,0,0,2,2,0
Eli Apple,10644,CB,NO,2,0,20,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.4,1,70,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Justin Coleman,9892,CB,DET,2,0,11,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.1,1,90,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Denzel Ward,49558,CB,CLV,2,0,8,1,1,0,1,1,0,100.0,2,2,50.0,0,0,0,0,3.1,2,65,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Marlon Humphrey,11771,CB,BLT,2,0,3,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,1.3,1,77,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Delano Hill,11849,S,SEA,1,0,29,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,2.8,1,36,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Will Harris,51336,S,DET,2,0,11,0,2,0,0,1,0,50.0,1,1,50.0,0,0,0,0,7.1,2,28,2,50.0,0,0,1,0,50.0,1,1,50.0,0,0,0,0,0,0
Rashaan Melvin,8334,CB,DET,2,0,11,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,1.0,1,96,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Desmond King II,11906,CB,LAC,2,0,27,1,1,0,0,0,0,0.0,0,0,,0,0,0,0,4.3,2,46,2,50.0,0,1,1,0,100.0,2,2,50.0,0,0,0,0,0,0
Jaylen Watkins,8736,S,LAC,2,0,27,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,4.3,1,23,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Marshon Lattimore,11766,CB,NO,2,0,20,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.4,1,70,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Malcolm Butler,9040,CB,TEN,2,0,31,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.3,1,78,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
