player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Christian McCaffrey,11763,HB,CAR,5,105,26,7,42.9,252,1,587,0,9,26,336,82.4,15,21,5,0,39,89.2,90.9,86.1,60.0,72.8,92.4,84.4,55.2,84,1,279,31,149,119,0,0,36,136,6,587,336,3.2,5.6,1.87,66
Marlon Mack,11898,HB,IND,5,101,17,5,34.5,162,0,470,0,0,17,306,47.7,11,31,14,0,41,88.3,74.6,82.8,,34.8,48.2,78.1,60.0,63,0,42,7,84,119,0,0,8,108,2,470,306,3.03,4.7,0.5,59
Derrick Henry,10679,HB,TEN,5,98,23,7,32.0,124,0,387,2,0,23,333,75.9,13,23,31,2,17,41.3,64.9,15.0,,86.1,40.9,68.0,60.3,24,1,97,5,61,110,0,0,8,103,4,387,333,3.4,3.9,1.59,80
Leonard Fournette,11759,HB,JAX,5,95,14,4,43.8,224,1,512,2,4,14,406,66.9,14,23,15,1,54,67.9,58.9,84.8,,62.4,45.3,63.2,60.0,81,1,143,20,161,110,0,0,29,115,1,512,406,4.27,5.4,0.89,37
Chris Carson,12004,HB,SEA,5,94,23,5,25.3,96,0,380,1,9,23,323,100.9,11,25,29,3,31,28.4,67.2,85.3,,39.2,70.0,65.3,60.0,22,0,105,15,93,110,0,0,16,109,1,380,323,3.44,4.0,1.13,60
Nick Chubb,45783,HB,CLV,5,94,16,7,42.5,206,0,485,1,4,16,276,53.9,13,16,8,0,42,88.1,77.5,83.9,,90.5,66.2,76.3,59.0,88,0,111,15,106,103,0,0,19,109,4,485,276,2.94,5.2,1.05,44
Dalvin Cook,11796,HB,MIN,5,92,22,10,50.2,272,0,542,3,6,22,344,92.7,13,19,18,2,24,43.9,81.5,19.5,,38.2,68.5,84.3,58.9,75,1,200,21,82,101,0,0,24,113,5,542,344,3.74,5.9,2.44,64
Josh Jacobs,45953,HB,OAK,5,88,22,5,28.1,121,0,430,1,5,22,314,102.5,11,23,23,0,26,87.1,84.5,80.4,,61.6,61.2,84.4,59.9,51,0,77,6,61,99,0,0,8,94,4,430,314,3.57,4.9,1.26,61
Ezekiel Elliott,10638,HB,DAL,5,85,8,3,15.5,60,0,386,1,2,8,235,28.2,13,24,9,1,25,63.6,72.1,83.5,,38.5,58.8,76.4,60.1,27,1,92,13,130,99,0,0,16,98,4,386,235,2.76,4.5,0.71,60
Sony Michel,27589,HB,NE,5,78,6,2,15.3,40,0,262,0,1,6,148,16.4,7,17,19,1,51,57.9,66.0,78.1,,84.1,70.6,62.6,59.8,25,0,32,3,35,90,0,0,3,81,3,262,148,1.9,3.4,0.91,24
