player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Adam Vinatieri,226,K,IND,3,0,0,0,,3,2,66.7,14,27.1,0,0,,8,5,62.5,0,0,0,,5,3,60.0,2,1,50.0
Matt Bryant,1223,,ATL,2,0,2,1,50.0,0,0,,2,61.1,0,0,,6,6,100.0,0,1,1,100.0,3,2,66.7,0,0,
Robbie Gould,2607,K,SF,3,0,1,0,0.0,1,1,100.0,28,55.8,0,0,,10,10,100.0,0,4,3,75.0,8,6,75.0,2,2,100.0
Stephen Gostkowski,3063,K,NE,3,0,0,0,,2,1,50.0,19,38.5,0,0,,13,10,76.9,0,3,3,100.0,7,6,85.7,2,2,100.0
Matt Prater,3471,K,DET,3,0,1,1,100.0,2,0,0.0,11,57.9,0,0,,8,7,87.5,0,2,2,100.0,6,4,66.7,1,1,100.0
Mason Crosby,3809,K,GB,3,0,0,0,,3,2,66.7,12,60.4,0,0,,7,7,100.0,0,1,1,100.0,4,3,75.0,0,0,
Stephen Hauschka,4655,K,BUF,3,0,1,0,0.0,2,2,100.0,4,69.6,0,0,,7,7,100.0,0,1,1,100.0,4,3,75.0,0,0,
Dan Bailey,6796,K,MIN,3,0,1,1,100.0,1,0,0.0,18,57.8,0,0,,10,9,90.0,0,1,1,100.0,4,3,75.0,1,1,100.0
Randy Bullock,7154,K,CIN,3,0,1,0,0.0,2,1,50.0,7,52.1,0,0,,6,6,100.0,0,2,2,100.0,6,4,66.7,1,1,100.0
Greg Zuerlein,7163,K,LA,3,0,2,2,100.0,3,1,33.3,26,63.0,0,0,,8,8,100.0,0,1,1,100.0,9,7,77.8,3,3,100.0
Justin Tucker,7604,K,BLT,3,0,1,1,100.0,0,0,,3,73.0,0,0,,11,11,100.0,0,3,3,100.0,5,5,100.0,1,1,100.0
Dustin Hopkins,7958,K,WAS,3,0,0,0,,3,2,66.7,32,60.2,0,0,,6,6,100.0,0,1,1,100.0,4,3,75.0,0,0,
Brandon McManus,8437,K,DEN,3,0,1,0,0.0,1,1,100.0,10,44.2,0,0,,3,2,66.7,0,3,3,100.0,7,6,85.7,2,2,100.0
Brett Maher,8585,K,DAL,3,0,1,0,0.0,0,0,,9,59.3,0,0,,13,13,100.0,0,0,0,,3,2,66.7,2,2,100.0
Cairo Santos,8932,K,TEN,3,0,1,1,100.0,2,1,50.0,31,64.5,0,0,,8,8,100.0,0,1,1,100.0,4,3,75.0,0,0,
Chris Boswell,8990,K,PIT,3,0,0,0,,2,2,100.0,25,69.5,1,1,100.0,4,4,100.0,0,1,1,100.0,5,5,100.0,1,1,100.0
Ty Long,9728,K,LAC,3,0,0,0,,3,2,66.7,27,50.1,0,0,,6,6,100.0,0,3,2,66.7,6,4,66.7,0,0,
Josh Lambo,10133,K,JAX,3,0,0,0,,3,3,100.0,15,71.3,0,0,,4,4,100.0,0,2,2,100.0,6,6,100.0,1,1,100.0
Jason Myers,10207,K,SEA,3,0,1,0,0.0,0,0,,29,63.1,0,0,,10,10,100.0,0,0,0,,1,0,0.0,0,0,
Wil Lutz,11096,K,NO,3,0,3,2,66.7,2,2,100.0,20,56.7,0,0,,7,6,85.7,0,2,2,100.0,7,6,85.7,0,0,
Ka'imi Fairbairn,11161,K,HST,3,0,1,0,0.0,0,0,,13,31.8,0,0,,9,8,88.9,0,1,1,100.0,3,2,66.7,1,1,100.0
Aldrick Rosas,11331,K,NYG,3,0,0,0,,1,0,0.0,21,57.9,0,0,,7,7,100.0,0,1,1,100.0,3,2,66.7,1,1,100.0
Sam Ficken,11437,K,NYJ,2,0,0,0,,1,1,100.0,22,66.3,0,0,,2,2,100.0,0,0,0,,1,1,100.0,0,0,
Jake Elliott,11908,K,PHI,3,0,0,0,,1,1,100.0,24,68.0,0,0,,6,6,100.0,0,1,1,100.0,4,4,100.0,2,2,100.0
Zane Gonzalez,11979,K,ARZ,3,0,0,0,,2,2,100.0,1,69.5,0,0,,3,3,100.0,0,2,2,100.0,9,9,100.0,5,5,100.0
Harrison Butker,11988,K,KC,3,0,0,0,,2,2,100.0,16,63.5,0,0,,12,11,91.7,0,2,2,100.0,6,6,100.0,2,2,100.0
Austin Seibert,13701,K,CLV,3,0,0,0,,2,2,100.0,8,58.4,0,0,,5,4,80.0,0,1,1,100.0,5,5,100.0,2,2,100.0
Daniel Carlson,28121,K,OAK,3,0,1,0,0.0,0,0,,23,57.6,0,0,,6,6,100.0,0,0,0,,3,2,66.7,2,2,100.0
Kaare Vedvik,28782,P,NYJ,1,0,0,0,,1,0,0.0,22,29.8,0,0,,1,0,0.0,0,0,0,,1,0,0.0,0,0,
Jason Sanders,29578,K,MIA,2,0,1,1,100.0,1,0,0.0,17,55.6,0,0,,1,1,100.0,0,1,1,100.0,4,3,75.0,1,1,100.0
Joey Slye,39235,K,CAR,3,0,4,3,75.0,1,1,100.0,5,82.4,0,0,,8,8,100.0,0,3,3,100.0,8,7,87.5,0,0,
Eddy Pineiro,44140,K,CHI,3,0,2,2,100.0,2,1,50.0,6,71.3,0,0,,5,5,100.0,0,2,2,100.0,6,5,83.3,0,0,
Matt Gay,57643,K,TB,3,0,1,1,100.0,3,2,66.7,30,39.6,0,0,,7,5,71.4,0,3,2,66.7,9,7,77.8,2,2,100.0
