player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Quincy Wilson,11801,CB,IND,6,0,0,14,58.1,0,1,5,8.5,0.0,0,3,10.0,0,94,8,1,0,60.5,0,1,4,9.2,0.0,0,12.5,0,65,6,1
Tyus Bowser,11802,ED,BLT,9,0,0,3,67.3,1,7,111,81.9,14.4,16,0,5.4,2,149,122,10,0,71.3,1,3,48,80.9,18.8,9,8.3,2,68,55,6
Ryan Anderson,11804,ED,WAS,9,0,0,32,60.3,1,5,88,77.5,6.8,6,3,3.4,0,120,93,6,0,70.3,1,2,27,87.9,14.8,4,5.6,0,33,29,3
DeMarcus Walker,11806,DI,DEN,8,0,0,10,60.2,0,6,81,100.0,11.1,9,0,8.6,4,85,85,10,0,60.1,0,2,29,100.0,13.8,4,13.8,3,32,32,5
Raekwon McMillan,11809,LB,MIA,9,0,0,17,61.1,1,3,29,27.0,13.8,4,0,6.9,0,122,33,4,0,54.3,0,1,4,14.8,25.0,1,12.5,0,27,4,1
Dalvin Tomlinson,11810,DI,NYG,10,0,0,21,61.3,1,2,153,100.0,4.6,7,0,2.9,3,160,160,6,0,53.1,0,0,35,100.0,2.9,1,2.9,1,37,37,1
Zach Cunningham,11812,LB,HST,9,0,0,13,61.6,0,7,24,7.6,25.0,6,0,18.8,1,342,26,8,0,60.0,0,3,12,9.5,16.7,2,20.8,1,148,14,4
Tanoh Kpassagnon,11814,ED,KC,10,0,0,16,55.9,4,11,230,96.1,9.1,21,0,4.6,3,256,246,18,0,57.5,2,7,122,97.0,11.5,14,6.1,3,134,130,12
Chidobe Awuzie,11815,CB,DAL,9,0,1,9,56.2,1,0,1,0.3,0.0,0,5,50.0,0,379,1,1,0,56.2,1,0,1,0.6,0.0,0,50.0,0,168,1,1
Larry Ogunjobi,11820,DI,CLV,9,1,0,8,57.4,4,11,249,99.2,6.8,17,4,4.6,4,266,264,19,1,54.2,2,5,93,100.0,8.6,8,5.9,2,96,96,9
Dawuane Smoot,11823,ED,JAX,9,0,0,15,51.7,2,6,157,99.4,7.0,11,0,5.1,4,171,170,12,0,53.3,2,4,94,99.0,9.6,9,6.4,3,104,103,9
Jordan Willis,11828,ED,NYJ,5,0,0,22,85.4,2,6,56,84.7,21.4,12,0,8.9,1,72,61,9,0,90.2,0,5,29,84.2,27.6,8,12.1,1,38,32,6
Chris Wormley,11829,DI,BLT,9,1,0,3,54.1,4,4,143,100.0,7.7,11,0,3.5,1,151,151,9,1,58.2,1,2,48,100.0,12.5,6,5.2,1,50,50,4
Duke Riley,11830,LB,PHI,2,0,0,24,60.0,0,0,1,25.0,0.0,0,0,0.0,0,4,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
Alex Anzalone,11831,LB,NO,2,0,0,20,68.8,0,0,3,10.3,0.0,0,0,33.3,1,39,4,1,0,54.9,0,0,1,10.0,0.0,0,0.0,0,20,2,0
Daeshon Hall,11832,ED,PHI,4,0,0,24,75.0,1,0,11,91.7,27.3,3,0,13.6,1,12,11,2,0,56.9,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Tim Williams,11833,ED,GB,4,0,0,12,68.4,0,5,53,93.5,17.0,9,1,4.7,0,62,58,5,0,70.1,0,3,23,96.0,21.7,5,6.5,0,25,24,3
Tarell Basham,11835,ED,NYJ,9,3,0,22,65.9,2,23,182,84.4,15.9,29,0,7.4,1,244,206,26,2,73.0,2,15,99,87.9,21.2,21,9.6,1,124,109,18
Shaquill Griffin,11845,CB,SEA,10,0,0,29,57.6,0,0,2,0.4,0.0,0,0,0.0,0,459,2,0,0,,0,0,0,0.0,,0,,0,201,0,0
Jourdan Lewis,11846,CB,DAL,8,0,1,9,62.6,0,1,11,6.8,0.0,0,1,13.6,1,176,12,2,0,76.1,0,0,2,2.0,0.0,0,50.0,1,98,2,1
John Johnson III,11847,S,LA,6,0,0,26,65.9,0,0,1,0.4,100.0,1,1,0.0,0,238,1,0,0,,0,0,0,0.0,,0,,0,109,0,0
Montravius Adams,11848,DI,GB,8,2,0,12,56.0,0,1,90,100.0,3.3,3,0,0.6,0,93,93,1,2,55.6,0,1,48,100.0,2.1,1,1.0,0,49,49,1
Delano Hill,11849,S,SEA,4,0,0,29,69.4,0,1,2,2.2,50.0,1,0,25.0,0,90,2,1,0,,0,0,0,0.0,,0,,0,43,0,0
Cameron Sutton,11850,CB,PIT,9,0,0,25,60.0,0,0,1,0.7,0.0,0,1,0.0,0,149,1,0,0,60.0,0,0,1,1.0,0.0,0,0.0,0,98,1,0
Rasul Douglas,11854,CB,PHI,9,0,2,24,60.0,0,0,1,0.4,0.0,0,5,0.0,0,272,1,0,0,60.0,0,0,1,0.9,0.0,0,0.0,0,115,1,0
Trey Hendrickson,11858,ED,NO,6,0,1,20,69.0,1,6,100,94.8,14.0,14,3,7.5,4,116,110,11,0,80.0,1,4,39,93.5,23.1,9,11.5,2,46,43,7
Vince Biegel,11863,ED,MIA,9,0,0,17,65.2,11,13,147,82.4,16.3,24,0,9.5,2,187,154,26,0,67.8,8,8,61,94.3,24.6,15,14.8,1,70,66,17
Jaleel Johnson,11864,DI,MIN,10,0,0,18,53.1,0,4,129,99.3,3.9,5,0,2.3,1,137,136,5,0,56.4,0,4,52,100.0,7.7,4,3.8,0,56,56,4
Eddie Jackson,11867,S,CHI,9,0,0,6,71.1,0,2,5,1.5,0.0,0,2,20.0,0,402,6,2,0,60.0,0,0,0,0.6,,0,,0,164,1,0
Rayshawn Jenkins,11868,S,LAC,10,0,0,27,61.2,1,2,5,1.5,20.0,1,1,30.0,0,339,5,3,0,55.0,0,2,2,1.4,50.0,1,50.0,0,148,2,2
Carl Lawson,11871,ED,CIN,5,0,0,7,57.6,3,4,98,95.1,9.2,9,0,4.6,1,103,98,8,0,60.9,3,1,41,93.2,14.6,6,7.3,1,44,41,5
Ben Gedeon,11875,LB,MIN,6,0,0,18,56.6,0,0,2,5.3,0.0,0,0,0.0,0,38,2,0,0,,0,0,0,0.0,,0,,0,8,0,0
Montae Nicholson,11878,S,WAS,7,0,0,32,54.0,0,0,4,2.2,0.0,0,2,0.0,0,272,6,0,0,56.8,0,0,2,1.9,0.0,0,0.0,0,103,2,0
Jalen Reeves-Maybin,11879,LB,DET,4,0,0,11,77.3,1,1,6,13.8,0.0,0,0,16.7,0,65,9,2,0,72.1,1,0,4,20.7,0.0,0,12.5,0,29,6,1
Samson Ebukam,11880,ED,LA,9,2,1,26,66.1,3,14,174,84.8,10.9,19,2,4.9,0,217,184,17,0,63.1,2,11,79,87.5,16.5,13,8.2,0,96,84,13
Deatrich Wise Jr.,11886,ED,NE,7,0,1,19,89.0,5,10,57,97.0,29.8,17,2,14.9,1,66,64,16,0,78.4,2,4,22,96.0,31.8,7,13.6,0,25,24,6
