player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,13,58,58,4.31,41.76,47.64,9.0,1,1,5,14,1,60.0,20,64,6,1,50.0,261,29,59,249.79,2422,4,2763
Dustin Colquitt,2316,P,KC,15,46,46,4.42,41.17,43.98,4.7,1,0,10,14,16,65.2,22,68,1,0,41.3,89,19,47,203.09,1894,2,2023
Sam Koch,3148,P,BLT,14,37,37,4.21,40.97,46.35,9.2,1,0,4,10,3,67.3,18,62,6,0,35.1,119,13,38,155.95,1516,4,1715
Brett Kern,4580,P,TEN,15,74,74,4.23,43.23,47.07,8.7,0,0,8,17,31,90.3,37,70,19,0,37.8,244,28,74,312.84,3199,2,3483
Kevin Huber,5066,P,CIN,15,72,72,4.31,41.94,44.82,5.3,0,0,9,29,7,63.2,31,63,6,0,33.3,127,24,72,310.0,3020,4,3227
Thomas Morstead,5088,P,NO,15,54,54,4.34,42.69,46.06,7.4,0,0,5,20,20,72.2,31,64,6,0,40.7,162,22,54,234.33,2305,1,2487
Britton Colquitt,5192,P,MIN,14,61,61,4.47,42.49,45.08,6.9,0,0,9,24,18,73.0,24,59,5,0,37.7,158,23,61,272.87,2592,0,2750
Matt Bosher,6344,P,ATL,3,9,9,4.61,40.78,41.89,5.0,1,0,0,7,2,61.5,2,52,0,0,22.2,10,2,10,41.45,367,0,377
Chris Jones,6798,P,DAL,15,48,48,4.48,37.98,42.02,8.6,1,0,8,17,9,69.4,18,58,3,0,37.5,154,18,49,214.97,1823,2,2017
Bryan Anger,7072,P,HST,12,40,40,4.39,44.05,46.15,2.9,0,0,9,13,13,67.8,23,71,1,0,37.5,44,15,40,175.6,1762,2,1846
Johnny Hekker,7252,P,LA,15,62,62,4.3,43.53,47.84,8.1,1,0,10,11,26,67.2,23,69,14,0,37.1,187,23,63,266.79,2699,4,2966
Sam Martin,7947,P,DET,15,69,69,4.32,41.97,45.33,4.1,0,0,12,19,11,61.4,29,62,5,0,39.1,112,27,69,297.81,2896,6,3128
Ryan Allen,8242,P,ATL,7,26,26,3.9,37.69,42.38,7.8,0,0,5,6,2,62.8,12,59,4,0,30.8,62,8,26,101.47,980,3,1102
Tress Way,8358,P,WAS,15,75,75,4.38,43.79,49.23,9.7,0,0,12,19,32,71.6,30,79,5,0,48.0,348,36,75,328.48,3284,3,3692
