player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Orlando Brown Jr.,46227,T,BLT,7,0,3,52.0,100.0,169,69.8,169,53.4,1,100.0,242,242,59.3,100.0,54,22.3,54
Matt Skura,11102,C,BLT,7,0,3,68.6,100.0,169,69.8,169,69.2,0,100.0,242,242,66.2,100.0,54,22.3,54
Bradley Bozeman,27934,G,BLT,7,0,3,59.2,100.0,169,69.8,169,59.8,1,100.0,242,242,61.1,100.0,54,22.3,54
Weston Richburg,8678,C,SF,6,0,28,61.0,100.0,86,36.1,86,57.7,0,100.0,238,238,52.1,100.0,128,53.8,128
Laken Tomlinson,9461,G,SF,6,1,28,51.7,100.0,86,36.1,86,55.8,3,100.0,238,238,59.0,100.0,128,53.8,128
Mike Person,6391,G,SF,6,0,28,56.2,100.0,85,37.0,85,63.9,2,100.0,230,230,67.1,100.0,126,54.8,126
Ronnie Stanley,10640,T,BLT,7,0,3,65.2,100.0,165,72.1,165,69.3,1,100.0,229,229,67.2,100.0,49,21.4,49
Marshal Yanda,3702,G,BLT,7,0,3,61.9,100.0,162,72.0,162,70.9,0,100.0,225,225,87.3,100.0,45,20.0,45
Garrett Bradbury,46013,C,MIN,7,1,18,61.5,100.0,53,23.7,53,61.2,4,100.0,224,224,61.1,100.0,144,64.3,144
Brian O'Neill,46854,T,MIN,7,0,18,61.2,100.0,53,23.7,53,72.2,0,100.0,224,224,75.1,100.0,144,64.3,144
Jimmy Garoppolo,8697,QB,SF,6,0,28,60.0,98.8,85,39.2,86,60.0,0,91.2,217,238,60.0,98.4,126,58.1,128
Ted Karras,10855,C,NE,7,0,19,71.4,100.0,114,53.5,114,71.1,1,100.0,213,213,69.8,100.0,52,24.4,52
Connor Williams,46216,G,DAL,7,0,9,61.7,100.0,69,33.2,69,58.1,1,100.0,208,208,56.7,100.0,126,60.6,126
Shaq Mason,9564,G,NE,7,0,19,61.4,100.0,113,54.3,113,62.7,1,100.0,208,208,47.8,100.0,50,24.0,50
Kirk Cousins,7102,QB,MIN,7,0,18,60.0,100.0,53,25.6,53,60.0,0,93.2,207,222,60.0,98.6,142,68.6,144
Joe Thuney,10712,G,NE,7,0,19,74.5,100.0,111,53.9,111,63.6,0,100.0,206,206,51.4,100.0,51,24.8,51
Travis Frederick,7812,C,DAL,7,0,9,62.0,100.0,68,33.2,68,64.4,0,100.0,205,205,67.2,100.0,124,60.5,124
Kyle Rudolph,6195,TE,MIN,7,0,18,49.0,100.0,50,24.8,50,56.9,1,100.0,202,202,62.0,100.0,132,65.3,132
Germain Ifedi,10665,T,SEA,7,0,29,43.0,100.0,54,26.7,54,60.4,2,100.0,202,202,70.5,100.0,130,64.4,130
Justin Britt,8699,C,SEA,7,0,29,71.9,100.0,54,26.7,54,66.7,0,100.0,202,202,62.6,100.0,130,64.4,130
