team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
BLT,3,8,289,4,35,289,90.1,48,9
ARZ,1,9,364,5,54,364,90.0,66,7
KC,16,9,356,14,44,356,89.0,68,10
OAK,23,8,267,5,43,267,88.8,54,6
NO,20,8,311,14,49,311,88.6,67,4
PIT,25,8,278,8,52,278,88.1,63,3
NE,19,9,376,11,67,376,86.7,89,11
BUF,4,8,308,15,49,308,86.4,74,10
HST,13,9,359,12,69,359,85.9,91,10
TB,30,8,352,16,58,352,85.8,87,13
SF,28,8,245,10,44,245,85.7,62,8
DAL,9,8,293,18,57,293,85.5,80,5
DEN,10,9,318,10,52,318,85.5,77,15
ATL,2,8,371,19,64,371,85.3,96,13
TEN,31,9,332,16,46,332,84.6,82,20
PHI,24,9,345,16,69,345,84.5,96,11
CLV,8,8,304,5,62,304,84.4,81,14
CAR,5,8,309,10,55,309,84.3,81,16
GB,12,9,352,11,74,352,84.2,98,13
WAS,32,9,293,9,56,293,84.1,79,14
CHI,6,8,307,17,65,307,84.0,90,8
JAX,15,9,369,9,85,369,83.5,108,14
MIN,18,9,278,10,62,278,83.5,82,10
NYG,21,9,394,16,82,394,83.2,115,17
DET,11,8,318,10,76,318,83.0,97,11
IND,14,8,297,16,72,297,82.2,97,9
SEA,29,9,338,14,81,338,81.8,109,14
MIA,17,8,330,22,73,330,81.4,109,14
CIN,7,8,369,13,82,369,81.4,116,21
NYJ,22,8,294,15,67,294,80.3,99,17
LA,26,8,332,17,96,332,80.0,123,10
LAC,27,9,355,31,84,355,79.9,129,14
