player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Tom Brady,698,QB,NE,9,2.48,2.45,3.25,,370,19,78.2,197,203,4.6,1.84,1,8,3.8,70.9,144,35,6.5,205,55.4,10,62,,,,90.1,82.1,83.4,,80.1,,,,,0,1,213,5.7,96.6,1.0,2,0,0,5,7,1,0.5,1265,6.2,73.2,127,152,12.0,3.28,1,9,5.5,56.6,86,75,7.5,165,44.6,7,59,,,,50.0,79.4,82.7,,77.3,,63.3,,,2,4,178,17.3,88.5,7.9,13,0,0,22,7,7,3.9,1271,8.4
Andy Dalton,6187,QB,CIN,8,2.39,2.28,3.25,4.84,369,7,72.8,217,226,6.1,1.89,7,5,2.1,63.7,144,48,8.9,233,63.1,14,67,,,,57.1,62.1,84.0,,61.7,,,,,1,5,245,14.6,75.0,3.0,7,0,0,1,4,9,3.7,1256,5.6,69.1,97,109,12.7,3.25,3,5,4.2,55.0,60,69,10.4,136,36.9,7,39,,,,87.6,69.9,82.0,,67.3,,74.7,,,2,3,147,31.9,89.9,16.2,22,5,0,7,5,4,2.7,996,9.1
Kyler Murray,38334,QB,ARZ,9,2.69,2.47,3.99,4.58,361,1,75.5,188,196,5.0,1.76,4,4,2.0,68.4,134,22,5.6,201,55.7,8,54,,,,90.0,54.1,83.3,,54.3,,,,,0,3,208,22.7,82.4,2.5,5,0,0,4,4,4,1.9,1080,5.5,73.7,99,117,11.9,3.88,2,9,7.1,59.0,69,76,5.5,159,44.0,4,55,,,,64.3,84.5,82.6,,80.8,,75.1,,,0,1,174,30.3,102.8,14.5,23,19,0,16,5,3,1.7,1149,9.8
Gardner Minshew,41401,QB,JAX,9,2.97,2.83,3.36,4.45,360,15,78.0,123,130,5.5,1.91,4,4,2.9,68.5,89,27,7.3,135,37.5,7,46,,,,87.4,84.3,81.9,,82.2,,,,,1,1,143,18.5,95.9,3.7,5,0,0,2,5,0,0.0,847,6.5,66.5,158,176,11.1,3.66,1,9,4.8,56.3,99,111,5.7,222,61.7,6,70,,,,22.3,65.2,83.9,,62.7,,69.1,,,5,3,239,14.4,91.1,7.2,16,30,0,12,8,15,6.3,1438,8.2
Deshaun Watson,11767,QB,HST,9,2.9,2.61,3.89,5.36,358,13,87.2,164,165,4.7,1.79,0,3,1.7,80.0,132,32,7.7,167,46.6,11,66,,,,89.0,82.1,82.7,,80.1,,,,,1,1,175,6.3,108.6,1.2,2,0,0,0,8,3,1.7,1122,6.8,69.3,127,136,14.5,3.94,1,15,9.8,58.8,80,105,9.1,188,52.5,8,71,,,,25.9,82.6,83.3,,77.8,,79.2,,,0,4,207,21.9,103.5,12.2,23,29,0,8,10,11,5.3,1310,9.6
Philip Rivers,1725,QB,LAC,9,2.61,2.54,3.19,6.0,354,27,84.2,139,148,5.9,1.97,6,3,1.9,74.3,110,36,6.0,149,42.1,7,58,,,,88.3,74.0,82.3,,72.7,,,,,1,4,160,2.8,100.3,0.7,1,0,0,2,8,6,3.8,1049,7.1,72.7,172,184,12.2,3.09,0,14,7.1,61.4,113,97,9.6,204,57.6,12,75,,,,73.3,85.1,38.9,,84.2,,55.3,,,2,3,218,15.5,89.0,7.4,15,5,0,10,4,9,4.1,1560,8.5
Aaron Rodgers,2241,QB,GB,9,2.94,2.75,4.13,5.48,352,12,82.5,154,160,4.1,1.72,1,3,1.8,75.0,120,22,5.5,160,45.5,7,52,,,,88.6,76.0,82.5,,74.5,,,,,0,2,166,0.0,102.0,0.0,0,0,0,5,7,1,0.6,1077,6.7,70.9,134,158,13.8,3.96,0,18,10.3,56.3,89,108,6.3,192,54.5,6,66,,,,56.0,90.3,83.4,,86.3,,79.8,,,4,0,214,18.5,107.4,10.4,20,14,0,20,10,6,2.8,1414,8.9
Jameis Winston,9434,QB,TB,8,2.79,2.57,3.69,5.11,352,30,71.4,154,162,7.1,1.91,4,3,1.8,63.6,103,33,6.4,169,48.0,7,68,,,,68.7,67.3,32.7,,67.1,,,,,2,6,177,21.2,81.6,4.1,7,0,0,2,6,9,5.1,1152,7.1,70.4,125,143,16.2,3.6,2,9,5.8,55.2,79,93,10.2,183,52.0,9,61,,,,34.1,70.1,34.6,,69.9,,62.5,,,5,6,197,24.7,90.5,12.6,23,17,0,11,10,13,6.6,1255,8.8
Carson Wentz,10636,QB,PHI,9,2.67,2.52,3.77,4.41,339,24,79.6,157,161,5.4,1.86,4,2,1.1,70.2,113,28,9.6,162,47.8,12,49,,,,89.0,77.5,82.7,,75.9,,,,,0,0,175,3.6,91.1,0.6,1,0,0,0,4,1,0.6,861,5.3,67.5,126,142,14.1,3.43,4,15,9.7,54.2,77,94,9.4,176,51.9,8,58,,,,70.3,86.9,83.0,,85.5,,63.7,,,5,4,189,20.2,96.5,10.8,19,15,0,7,11,8,4.2,1199,8.4
Russell Wilson,7077,QB,SEA,9,2.81,2.69,3.15,4.13,338,29,79.5,156,160,6.8,1.84,2,9,5.4,75.0,120,38,3.2,168,49.7,4,62,,,,89.0,82.5,82.7,,80.8,,58.3,,,1,0,175,18.4,117.8,4.2,7,1,0,1,11,0,0.0,1165,7.3,73.5,117,132,14.3,3.78,0,17,11.0,60.6,80,103,7.0,169,50.0,6,67,,,,71.4,93.1,83.1,,91.4,,82.3,,,1,1,198,14.6,119.5,8.9,15,22,0,14,11,4,2.0,1340,10.2
