player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Terrell Suggs,1326,ED,ARZ,6,3,0,100.0,0,3,1,45.3,68.9,20.0,77.2,63.0,41.8,2,12,0,15,17.6,3,0,3,113.9,3,5,3,0,15,286,283,0,1,282,0,0,3,171,100,0,12,11,3,19,0,34,12,11.3
Thomas Davis Sr.,2231,LB,LAC,6,11,0,72.7,0,0,27,51.1,54.5,0.0,66.7,64.0,69.2,0,1,0,20,6.5,3,0,3,98.5,16,2,288,0,149,310,3,0,0,3,0,3,307,10,151,16,17,32,22,3,1,109,76,6.8
Lorenzo Alexander,2476,ED,BUF,5,1,2,100.0,0,1,4,64.6,68.6,31.2,72.3,58.3,68.3,1,9,0,6,6.7,1,0,1,89.6,2,3,45,0,20,151,101,0,1,100,0,1,50,86,45,4,9,13,2,13,0,11,13,5.5
Johnathan Joseph,2969,CB,HST,5,2,0,64.4,1,0,13,57.1,60.4,83.5,75.9,71.1,38.5,0,0,0,34,20.0,8,5,1,102.6,29,0,24,285,233,327,0,0,0,0,0,0,327,2,92,18,8,30,45,0,2,346,73,11.9
Antoine Bethea,3152,S,NYG,6,5,0,83.3,0,0,21,51.8,61.3,82.9,68.4,81.2,79.9,0,0,0,45,7.1,3,0,0,158.3,5,0,91,2,228,407,2,0,0,2,0,288,405,3,176,24,7,34,6,0,1,132,54,26.4
Tramon Williams,3558,CB,GB,6,3,0,59.1,0,0,12,76.8,73.6,22.3,55.9,61.1,71.3,1,1,0,61,7.7,1,2,2,101.3,13,0,24,66,192,278,1,0,0,1,0,1,277,8,78,186,1,9,22,2,1,184,107,14.2
Eric Weddle,3653,S,LA,6,11,0,91.7,0,0,26,75.6,79.8,84.5,68.2,76.3,73.5,0,1,0,16,6.4,3,1,0,128.8,11,0,112,1,212,380,13,0,0,13,0,191,367,3,165,63,11,33,12,1,1,99,71,9.0
Brandon Mebane,3701,DI,LAC,6,2,0,,0,0,27,59.3,56.5,85.1,56.5,57.2,58.5,1,3,0,,6.7,1,0,0,0.0,0,1,0,0,0,183,183,143,40,0,0,0,0,77,106,0,9,12,0,5,0,0,0,
Dominique Rodgers-Cromartie,4330,CB,WAS,2,1,0,85.7,0,0,32,41.5,42.6,77.7,,51.3,32.2,0,0,0,16,25.0,2,0,0,106.0,6,0,4,51,33,62,0,0,0,0,0,0,62,0,29,7,0,5,7,0,0,66,20,11.0
Aqib Talib,4334,CB,LA,5,2,0,52.0,2,0,26,55.8,55.4,82.7,,52.4,33.2,0,0,0,30,27.8,5,2,2,112.2,13,0,45,263,205,334,1,0,0,1,0,3,333,0,129,22,2,11,25,0,3,163,41,12.5
Calais Campbell,4364,DI,JAX,6,6,0,,0,1,15,63.2,91.0,44.0,85.6,90.1,46.6,6,22,0,,20.7,6,0,2,0.0,0,3,3,0,2,314,311,20,102,86,103,0,3,199,113,0,14,17,0,31,0,0,0,
Brandon Carr,4454,CB,BLT,6,0,0,59.4,1,0,3,67.4,66.5,83.6,65.6,52.1,65.7,2,1,0,31,11.1,2,3,3,85.4,19,1,23,144,219,328,5,0,0,5,0,2,323,14,95,154,6,16,32,4,1,180,64,9.5
Orlando Scandrick,4457,CB,PHI,2,0,0,50.0,0,2,24,69.1,95.5,76.8,99.9,86.5,77.0,0,1,0,2,0.0,0,0,0,56.3,1,2,4,0,32,47,3,0,0,3,0,2,44,5,10,38,4,2,2,3,0,2,0,2.0
Wesley Woodyard,4583,LB,TEN,5,3,0,100.0,0,0,31,59.1,58.5,77.8,81.4,50.5,70.8,1,2,0,46,6.3,1,0,0,118.8,6,1,105,1,59,116,5,0,0,5,0,0,111,8,49,5,8,12,6,4,0,97,69,16.2
Cameron Wake,4907,ED,TEN,4,0,1,,0,0,31,,81.6,82.6,77.0,60.9,74.0,4,4,0,,0.0,0,0,0,0.0,0,3,0,0,0,79,79,0,2,73,4,0,0,74,5,0,3,1,0,11,0,0,0,
Malcolm Jenkins,4937,S,PHI,6,4,0,64.7,0,2,24,60.2,64.5,82.6,46.5,78.6,69.9,1,4,0,51,10.3,3,1,0,108.0,11,0,141,6,239,395,47,0,0,47,0,78,348,27,129,123,11,22,17,5,1,132,46,12.0
Clay Matthews,4949,ED,LA,5,2,0,80.0,0,2,26,28.5,61.2,84.0,69.8,68.2,51.1,4,8,0,17,16.7,3,0,1,104.2,4,5,9,0,27,219,203,0,0,203,0,0,16,100,92,7,11,13,5,17,0,45,19,11.3
