player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Terrell Suggs,1326,ED,ARZ,5,3,0,100.0,0,2,1,43.5,67.5,33.4,73.8,63.7,51.3,2,11,0,15,13.3,2,0,2,113.9,3,4,3,0,13,255,252,0,1,251,0,0,3,147,95,0,10,10,3,17,0,34,12,11.3
Thomas Davis Sr.,2231,LB,LAC,5,10,0,71.4,0,0,27,45.8,48.1,17.4,66.7,57.2,64.9,0,1,0,20,7.7,3,0,2,99.5,15,2,242,0,134,263,3,0,0,3,0,3,260,10,119,15,12,26,21,3,1,111,76,7.4
Lorenzo Alexander,2476,ED,BUF,5,1,2,100.0,0,1,4,64.6,68.6,31.2,72.3,58.3,68.3,1,9,0,6,6.7,1,0,1,89.6,2,3,45,0,20,151,101,0,1,100,0,1,50,86,45,4,9,13,2,13,0,11,13,5.5
Johnathan Joseph,2969,CB,HST,5,2,0,64.4,1,0,13,57.1,60.4,83.5,75.9,71.1,38.5,0,0,0,34,20.0,8,5,1,102.6,29,0,24,285,233,327,0,0,0,0,0,0,327,2,92,18,8,30,45,0,2,346,73,11.9
Antoine Bethea,3152,S,NYG,5,4,0,83.3,0,0,21,49.1,61.4,81.7,68.4,87.4,89.7,0,0,0,45,2.9,1,0,0,158.3,5,0,73,2,182,328,1,0,0,1,0,238,327,3,143,14,5,30,6,0,1,132,54,26.4
Tramon Williams,3558,CB,GB,5,3,0,57.9,0,0,12,76.8,73.8,16.6,60.5,60.7,68.0,1,0,0,61,9.1,1,1,2,104.9,11,0,22,61,170,249,1,0,0,1,0,1,248,6,73,164,1,7,19,1,1,169,105,15.4
Eric Weddle,3653,S,LA,5,9,0,91.7,0,0,26,71.8,75.8,83.6,68.2,73.4,69.4,0,1,0,16,7.5,3,1,0,128.8,11,0,89,1,176,303,8,0,0,8,0,145,295,3,124,60,10,28,12,1,1,99,71,9.0
Brandon Mebane,3701,DI,LAC,5,2,0,,0,0,27,59.3,53.6,84.2,58.6,53.2,57.4,1,2,0,,7.1,1,0,0,0.0,0,1,0,0,0,146,146,112,34,0,0,0,0,64,82,0,8,11,0,4,0,0,0,
Dominique Rodgers-Cromartie,4330,CB,WAS,2,1,0,85.7,0,0,32,41.5,42.6,77.7,,51.3,32.2,0,0,0,16,25.0,2,0,0,106.0,6,0,4,51,33,62,0,0,0,0,0,0,62,0,29,7,0,5,7,0,0,66,20,11.0
Aqib Talib,4334,CB,LA,5,2,0,52.0,2,0,26,55.8,55.4,82.7,,52.4,33.2,0,0,0,30,27.8,5,2,2,112.2,13,0,45,263,205,334,1,0,0,1,0,3,333,0,129,22,2,11,25,0,3,163,41,12.5
