player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Rasul Douglas,11854,CB,PHI,10,3,3.7,2,0,24,52.8,57.9,85.3,60.0,79.1,66.9,7.7,1,5,139,148,4.3,6,9
Trey Hendrickson,11858,ED,NO,7,0,0.7,1,0,20,62.8,58.1,9.9,66.3,53.2,31.5,40.0,2,3,50,51,6.0,3,3
Vince Biegel,11863,ED,MIA,10,11,4.5,0,0,17,77.4,67.0,85.2,64.4,56.8,54.2,13.8,4,0,125,132,4.8,6,14
Jaleel Johnson,11864,DI,MIN,11,4,3.2,0,0,18,59.0,58.8,85.5,54.7,60.3,75.1,6.3,1,0,98,100,8.2,8,11
Tedric Thompson,11866,S,SEA,6,2,7.0,0,0,29,48.3,46.6,84.5,,46.5,62.0,33.3,2,1,113,121,0.0,0,2
Eddie Jackson,11867,S,CHI,10,1,4.5,0,0,6,66.1,66.3,29.0,71.1,66.9,48.0,14.3,3,2,249,257,3.2,8,17
Rayshawn Jenkins,11868,S,LAC,11,6,12.7,0,0,27,79.3,71.5,47.2,61.2,49.0,45.5,26.7,8,1,269,281,1.9,5,16
Carl Lawson,11871,ED,CIN,6,2,3.3,0,0,7,53.1,62.3,86.1,61.2,61.2,39.0,28.6,2,0,77,80,1.3,1,3
Tarik Cohen,11874,HB,CHI,1,0,,0,0,6,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Ben Gedeon,11875,LB,MIN,8,5,2.7,0,0,18,40.0,60.1,76.5,56.6,75.9,83.5,0.0,0,0,59,61,6.8,4,7
Montae Nicholson,11878,S,WAS,8,4,13.3,0,0,32,56.4,59.4,84.2,54.0,65.8,63.1,5.6,1,2,211,219,1.4,3,13
Jalen Reeves-Maybin,11879,LB,DET,6,0,2.7,0,0,11,51.1,52.6,80.9,77.3,51.2,79.2,0.0,0,0,30,30,6.7,2,3
Samson Ebukam,11880,ED,LA,10,9,0.9,1,0,26,37.8,70.5,49.7,65.0,83.5,51.3,4.0,1,2,159,164,8.8,14,15
Deatrich Wise Jr.,11886,ED,NE,8,0,3.3,1,0,19,61.7,66.1,0.0,87.5,52.4,44.3,18.2,2,3,50,51,10.0,5,9
Ryan Glasgow,11893,DI,CIN,5,5,2.3,0,0,7,56.8,58.1,81.4,60.1,58.9,53.4,10.0,1,0,79,81,3.8,3,4
Carlos Watkins,11897,DI,HST,6,0,1.5,0,0,13,60.8,53.3,81.9,56.3,49.9,26.5,33.3,2,0,46,46,8.7,4,4
Grover Stewart,11899,DI,IND,10,6,2.2,0,0,14,55.6,63.6,66.5,59.4,67.2,75.2,0.0,0,1,145,151,6.9,10,13
Damontae Kazee,11904,CB,ATL,10,3,6.4,0,0,2,58.2,59.3,85.0,62.5,59.7,53.2,15.4,2,1,136,144,2.9,4,8
Desmond King II,11906,CB,LAC,11,2,3.0,2,0,27,69.9,70.2,0.0,87.1,74.9,88.2,0.0,0,4,148,154,1.4,2,4
