player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Vernon Davis,2951,TE,WAS,4,17,0,32,0,-4.0,0,100.0,,0,0,0.0,0,0,0,78.7,51.3,0,-4,12.5,1,8,1,87.5,7,79.2,1,5.9,0,-4,0,0.0,-4.0,-0.57,8.0,0,42.9,50.0,1,2,25.0,1,1,0,56.9,49.2,1,15,0.0,0,49,3,95.9,47,15.5,7,41.2,0,29,0,0.0,9.7,0.62
Josh Reynolds,11872,WR,LA,8,17,0,26,0,,0,,,0,0,,0,0,0,,48.5,0,0,0.0,0,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,12.3,1,42.9,50.0,1,2,25.0,1,3,0,28.1,60.2,0,31,0.0,0,36,3,91.7,33,120.8,7,41.2,1,73,15,5.0,24.3,2.21
Chase Edmonds,45851,HB,ARZ,8,17,0,1,0,-4.1,1,71.4,,0,0,28.6,2,1,0,25.2,74.8,0,31,5.3,1,19,5,89.5,17,92.0,7,41.2,0,51,67,13.4,10.2,3.0,3.0,1,75.0,100.0,1,1,25.0,2,3,0,27.6,61.5,0,12,0.0,0,28,6,92.9,26,88.0,8,47.1,0,45,30,5.0,7.5,1.73
Kendrick Bourne,12270,WR,SF,8,16,0,28,0,,0,,,0,0,,0,0,0,,43.3,0,0,0.0,0,16,0,87.5,14,0.0,0,0.0,0,0,0,,,0.0,14.5,1,100.0,,0,0,0.0,0,2,0,45.7,57.5,0,28,0.0,0,42,2,88.1,37,118.8,2,12.5,0,50,21,10.5,25.0,1.35
Charles Clay,6326,TE,ARZ,9,16,0,1,0,-4.0,0,100.0,,0,0,0.0,0,0,0,78.7,34.4,0,6,9.4,3,32,1,78.1,25,91.7,1,6.3,0,6,10,10.0,6.0,0.24,7.0,0,66.7,,0,0,0.0,0,1,0,82.7,64.3,0,12,0.0,0,30,2,90.0,27,81.3,3,18.8,0,17,-1,-0.5,8.5,0.63
Marquise Goodwin,7859,WR,SF,6,16,0,28,0,,0,,,0,0,,0,0,0,,42.4,0,0,0.0,0,20,0,95.0,19,0.0,0,0.0,0,0,0,,,0.0,16.3,0,100.0,,0,0,0.0,0,4,0,78.0,65.3,0,38,0.0,0,34,4,91.2,31,158.3,4,25.0,1,83,18,4.5,20.8,2.68
Derrick Henry,10679,HB,TEN,9,16,0,31,0,-3.7,2,70.0,,0,0,22.2,2,3,0,26.3,68.7,0,75,8.7,2,23,7,91.3,21,152.1,10,62.5,2,138,167,23.9,19.7,6.57,,0,,,0,0,,0,0,0,45.7,49.5,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0
Ty Johnson,45769,HB,DET,8,16,0,11,0,-2.3,2,75.0,,0,0,0.0,0,0,0,88.7,66.1,0,1,9.1,1,11,3,90.9,10,77.1,4,25.0,0,1,9,3.0,0.3,0.1,4.0,0,100.0,,0,0,0.0,0,0,0,61.3,48.2,0,13,16.7,1,6,1,83.3,5,118.8,1,6.3,0,13,9,9.0,13.0,2.6
Matt Breida,12271,HB,SF,8,16,0,28,0,-4.6,3,85.7,,0,0,14.3,1,2,0,32.0,91.9,1,15,0.0,0,16,6,93.8,15,44.9,7,43.8,0,30,58,9.7,5.0,2.0,,0,,,0,0,,0,0,0,50.4,78.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Albert Wilson,8943,WR,MIA,5,16,0,17,0,-4.4,1,100.0,,0,0,0.0,0,0,0,90.6,59.1,0,5,0.0,0,11,5,100.0,11,79.2,5,31.3,0,10,32,6.4,2.0,0.91,5.6,2,72.7,0.0,0,1,0.0,0,4,0,84.5,62.8,0,22,0.0,0,61,8,88.5,54,114.6,11,68.8,1,57,38,4.8,7.1,1.06
J.D. McKissic,11047,HB,DET,8,16,0,11,0,-2.4,1,100.0,,0,0,0.0,0,0,0,90.6,92.3,0,12,0.0,0,8,5,100.0,8,94.2,5,31.3,0,33,45,9.0,6.6,4.13,2.0,1,100.0,,0,0,0.0,0,1,0,85.7,70.1,0,22,0.0,0,14,3,92.9,13,116.7,3,18.8,0,36,30,10.0,12.0,2.77
Foster Moreau,47043,TE,OAK,8,16,0,23,0,,0,,,0,0,,0,0,0,,32.1,0,0,12.5,1,8,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0,4.0,0,100.0,,0,0,0.0,0,1,0,78.7,81.7,0,10,0.0,0,7,1,100.0,7,147.9,1,6.3,1,10,6,6.0,10.0,1.43
Devin Singletary,40485,HB,BUF,5,16,0,4,0,-5.0,2,83.3,,0,0,16.7,1,1,0,25.2,26.6,0,49,0.0,0,12,5,91.7,11,98.6,6,37.5,0,46,76,15.2,9.2,4.18,-4.0,0,100.0,,0,0,0.0,0,0,0,26.1,28.7,0,-1,0.0,0,9,1,88.9,8,79.2,1,6.3,0,-1,3,3.0,-1.0,-0.13
Geoff Swaim,9679,TE,JAX,6,16,0,15,0,,0,,,0,0,,0,0,0,,42.0,0,0,11.1,1,9,0,88.9,8,0.0,0,0.0,0,0,0,,,0.0,3.8,0,66.7,,0,0,0.0,0,1,0,82.7,46.9,0,9,1.5,1,66,6,84.8,56,75.2,9,56.3,0,38,23,3.8,6.3,0.68
Russell Gage,44771,WR,ATL,8,16,0,2,0,,0,,,0,0,,0,0,0,,49.6,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,7.0,1,85.7,,0,0,0.0,0,3,0,82.2,68.4,0,17,0.0,0,34,6,94.1,32,97.0,7,43.8,0,51,10,1.7,8.5,1.59
Travis Benjamin,7100,WR,LAC,5,16,0,27,0,-5.0,1,100.0,,0,0,0.0,0,1,0,84.5,70.5,0,10,0.0,0,10,2,90.0,9,79.2,2,12.5,0,3,13,6.5,1.5,0.33,15.0,1,40.0,0.0,0,1,50.0,2,1,0,25.8,42.4,0,10,0.0,0,48,2,89.6,43,47.9,5,31.3,0,3,13,6.5,1.5,0.07
Josh Jacobs,45953,HB,OAK,8,15,0,23,0,-6.0,1,100.0,,0,0,0.0,0,0,0,78.7,69.0,0,4,8.3,1,12,1,83.3,10,83.3,1,6.7,0,4,10,10.0,4.0,0.4,,0,,,0,0,,0,0,0,29.5,47.7,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
