player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Andy Dalton,6187,QB,CIN,7,2.42,2.31,3.27,5.03,314,7,73.7,179,186,5.8,1.91,6,5,2.5,64.0,119,43,9.8,192,61.1,13,56,,,,50.4,63.6,83.2,,63.1,,,,,1,5,203,14.0,73.3,3.1,6,0,0,0,3,8,3.9,1058,5.7,68.2,88,100,12.1,3.23,3,5,4.5,53.0,53,60,11.7,122,38.9,7,35,,,,86.8,67.4,81.6,,64.5,,78.3,,,2,3,133,30.0,86.5,14.8,18,4,0,7,5,4,3.0,865,8.7
Matt Ryan,4317,QB,ATL,7,2.68,2.57,3.15,5.08,313,2,83.0,135,138,6.5,1.95,3,2,1.3,80.4,111,39,0.9,143,45.7,1,55,,,,66.0,74.4,82.2,,73.1,,,,,0,4,156,12.8,107.0,3.5,5,0,0,0,8,5,3.2,1097,7.9,75.4,130,147,11.0,3.3,1,8,5.1,61.9,91,79,7.1,170,54.3,7,54,,,,49.8,68.2,82.8,,67.8,,59.2,,,4,4,183,17.7,88.6,8.2,14,9,0,12,7,7,3.8,1073,7.3
Jared Goff,10635,QB,LA,7,2.68,2.61,3.21,5.72,301,26,80.6,124,129,5.5,1.93,3,4,2.9,75.2,97,41,3.0,132,43.9,3,46,,,,87.2,81.2,81.8,,79.4,,,,,2,3,139,7.3,106.7,2.3,3,0,0,0,8,2,1.4,960,7.4,64.0,139,154,10.5,3.28,2,9,5.3,50.6,78,81,12.4,168,55.8,11,52,,,,50.5,60.5,82.9,,60.8,,54.3,,,6,4,184,11.1,63.6,5.4,9,5,0,7,1,11,6.0,1035,6.7
Kyler Murray,38334,QB,ARZ,7,2.71,2.46,4.21,4.58,297,1,75.8,153,161,5.5,1.77,4,3,1.8,68.3,110,16,5.2,164,55.2,6,47,,,,88.8,53.1,82.5,,53.3,,,,,0,3,169,18.8,82.6,1.8,3,0,0,4,4,3,1.8,890,5.5,74.1,81,95,11.8,3.9,2,6,5.8,60.0,57,63,5.0,132,44.4,3,47,,,,87.5,83.3,81.9,,79.0,,76.5,,,0,1,144,30.2,96.7,14.4,19,18,0,12,3,2,1.4,878,9.2
Philip Rivers,1725,QB,LAC,7,2.61,2.55,2.96,5.98,293,27,83.2,113,121,5.9,1.97,5,3,2.3,73.6,89,34,5.3,122,41.6,5,51,,,,86.8,70.8,81.5,,69.7,,,,,1,3,130,2.9,102.6,0.8,1,0,0,2,7,5,3.8,879,7.3,72.0,143,154,12.2,3.08,0,12,7.2,61.0,94,84,8.7,170,58.0,9,61,,,,69.5,79.4,31.2,,78.8,,57.2,,,2,3,183,14.3,86.9,7.1,12,4,0,9,4,8,4.4,1235,8.0
Tom Brady,698,QB,NE,7,2.43,2.39,3.48,,283,19,80.4,153,158,4.5,1.82,1,6,3.6,72.2,114,25,7.3,159,56.2,9,47,,,,88.6,78.5,82.5,,76.9,,,,,0,1,166,4.0,98.5,0.6,1,0,0,4,6,1,0.6,998,6.3,72.4,98,115,12.4,3.22,1,7,5.6,57.4,66,52,7.0,124,43.8,5,46,,,,39.2,79.6,81.7,,77.4,,63.3,,,1,3,135,17.3,89.5,7.3,9,0,0,15,5,4,3.0,994,8.6
Deshaun Watson,11767,QB,HST,7,2.9,2.59,3.84,5.7,278,13,86.3,131,132,4.8,1.78,0,3,2.2,80.3,106,25,6.2,134,48.2,7,53,,,,87.3,84.5,81.8,,82.4,,,,,1,1,140,8.0,107.9,1.5,2,0,0,0,6,2,1.4,926,7.0,66.7,96,102,16.0,3.99,0,13,11.3,55.9,57,82,10.9,142,51.1,7,52,,,,23.2,79.5,82.2,,75.0,,77.3,,,0,4,156,23.2,97.1,13.4,19,21,0,6,7,10,6.4,1026,10.1
Aaron Rodgers,2241,QB,GB,7,2.94,2.79,4.08,5.18,272,12,79.0,119,122,4.3,1.71,1,3,2.3,73.0,89,16,5.3,122,44.9,5,37,,,,86.7,71.9,81.5,,70.8,,,,,0,2,128,0.0,97.3,0.0,0,0,0,2,5,1,0.8,807,6.6,75.5,106,128,13.4,3.94,0,16,11.2,57.8,74,84,7.5,150,55.1,6,54,,,,47.6,92.4,82.5,,91.1,,74.9,,,4,0,169,14.3,110.7,8.0,12,10,0,18,8,3,1.8,1218,9.5
Russell Wilson,7077,QB,SEA,7,2.87,2.75,3.05,4.21,267,29,83.8,117,120,6.0,1.82,1,5,3.9,78.3,94,27,4.1,128,47.9,4,46,,,,87.0,77.4,81.7,,76.2,,58.3,,,1,0,135,25.9,114.1,5.5,7,1,0,1,6,0,0.0,886,7.4,70.5,95,109,15.3,3.86,0,13,10.5,57.8,63,84,6.0,138,51.7,4,50,,,,66.5,91.7,82.3,,88.9,,83.7,,,1,1,159,11.9,114.4,7.2,10,19,0,13,9,3,1.9,1059,9.7
Gardner Minshew,41401,QB,JAX,7,2.94,2.82,3.01,4.54,266,15,77.5,89,95,5.7,1.93,3,3,3.0,68.4,65,21,5.8,100,37.6,4,37,,,,85.2,78.6,80.8,,77.0,,,,,1,1,106,23.8,97.9,5.0,5,0,0,2,4,0,0.0,664,7.0,66.1,118,130,11.1,3.62,1,7,4.9,56.9,74,84,5.1,163,61.3,4,45,,,,23.3,63.8,82.8,,62.0,,66.0,,,2,1,179,13.1,94.8,6.7,11,22,0,9,6,10,5.6,1033,7.9
