player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Terrell Suggs,1326,ED,ARZ,4,2,2.8,0,0,1,54.0,73.5,25.3,80.2,64.1,51.3,15.4,2,2,72,79,9.7,7,9
Thomas Davis Sr.,2231,LB,LAC,4,6,4.0,0,0,27,45.5,48.1,8.6,68.1,58.2,61.3,9.1,2,2,89,95,6.7,6,14
Lorenzo Alexander,2476,ED,BUF,4,0,5.2,0,0,4,62.4,70.7,82.0,66.4,67.0,79.1,0.0,0,0,24,26,8.3,2,6
Johnathan Joseph,2969,CB,HST,4,0,19.5,1,0,13,58.6,60.7,82.8,60.0,70.4,37.2,0.0,0,1,70,73,0.0,0,2
Antoine Bethea,3152,S,NYG,4,3,8.4,0,0,21,53.1,62.8,81.0,68.4,83.0,90.3,0.0,0,0,106,109,2.8,3,8
Tramon Williams,3558,CB,GB,4,2,,0,0,12,75.9,72.0,0.9,62.4,57.0,83.4,0.0,0,2,56,58,0.0,0,0
Eric Weddle,3653,S,LA,4,4,3.0,0,0,26,74.6,78.7,82.6,68.2,72.1,65.5,8.3,1,0,83,86,6.0,5,7
Brandon Mebane,3701,DI,LAC,4,2,3.0,0,0,27,59.3,57.9,83.1,60.8,57.5,53.8,0.0,0,0,53,59,5.7,3,6
Dominique Rodgers-Cromartie,4330,CB,WAS,2,0,13.5,0,0,32,41.5,42.6,77.7,,51.3,32.2,33.3,1,0,27,29,0.0,0,2
Aqib Talib,4334,CB,LA,4,0,13.0,0,0,26,61.2,60.0,82.4,,50.6,29.9,66.7,2,0,91,93,0.0,0,1
Calais Campbell,4364,DI,JAX,4,2,1.1,0,0,15,63.2,90.5,26.4,90.2,80.5,41.3,30.8,4,2,68,70,5.9,4,7
Brandon Carr,4454,CB,BLT,4,0,25.0,1,0,3,68.8,66.6,82.1,70.0,41.8,74.7,50.0,1,1,61,65,0.0,0,1
Wesley Woodyard,4583,LB,TEN,3,0,1.0,0,0,31,68.9,67.8,73.2,57.5,61.5,57.8,20.0,1,0,15,16,20.0,3,4
Cameron Wake,4907,ED,TEN,4,0,4.0,0,0,31,,81.6,82.6,77.0,60.9,74.0,0.0,0,0,5,5,0.0,0,1
Malcolm Jenkins,4937,S,PHI,4,0,0.0,0,0,24,63.5,64.1,81.1,50.8,67.2,64.9,0.0,0,0,71,74,1.4,1,1
Clay Matthews,4949,ED,LA,4,1,-0.3,0,1,26,28.9,62.3,83.1,65.7,72.4,54.1,18.2,2,0,64,67,9.4,6,8
Patrick Chung,4957,S,NE,4,2,2.2,1,0,19,62.7,61.8,80.2,54.2,59.6,78.3,11.1,1,1,53,54,9.4,5,6
Jason McCourty,5127,CB,NE,4,1,2.0,0,0,19,80.5,81.3,82.9,54.9,77.5,85.8,0.0,0,0,47,48,4.3,2,2
Clinton McDonald,5173,DI,ARZ,4,1,6.3,0,0,1,58.3,62.6,78.8,61.0,62.1,70.6,0.0,0,0,18,18,11.1,2,3
Steve McLendon,5232,DI,NYJ,3,0,0.0,0,0,22,62.1,78.6,79.8,59.8,80.8,72.4,0.0,0,0,34,35,11.8,4,5
Michael Bennett,5273,DI,NE,4,0,8.0,0,0,19,60.5,63.0,80.4,67.1,47.9,70.2,0.0,0,0,22,22,0.0,0,1
Ndamukong Suh,5527,DI,TB,4,3,-1.0,0,0,30,68.1,64.9,84.0,55.7,68.9,47.5,0.0,0,0,53,53,1.9,1,1
Gerald McCoy,5528,DI,CAR,4,2,2.7,0,0,5,,70.8,20.3,63.1,77.8,27.5,27.3,3,2,65,67,7.7,5,6
Joe Haden,5532,CB,PIT,4,1,7.0,0,0,25,60.3,58.8,82.1,,50.5,58.8,12.5,1,1,118,123,1.7,2,6
Tyson Alualu,5535,DI,PIT,4,1,3.0,1,0,25,60.0,64.0,26.3,62.9,65.8,72.3,0.0,0,1,48,51,2.1,1,3
Brandon Graham,5538,ED,PHI,4,1,-0.3,0,0,24,70.8,87.7,86.8,74.3,83.1,30.1,16.7,2,0,55,56,14.5,8,9
Earl Thomas III,5539,S,BLT,4,5,22.0,0,0,3,73.5,70.0,83.0,52.9,49.8,59.8,20.0,2,0,69,73,0.0,0,3
Kareem Jackson,5545,S,DEN,3,3,2.3,0,0,10,70.9,76.9,80.6,71.8,78.0,78.9,9.1,1,0,79,83,6.3,5,7
Devin McCourty,5552,S,NE,4,1,18.0,0,0,19,90.1,89.4,10.8,53.6,53.6,73.1,20.0,1,1,58,59,0.0,0,3
Jerry Hughes,5556,ED,BUF,4,1,0.5,0,0,4,61.5,64.8,26.9,67.8,61.2,41.4,16.7,1,2,43,46,9.3,4,4
Linval Joseph,5571,DI,MIN,4,3,2.0,0,0,18,71.0,69.1,84.9,60.8,66.8,74.6,0.0,0,0,81,81,8.6,7,8
Carlos Dunlap,5579,ED,CIN,4,3,1.3,0,0,7,65.5,66.9,86.3,65.8,57.5,77.9,0.0,0,0,105,108,1.9,2,4
Sean Lee,5580,LB,DAL,4,2,14.0,0,0,9,59.7,59.4,76.6,70.7,55.0,42.4,20.0,1,0,29,32,0.0,0,2
Morgan Burnett,5596,S,CLV,2,4,0.5,0,0,8,53.1,64.1,76.3,76.8,75.7,84.6,0.0,0,0,46,47,4.3,2,2
Corey Peters,5607,DI,ARZ,4,2,3.4,0,0,1,,70.3,53.7,63.6,71.5,31.7,12.5,1,1,91,97,3.3,3,5
Everson Griffen,5624,ED,MIN,4,2,3.0,0,0,18,73.0,81.8,39.5,83.3,63.7,29.4,30.8,4,2,87,87,6.9,6,7
Geno Atkins,5643,DI,CIN,4,3,2.9,0,0,7,59.5,79.6,82.9,80.4,68.2,59.0,0.0,0,0,86,90,5.8,5,7
Al Woods,5646,DI,SEA,4,3,1.2,0,0,29,60.7,63.6,82.5,50.2,67.2,53.8,18.2,2,0,50,55,12.0,6,6
Reshad Jones,5686,S,MIA,2,2,13.6,1,0,17,58.2,62.3,78.5,58.2,67.2,69.8,0.0,0,1,51,54,3.9,2,5
Kyle Love,5806,DI,CAR,4,0,1.0,0,0,5,,50.0,79.9,60.2,43.1,66.8,0.0,0,0,37,37,2.7,1,1
Darian Stewart,5820,S,TB,2,0,11.0,0,0,30,53.1,42.7,0.0,56.3,48.9,27.2,40.0,2,1,31,31,3.2,1,3
Tramaine Brock Sr.,5903,CB,ARZ,4,0,3.6,0,0,1,61.1,61.6,20.5,63.3,67.7,63.2,0.0,0,1,91,94,4.4,4,5
Anthony Levine,6013,S,BLT,3,0,,0,0,3,61.4,62.7,79.2,70.0,60.0,74.4,,0,0,3,3,0.0,0,0
Andrew Sendejo,6118,S,PHI,4,0,2.3,0,0,24,63.0,65.6,80.0,73.9,62.4,61.5,40.0,2,0,19,19,10.5,2,3
Von Miller,6154,ED,DEN,4,3,3.7,1,0,10,48.7,71.2,30.6,65.7,80.5,54.8,7.1,1,2,102,109,4.9,5,10
Marcell Dareus,6155,DI,JAX,3,1,3.3,0,0,15,60.0,52.1,80.9,53.5,56.7,42.3,0.0,0,0,46,47,6.5,3,3
J.J. Watt,6163,ED,HST,4,3,5.0,0,0,13,67.1,81.8,62.8,74.8,73.9,63.6,0.0,0,1,74,79,4.1,3,3
Robert Quinn,6166,ED,DAL,2,0,3.0,0,0,9,54.6,80.0,84.4,90.0,55.9,42.5,50.0,1,0,30,33,0.0,0,1
Ryan Kerrigan,6168,ED,WAS,4,1,1.7,0,0,32,66.5,59.8,58.3,66.0,50.1,26.4,42.9,3,1,90,95,2.2,2,3
Corey Liuget,6170,DI,OAK,1,0,4.0,1,0,23,,51.6,0.0,74.6,65.3,67.3,0.0,0,2,7,10,14.3,1,1
Prince Amukamara,6171,CB,CHI,4,0,4.7,2,0,6,70.0,65.2,0.0,60.0,61.7,85.3,0.0,0,4,81,81,2.5,2,3
Adrian Clayborn,6172,ED,ATL,4,2,1.0,0,0,2,62.3,70.9,81.7,65.2,68.1,49.4,0.0,0,0,23,23,4.3,1,1
Cameron Jordan,6176,ED,NO,4,2,2.7,0,0,20,46.1,82.8,38.3,76.6,84.5,43.1,13.3,2,2,80,82,7.5,6,11
