player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Matt Ryan,4317,QB,ATL,6,2.69,2.58,3.26,5.11,280,2,83.6,122,125,6.3,1.94,3,1,0.7,81.6,102,34,0.0,129,46.1,0,51,,,,87.4,77.3,81.9,75.8,,,,0,3,142,11.8,111.8,3.1,4,0,0,0,8,4,2.8,1013,8.1,75.0,120,133,11.0,3.32,0,7,5.0,63.2,84,68,6.7,151,53.9,6,50,,,,45.7,70.0,82.4,68.9,,63.0,,2,4,163,14.7,91.0,6.6,10,8,0,11,7,7,4.3,998,7.5
Kyler Murray,38334,QB,ARZ,6,2.68,2.44,4.0,4.59,270,1,74.1,143,150,5.8,1.78,3,3,1.9,67.3,101,16,4.7,153,56.7,5,42,,,,88.2,52.5,82.2,52.8,,,,0,3,157,18.8,81.8,2.0,3,0,0,4,4,3,1.9,830,5.5,76.1,71,85,12.0,3.85,2,6,6.5,61.2,52,60,3.7,117,43.3,2,43,,,,86.7,88.6,81.5,83.6,,79.5,,0,1,128,30.0,100.8,15.4,18,14,0,12,3,1,0.8,834,9.8
Andy Dalton,6187,QB,CIN,6,2.43,2.32,3.32,5.75,267,7,76.0,150,155,5.5,1.9,5,4,2.4,67.1,104,32,8.8,161,60.3,10,49,,,,43.5,64.2,82.6,63.6,,,,0,2,170,18.8,81.7,3.7,6,0,0,0,2,5,2.9,923,6.0,67.1,76,88,11.2,3.22,3,3,3.1,52.3,46,52,9.8,106,39.7,5,28,,,,85.7,60.6,81.0,59.9,,63.5,,2,3,114,30.8,84.7,15.1,16,2,0,7,5,4,3.5,724,8.2
Jared Goff,10635,QB,LA,6,2.68,2.62,3.21,5.98,263,26,83.2,107,111,5.0,1.94,2,2,1.7,77.5,86,39,3.4,114,43.3,3,40,,,,86.1,78.9,81.2,77.3,,,,2,3,119,7.7,104.4,2.6,3,0,0,0,6,2,1.7,826,7.4,64.5,121,135,10.5,3.28,2,9,6.0,49.6,67,75,14.1,148,56.3,11,45,,,,46.2,59.0,82.4,59.8,,50.3,,5,4,164,12.0,61.4,6.1,9,4,0,7,1,11,6.7,901,6.7
Jameis Winston,9434,QB,TB,6,2.81,2.57,3.95,5.22,254,30,71.0,107,111,7.1,1.9,3,2,1.7,64.9,72,22,5.3,115,45.3,4,48,,,,59.5,58.8,12.6,59.4,,,,1,5,120,18.2,82.9,3.5,4,0,0,0,5,8,6.7,813,7.3,69.1,97,108,15.5,3.56,1,7,6.0,55.6,60,78,10.4,139,54.7,7,42,,,,27.9,64.6,20.6,66.2,,53.6,,2,5,148,26.9,87.7,15.1,21,10,0,8,7,11,7.4,958,8.9
Philip Rivers,1725,QB,LAC,6,2.63,2.57,2.96,5.98,254,27,84.4,96,103,5.6,1.96,5,3,2.7,73.8,76,27,6.2,104,40.9,5,41,,,,85.7,72.6,80.9,71.4,,,,1,3,111,3.7,101.1,1.0,1,0,0,1,6,5,4.5,747,7.3,74.0,123,134,11.7,3.12,0,9,6.3,61.9,83,73,8.8,149,58.7,8,52,,,,66.3,78.2,24.7,77.8,,57.2,,2,3,160,15.1,84.1,7.4,11,4,0,9,3,7,4.4,1038,7.7
Patrick Mahomes,11765,QB,KC,6,2.73,2.63,3.48,5.03,246,16,77.1,105,107,5.0,1.81,1,3,2.6,72.0,77,17,4.9,107,43.5,4,37,,,,85.8,69.5,81.1,68.6,,,,1,0,115,0.0,103.9,0.0,0,0,0,0,4,1,0.9,754,7.0,69.4,108,123,15.0,3.45,0,15,10.4,56.9,70,55,6.7,139,56.5,5,52,,,,28.9,80.5,82.4,77.4,,73.8,,4,1,162,14.5,119.0,5.8,8,8,0,11,10,6,3.7,1350,11.0
Deshaun Watson,11767,QB,HST,6,2.9,2.6,3.86,5.59,238,13,87.9,116,116,4.6,1.78,0,2,1.6,82.8,96,22,5.9,118,49.6,6,48,,,,86.4,83.0,81.3,81.0,,,,0,1,124,9.1,109.4,1.7,2,0,0,0,6,2,1.6,809,7.0,63.3,79,84,17.4,4.07,0,13,13.5,52.4,44,70,12.0,118,49.6,6,41,,,,24.2,74.9,81.5,71.6,,72.5,,0,2,130,22.9,101.0,13.6,16,18,0,5,6,8,6.2,835,9.9
Aaron Rodgers,2241,QB,GB,6,2.92,2.78,4.06,5.01,238,12,78.3,106,109,4.3,1.7,1,2,1.8,72.5,79,15,4.8,109,45.8,4,32,,,,85.8,69.0,81.0,68.1,,,,0,2,114,0.0,89.2,0.0,0,0,0,2,3,1,0.9,659,6.0,71.1,90,110,13.6,3.94,0,13,10.6,53.6,59,75,7.8,129,54.2,5,43,,,,41.8,89.8,82.0,86.2,,74.6,,4,0,146,14.7,97.4,8.5,11,8,0,16,5,3,2.1,937,8.5
Tom Brady,698,QB,NE,6,2.42,2.37,3.48,,238,19,78.0,132,136,4.8,1.83,0,5,3.5,69.9,95,21,7.8,137,57.6,8,41,,,,87.5,76.1,81.9,74.7,,,,0,1,144,4.8,95.6,0.7,1,0,0,4,5,1,0.7,851,6.3,73.1,78,92,13.1,3.21,1,7,7.0,58.7,54,41,5.3,101,42.4,3,40,,,,30.1,82.6,80.9,80.2,,63.3,,1,2,110,22.0,100.5,8.9,9,0,0,12,5,4,3.6,892,9.7
