player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
DeAndre Hopkins,7808,WR,HST,9,9.6,6,75.6,50.0,10,20,0,5.6,4,42,13,0,75.3,81.6,84.7,,85.8,0.0,0,1,38,0.0,0,382,2,68,92.7,354,35.6,136,106.0,90,4,64.4,246,665,214,3.1,9.8,1.88
Julian Edelman,5156,WR,NE,9,8.1,6,71.6,55.6,5,9,0,10.0,7,31,19,2,60.2,27.5,71.5,,72.0,0.0,0,2,36,0.0,0,376,3,63,94.1,354,67.0,252,98.8,88,4,32.7,123,663,233,3.7,10.5,1.87
Michael Thomas,10681,WR,NO,8,7.7,8,83.9,85.7,12,14,1,5.2,4,45,20,0,75.7,81.6,88.2,,89.1,0.0,0,0,42,0.0,0,322,4,73,94.4,304,30.4,98,123.9,87,4,69.6,224,875,314,4.3,12.0,2.88
Cooper Kupp,11824,WR,LA,8,7.4,6,69.0,44.4,4,9,0,1.7,1,32,26,0,89.2,80.5,83.2,55.1,84.2,0.0,0,1,66,2.4,8,327,0,58,89.9,294,73.4,240,113.8,84,5,26.6,87,792,413,7.1,13.7,2.69
Keenan Allen,7857,WR,LAC,9,12.2,4,65.9,40.0,6,15,0,8.5,5,34,27,0,61.0,80.1,76.8,69.6,76.9,0.3,1,3,34,0.3,1,360,2,54,93.3,336,54.4,196,87.3,82,3,45.3,163,657,161,3.0,12.2,1.96
Mike Evans,8642,WR,TB,8,16.2,0,62.5,52.2,12,23,0,9.1,5,40,30,0,59.1,79.5,88.4,69.6,86.9,0.3,1,4,67,0.3,1,350,0,50,93.7,328,25.4,89,106.4,80,7,74.3,260,842,152,3.0,16.8,2.57
Tyler Boyd,10689,WR,CIN,8,9.0,4,64.6,43.8,7,16,0,7.3,4,25,7,1,65.7,40.1,67.1,65.3,66.2,0.5,2,4,47,0.3,1,371,1,51,93.5,347,66.8,248,67.3,79,1,32.6,121,536,186,3.6,10.5,1.54
Julio Jones,6158,WR,ATL,8,12.9,2,69.4,47.6,10,21,0,3.8,2,39,2,1,90.5,38.3,85.0,,84.0,0.0,0,3,54,0.0,0,330,1,50,92.7,306,20.6,68,102.3,72,4,79.4,262,712,183,3.7,14.2,2.33
Zach Ertz,7816,TE,PHI,9,9.4,2,64.8,50.0,7,14,0,4.2,2,28,24,1,78.8,36.0,74.7,70.0,76.6,36.6,122,1,26,4.5,15,333,1,46,89.2,297,43.5,145,90.5,71,2,19.8,66,527,154,3.3,11.5,1.77
Tyler Lockett,9502,WR,SEA,9,11.8,2,83.1,62.5,5,8,0,4.8,3,40,29,0,77.0,86.8,83.9,,84.9,1.4,5,0,44,0.0,0,370,1,59,90.0,333,70.0,259,139.8,71,6,28.6,106,767,208,3.5,13.0,2.3
Travis Kelce,7844,TE,KC,9,10.1,9,69.0,50.0,6,12,2,3.9,2,36,16,0,72.4,79.5,81.2,72.9,84.1,36.3,135,0,42,10.2,38,372,7,49,80.9,301,35.2,131,108.1,71,2,28.5,106,666,219,4.5,13.6,2.21
Allen Robinson II,8696,WR,CHI,8,12.2,6,67.1,56.5,13,23,1,2.1,1,29,6,0,85.8,79.1,77.7,,75.8,0.3,1,3,32,0.0,0,318,2,47,93.4,297,39.0,124,86.1,70,3,60.7,193,532,108,2.3,11.3,1.79
Chris Godwin,11839,WR,TB,8,10.7,9,78.3,76.9,10,13,0,1.8,1,42,30,0,87.9,80.0,88.9,73.2,88.2,1.9,7,2,30,0.8,3,362,1,54,93.4,338,63.8,231,129.8,69,6,34.0,123,766,288,5.3,14.2,2.27
