player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Kenjon Barner,7963,HB,ATL,7,5,0,2,,0,,,0,0,,0,0,0,,50.9,0,0,7.7,1,13,0,76.9,10,0.0,0,0.0,0,0,0,,,0.0,0,-0.6,0,100.0,,0,0,0.0,0,1,0,73.4,67.4,0,13,0.0,0,33,5,90.9,30,81.7,5,100.0,0,18,21,4.2,3.6,0.6
Gus Edwards,46027,HB,BLT,12,5,0,3,,0,,,0,0,,0,0,0,,47.8,0,0,37.7,20,53,0,60.4,32,0.0,0,0.0,0,0,0,,,0.0,0,0.0,1,100.0,,0,0,0.0,0,1,0,73.4,55.7,0,10,22.2,16,72,5,73.6,53,96.7,5,100.0,0,36,36,7.2,7.2,0.68
Darrell Henderson,41193,HB,LA,7,5,0,26,,0,,,0,0,,0,0,0,,52.8,0,0,16.7,2,12,0,83.3,10,0.0,0,0.0,0,0,0,,,0.0,0,0.2,1,80.0,,0,0,20.0,1,1,0,41.6,50.4,0,14,11.8,4,34,4,79.4,27,97.5,5,100.0,0,37,38,9.5,9.3,1.37
Troy Fumagalli,47333,TE,DEN,7,5,0,10,9.0,0,50.0,0.0,0,1,0.0,0,0,0,64.7,64.5,0,9,23.1,3,13,1,76.9,10,62.5,2,40.0,0,9,0,0.0,9.0,0.9,0,1.7,0,66.7,,0,0,33.3,1,1,0,29.9,45.6,0,7,2.8,1,36,2,88.9,32,111.1,3,60.0,1,10,2,1.0,5.0,0.31
Devin Funchess,9474,WR,IND,1,5,0,14,4.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,74.9,0,8,0.0,0,3,1,100.0,3,100.0,1,20.0,0,8,4,4.0,8.0,2.67,0,13.0,0,50.0,100.0,1,1,0.0,0,1,0,68.3,63.6,0,16,0.0,0,17,2,100.0,17,68.8,4,80.0,0,24,2,1.0,12.0,1.41
Michael Crabtree,4933,WR,ARZ,2,5,0,1,9.0,0,100.0,100.0,1,1,0.0,0,0,0,64.7,56.5,0,9,0.0,0,8,1,100.0,8,104.2,1,20.0,0,9,0,0.0,9.0,1.13,0,4.3,0,66.7,,0,0,0.0,0,0,0,68.3,55.1,0,6,0.0,0,14,2,100.0,14,70.1,3,60.0,0,9,4,2.0,4.5,0.64
Darius Jennings,10038,WR,TEN,7,5,0,31,-4.0,0,100.0,,0,0,0.0,0,1,0,64.7,72.4,0,6,0.0,0,4,1,75.0,3,91.7,1,20.0,0,6,10,10.0,6.0,2.0,0,25.0,0,0.0,0.0,0,1,,0,0,0,,53.2,1,0,0.0,0,16,0,93.8,15,0.0,3,60.0,0,0,0,,,0.0
Tommy Sweeney,47216,TE,BUF,5,5,0,4,,0,,,0,0,,0,0,0,,50.5,0,0,0.0,0,11,0,100.0,11,0.0,0,0.0,0,0,0,,,0.0,0,11.6,0,60.0,0.0,0,1,25.0,1,1,0,36.2,48.8,0,29,12.9,4,31,3,87.1,27,83.8,5,100.0,0,38,12,4.0,12.7,1.41
J.J. Nelson,9592,WR,OAK,2,5,0,23,2.0,0,100.0,,0,0,0.0,0,0,0,64.7,55.7,0,1,0.0,0,8,1,87.5,7,79.2,1,20.0,0,1,-1,-1.0,1.0,0.14,0,6.0,0,75.0,,0,0,0.0,0,1,0,70.5,58.6,0,29,0.0,0,26,3,100.0,26,140.6,4,80.0,1,35,15,5.0,11.7,1.35
Chris Moore,10741,WR,BLT,7,5,0,3,18.5,0,50.0,,0,0,0.0,0,0,0,64.7,57.1,0,13,0.0,0,27,1,96.3,26,70.8,2,40.0,0,13,5,5.0,13.0,0.5,0,9.7,0,66.7,,0,0,0.0,0,0,0,70.5,52.5,0,5,0.0,0,43,2,97.7,42,70.1,3,60.0,0,8,6,3.0,4.0,0.19
