player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kyler Murray,38334,QB,ARZ,3,2.61,2.39,4.04,4.02,157,1,69.0,87,91,6.1,1.79,2,0,0.0,63.7,58,13,3.3,94,59.9,2,21,,84.7,43.5,80.4,44.5,,,0,2,97,23.1,72.1,3.2,3,0,0,2,2,3,3.1,410,4.5,73.0,37,45,12.6,3.84,2,3,6.4,57.8,26,34,3.7,63,40.1,1,18,,82.3,80.5,79.1,77.2,,71.3,0,1,68,38.2,94.7,20.6,13,5,0,6,2,1,1.5,420,9.3
Andy Dalton,6187,QB,CIN,3,2.53,2.4,4.11,,140,7,78.3,69,74,4.9,1.87,5,1,1.3,67.6,50,14,7.4,75,53.6,4,24,,40.1,55.9,79.7,56.0,,,0,2,80,7.1,78.3,1.3,1,0,0,0,1,3,3.8,474,6.4,70.8,48,55,12.3,3.29,2,2,3.4,56.4,31,33,8.8,65,46.4,3,17,,82.2,66.7,79.1,65.9,,,2,1,68,30.3,104.0,15.4,10,0,0,3,4,1,1.5,505,9.2
Matt Ryan,4317,QB,ATL,3,2.58,2.5,2.58,6.03,131,2,80.0,65,65,6.9,1.91,0,1,1.4,80.0,52,20,0.0,69,52.7,0,29,,83.2,70.1,79.6,69.1,,,0,2,78,20.0,108.8,5.8,4,0,0,0,4,3,3.8,537,8.3,70.9,55,58,11.3,3.33,0,3,4.9,63.8,37,26,5.1,62,47.3,2,20,,82.1,67.4,79.0,66.3,,63.1,1,4,66,3.8,77.6,1.6,1,3,0,2,4,4,6.1,391,6.7
Philip Rivers,1725,QB,LAC,3,2.82,2.7,2.93,5.98,130,27,90.5,42,44,3.4,2.01,2,0,0.0,81.8,36,10,5.3,45,34.6,2,17,,80.1,62.0,77.8,61.6,,,0,1,48,10.0,118.7,2.2,1,0,0,0,4,2,4.2,329,7.5,71.2,66,72,14.0,3.24,0,7,9.1,56.9,41,42,12.8,85,65.4,6,29,,50.9,77.8,80.2,77.1,,57.2,1,1,91,21.4,84.0,10.6,9,4,0,5,1,3,3.3,615,8.5
Carson Wentz,10636,QB,PHI,3,2.63,2.5,4.49,4.4,129,24,75.0,64,65,6.7,1.85,1,1,1.5,64.6,42,10,12.5,65,50.4,6,13,,82.3,62.4,79.1,62.0,,,0,0,68,0.0,79.5,0.0,0,0,0,0,1,1,1.5,287,4.4,72.3,47,53,15.3,3.49,2,7,11.9,56.6,30,32,11.8,63,48.8,4,21,,82.5,92.3,79.2,92.3,,51.7,1,2,70,21.9,105.5,11.1,7,3,0,3,5,3,4.3,516,9.7
Case Keenum,7323,QB,WAS,3,2.52,2.5,2.75,3.2,129,32,82.9,70,71,4.9,1.93,0,2,2.6,77.5,55,13,5.2,72,55.8,3,28,,46.7,55.9,79.6,56.0,,,1,1,78,7.7,104.7,1.4,1,0,0,0,3,4,5.1,508,7.2,72.3,47,51,10.0,3.27,0,2,3.4,60.8,31,34,8.8,57,44.2,3,20,,24.0,45.8,79.0,45.7,,63.3,3,2,66,14.7,97.3,8.8,5,1,0,1,4,5,7.6,425,8.3
Joe Flacco,4332,QB,DEN,3,2.43,2.33,3.34,5.4,122,10,81.0,63,67,5.6,2.0,2,1,1.4,71.6,48,20,5.9,70,57.4,3,26,,43.6,70.3,79.3,69.3,,,2,1,72,15.0,90.2,4.3,3,0,0,0,2,2,2.8,397,5.9,73.7,38,42,7.2,3.07,1,2,4.3,66.7,28,25,0.0,51,41.8,0,17,,81.2,67.1,78.5,65.4,,63.3,1,1,57,32.0,85.0,15.7,8,1,0,2,0,1,1.8,376,9.0
Baker Mayfield,46518,QB,CLV,3,2.8,2.74,3.61,,120,8,74.1,54,56,5.7,1.83,1,1,1.7,67.9,38,6,5.0,57,47.5,2,21,,81.6,68.8,78.7,67.9,,,0,2,61,16.7,92.3,1.8,1,0,0,1,3,3,4.9,412,7.4,57.8,45,52,13.5,3.74,2,4,6.7,46.2,24,40,7.7,62,51.7,2,13,,82.7,75.4,79.3,74.0,,,1,3,72,25.0,48.0,16.1,10,0,0,4,0,1,1.4,393,7.6
Josh Allen,46601,QB,BUF,3,3.16,2.84,3.66,5.45,120,4,88.1,42,43,3.5,1.82,1,0,0.0,74.4,32,7,13.5,43,35.8,5,11,,80.0,80.7,77.7,79.0,,,0,2,47,0.0,72.1,0.0,0,0,0,0,1,0,0.0,203,4.7,75.5,49,59,13.9,3.9,0,2,3.2,57.6,34,41,8.1,77,64.2,3,29,,27.0,53.3,79.7,53.8,,56.9,2,1,81,12.2,93.0,6.5,5,13,0,8,2,7,8.6,547,9.3
Russell Wilson,7077,QB,SEA,3,2.58,2.48,2.73,4.07,118,29,86.2,65,66,6.2,1.77,1,4,5.8,81.8,54,9,3.6,70,59.3,2,27,,82.8,78.2,79.4,76.6,,,0,0,73,44.4,120.3,5.7,4,0,0,0,4,0,0.0,529,8.0,68.8,32,38,17.4,3.75,0,4,8.7,55.3,21,28,4.5,48,40.7,1,15,,81.3,89.3,78.5,78.2,,91.4,0,0,58,14.3,115.2,8.3,4,6,0,6,3,0,0.0,372,9.8
Patrick Mahomes,11765,QB,KC,3,2.45,2.39,3.47,6.2,118,16,82.3,62,64,4.1,1.78,1,2,3.0,78.1,50,9,2.0,64,54.2,1,22,,82.2,76.8,79.1,75.3,,,1,0,68,0.0,112.0,0.0,0,0,0,0,3,0,0.0,456,7.1,73.9,46,50,16.4,3.24,0,9,14.5,64.0,32,18,5.9,54,45.8,2,24,,25.3,85.8,79.1,83.0,,66.4,0,0,68,16.7,147.1,5.6,3,1,0,4,7,3,4.4,739,14.8
Marcus Mariota,9435,QB,TEN,3,3.05,2.8,3.19,5.27,116,31,69.7,33,33,7.0,1.98,0,0,0.0,60.6,20,7,13.0,36,31.0,3,14,,78.7,61.2,77.0,61.0,,,0,0,38,42.9,110.5,8.3,3,0,0,0,3,1,2.6,219,6.6,72.2,54,57,9.4,3.53,0,3,4.9,63.2,36,36,7.7,80,69.0,3,19,,27.4,60.8,80.0,57.5,,69.8,0,0,86,38.9,96.2,17.5,14,9,0,3,1,4,4.7,487,8.5
Lamar Jackson,46416,QB,BLT,3,3.01,2.66,3.73,6.02,116,3,77.6,49,53,7.7,2.0,2,2,3.6,67.9,36,8,5.3,53,45.7,2,22,,81.0,72.9,78.3,71.7,,,0,0,55,0.0,101.9,0.0,0,0,0,2,2,1,1.8,390,7.4,65.1,43,47,15.8,3.85,1,4,7.8,57.4,27,30,3.6,63,54.3,1,25,,82.4,68.1,79.2,63.4,,74.2,1,0,69,20.0,127.3,9.5,6,10,0,2,5,2,2.9,473,10.1
Jared Goff,10635,QB,LA,3,2.85,2.76,3.3,6.0,115,26,89.2,37,37,4.2,1.83,0,0,0.0,86.5,32,13,3.0,38,33.0,1,16,,79.0,88.6,77.2,86.2,,,0,0,40,7.7,138.5,2.6,1,0,0,0,4,0,0.0,318,8.6,66.7,60,68,10.8,3.39,0,2,2.7,50.0,34,35,15.0,76,66.1,6,23,,49.2,57.0,79.8,58.2,,52.0,3,3,83,14.3,51.0,6.6,5,3,0,5,0,6,7.2,419,6.2
Matthew Stafford,4924,QB,DET,3,2.73,2.63,2.9,5.38,114,11,76.9,52,54,7.9,1.92,0,2,3.7,66.7,36,18,10.0,55,48.2,4,16,,80.9,77.5,78.3,75.9,,,0,0,55,5.6,90.3,1.8,1,0,0,2,1,0,0.0,343,6.4,66.0,47,51,16.0,3.55,0,2,3.6,60.8,31,27,0.0,58,50.9,0,26,,38.8,66.6,78.8,66.3,,59.5,0,2,62,7.4,108.9,3.4,2,5,0,4,5,4,6.5,488,9.6
Mitchell Trubisky,11757,QB,CHI,3,2.53,2.39,3.94,3.6,114,6,79.0,62,63,5.0,1.9,1,1,1.5,71.4,45,13,8.2,63,55.3,4,18,,82.3,55.6,79.1,55.7,,,0,1,68,0.0,82.4,0.0,0,0,0,0,1,1,1.5,334,5.3,61.5,39,40,11.7,3.31,0,2,4.3,55.0,22,25,8.3,51,44.7,2,15,,81.2,43.9,78.5,45.3,,55.3,1,1,57,32.0,79.7,15.7,8,3,0,0,2,2,3.5,245,6.1
Deshaun Watson,11767,QB,HST,3,3.06,2.76,4.0,5.49,114,13,85.1,47,47,4.8,1.75,0,1,2.1,78.7,37,14,7.5,48,42.1,3,18,,80.3,84.1,77.9,82.0,,,0,0,49,7.1,107.2,2.1,1,0,0,0,2,0,0.0,297,6.3,62.8,43,46,17.1,4.07,0,9,17.6,52.2,24,41,11.1,65,57.0,3,21,,42.6,80.5,79.2,76.9,,72.9,0,1,70,26.8,109.1,16.9,11,8,0,3,4,4,5.7,481,10.5
Jameis Winston,9434,QB,TB,3,2.79,2.55,4.11,4.62,113,30,72.1,43,45,6.4,1.87,1,1,2.1,68.9,31,13,0.0,47,41.6,0,18,,80.4,47.3,78.0,48.2,,,1,1,50,15.4,93.6,4.3,2,0,0,0,2,3,6.0,308,6.8,63.3,49,52,16.3,3.45,0,5,9.1,53.8,28,37,9.7,66,58.4,3,19,,42.6,65.9,0.0,67.3,,58.6,0,3,69,21.6,80.1,12.1,8,6,0,3,3,5,7.2,474,9.1
Tom Brady,698,QB,NE,3,2.32,2.27,4.0,,109,19,77.9,68,70,6.3,1.85,0,5,6.6,71.4,50,12,5.7,70,64.2,3,26,,83.1,87.1,79.5,84.8,,,0,0,76,0.0,110.8,0.0,0,0,0,2,4,0,0.0,506,7.2,76.7,30,36,12.2,3.17,0,4,10.0,61.1,22,16,4.3,39,35.8,1,17,,79.5,90.5,77.4,88.8,,,1,0,43,18.8,127.7,7.7,3,0,0,5,3,0,0.0,405,11.3
Derek Carr,8671,QB,OAK,3,2.53,2.41,3.17,5.27,108,23,87.7,57,59,5.4,1.89,2,3,5.1,79.7,47,9,6.0,60,55.6,3,21,,81.5,76.7,78.6,75.2,,,0,3,60,11.1,91.2,1.7,1,0,0,0,3,2,3.3,408,6.9,70.3,37,39,8.6,3.34,0,1,2.4,64.1,25,20,3.8,48,44.4,1,17,,30.0,62.8,78.0,62.8,,58.8,0,0,50,30.0,95.1,12.5,6,3,0,2,1,1,2.0,291,7.5
Gardner Minshew,41401,QB,JAX,3,2.76,2.58,2.7,4.67,104,15,82.2,45,46,4.6,1.89,1,2,4.0,73.9,34,8,8.1,48,46.2,3,15,,80.5,66.9,78.1,66.2,,,0,1,52,25.0,96.0,4.2,2,0,0,0,2,0,0.0,297,6.5,80.5,41,42,9.1,3.57,0,4,8.5,73.8,31,30,6.1,55,52.9,2,15,,24.3,80.9,78.6,80.1,,64.8,0,0,60,10.0,126.6,5.5,3,10,0,1,3,3,5.0,395,9.4
Jacoby Brissett,10725,QB,IND,3,2.69,2.44,3.38,5.8,103,14,82.7,52,52,5.1,1.77,0,2,3.8,78.8,41,7,4.7,52,50.5,2,20,,80.9,77.5,78.3,76.0,,,0,0,54,0.0,127.5,0.0,0,0,0,0,5,1,1.9,359,6.9,72.2,36,39,7.3,3.63,0,0,0.0,64.1,25,21,3.8,51,49.5,1,14,,29.1,44.9,78.4,45.3,,57.2,0,1,56,28.6,92.6,11.8,6,6,0,3,2,2,3.6,287,7.4
Aaron Rodgers,2241,QB,GB,3,2.95,2.88,3.8,3.7,102,12,82.9,41,42,3.3,1.6,0,0,0.0,78.6,33,3,2.9,42,41.2,1,12,,79.5,69.6,77.4,68.7,,,0,0,43,0.0,96.7,0.0,0,0,0,1,1,0,0.0,223,5.3,65.0,40,52,15.2,3.9,0,5,9.1,48.1,25,40,3.8,60,58.8,1,18,,40.5,76.2,78.9,75.4,,58.7,2,0,65,17.5,95.8,11.7,7,1,0,10,3,2,3.1,430,8.3
Dak Prescott,10769,QB,DAL,3,2.78,2.67,5.95,3.97,99,9,91.1,45,45,6.9,1.86,0,3,6.4,86.7,39,4,4.9,45,45.5,2,24,,80.0,94.1,77.7,92.9,,,0,0,47,0.0,147.2,0.0,0,0,0,0,6,0,0.0,442,9.8,72.9,48,49,13.6,3.54,0,2,3.6,63.3,31,17,11.4,54,54.5,4,21,,81.5,72.9,78.6,68.2,,80.9,0,2,60,11.8,98.9,3.7,2,3,0,1,3,4,6.7,478,9.8
Cam Newton,6153,QB,CAR,2,2.27,2.25,2.66,4.6,95,5,70.7,58,61,8.0,1.9,1,0,0.0,62.3,38,9,7.3,62,65.3,3,19,,81.8,54.1,78.8,54.4,,,2,1,63,11.1,71.8,1.6,1,0,0,0,0,2,3.2,360,5.9,54.5,22,27,13.5,3.07,0,0,0.0,44.4,12,18,0.0,32,33.7,0,10,,78.1,55.0,76.6,55.8,,58.3,3,0,34,22.2,71.8,12.5,4,1,0,2,0,2,5.9,212,7.9
Eli Manning,1722,QB,NYG,2,2.59,2.53,4.2,4.7,92,21,78.4,51,54,5.2,1.99,2,1,1.8,72.2,39,6,2.5,54,58.7,1,19,,81.0,60.9,78.4,60.6,,,0,1,56,0.0,83.1,0.0,0,0,0,1,0,2,3.6,370,6.9,69.2,26,35,13.8,3.44,1,2,5.6,48.6,17,13,5.6,38,41.3,1,10,,20.9,62.8,77.1,63.2,,58.3,3,1,39,15.4,71.8,5.3,2,1,0,5,2,3,7.7,186,5.3
