player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,8,8,4.24,45.25,47.5,-0.4,0,0,1,0,1,63.7,3,57,1,0,62.5,-2,5,8,33.93,362,1,380
Dustin Colquitt,2316,P,KC,1,1,1,4.25,31.0,51.0,,0,0,0,0,16,60.0,0,51,0,0,0.0,0,0,1,4.25,31,1,51
Sam Koch,3148,P,BLT,1,1,1,4.56,56.0,56.0,0.0,0,0,0,0,3,60.0,1,56,0,0,100.0,0,1,1,4.56,56,0,56
Brett Kern,4580,P,TEN,1,6,6,4.17,43.17,46.17,18.0,0,0,2,1,31,67.1,3,70,2,0,16.7,18,1,6,24.99,259,0,277
Kevin Huber,5066,P,CIN,1,4,4,4.51,39.25,44.25,,0,0,0,2,7,79.1,1,51,1,0,0.0,0,0,4,18.04,157,1,177
Thomas Morstead,5088,P,NO,1,2,2,4.48,44.0,44.0,,0,0,0,1,20,61.2,2,53,1,0,0.0,0,0,2,8.95,88,0,88
Britton Colquitt,5192,P,MIN,1,5,5,4.53,40.2,49.4,11.5,0,0,1,0,18,67.7,1,57,0,0,80.0,46,4,5,22.63,201,0,247
Matt Bosher,6344,P,ATL,1,3,3,4.68,43.33,43.33,,1,0,0,3,2,64.7,2,52,0,0,0.0,0,0,4,14.04,130,0,130
Chris Jones,6798,P,DAL,1,4,4,4.65,39.5,41.25,3.5,0,0,0,2,9,69.5,2,50,0,0,50.0,7,2,4,18.6,158,0,165
Johnny Hekker,7252,P,LA,1,3,3,4.56,38.0,46.0,12.0,1,0,0,0,26,61.4,0,68,1,0,66.7,24,2,4,13.68,114,0,138
Sam Martin,7947,P,DET,1,8,8,4.11,37.0,39.25,6.0,0,0,2,2,11,58.6,4,55,1,0,37.5,18,3,8,32.85,296,0,314
Tress Way,8358,P,WAS,1,5,5,4.5,45.2,54.4,11.5,0,0,0,0,32,73.4,1,58,1,0,80.0,46,4,5,22.51,226,0,272
Pat O'Donnell,8826,P,CHI,1,8,8,4.42,42.5,42.63,1.0,0,0,2,4,6,70.5,3,53,1,0,12.5,1,1,8,35.34,340,0,341
Michael Palardy,9277,P,CAR,1,4,4,4.33,38.5,48.25,9.5,0,0,0,1,5,53.8,1,58,0,0,50.0,19,2,4,17.31,154,1,193
Bradley Pinion,9598,P,TB,1,2,2,3.92,21.0,21.0,,0,0,1,1,30,60.6,1,39,0,0,0.0,0,0,2,7.84,42,0,42
Ty Long,9728,K,LAC,1,2,2,3.86,46.5,49.0,5.0,0,0,0,1,27,59.7,2,54,0,0,50.0,5,1,2,7.71,93,0,98
Jordan Berry,10236,P,PIT,1,5,5,4.09,38.6,45.6,17.5,0,0,0,3,25,59.0,3,58,0,0,40.0,35,2,5,20.45,193,0,228
Riley Dixon,10862,P,NYG,1,4,4,4.65,41.5,41.5,,0,0,0,3,21,66.3,3,47,1,0,0.0,0,0,4,18.58,166,0,166
Lachlan Edwards,10869,P,NYJ,1,7,7,4.4,42.0,43.43,10.0,0,0,1,4,22,64.4,6,54,1,0,14.3,10,1,7,30.78,294,0,304
Rigoberto Sanchez,12130,P,IND,1,3,3,3.16,36.0,36.0,0.0,0,0,1,0,14,61.7,0,49,1,0,33.3,0,1,3,9.49,108,0,108
Matt Haack,12212,P,MIA,1,6,6,4.35,48.83,53.67,14.5,0,0,2,2,17,68.6,3,58,0,0,33.3,29,2,6,26.11,293,0,322
Cameron Johnston,12255,P,PHI,1,3,3,4.36,47.67,51.33,11.0,0,0,0,2,24,61.6,1,54,0,0,33.3,11,1,3,13.08,143,0,154
Corey Bojorquez,27626,P,BUF,1,3,3,4.63,30.0,43.33,,0,0,1,0,4,62.6,1,60,0,0,0.0,0,0,3,13.88,90,2,130
Logan Cooke,29214,P,JAX,1,2,2,4.54,48.0,48.0,0.0,0,0,0,1,15,60.9,0,48,0,0,50.0,0,1,2,9.07,96,0,96
Jake Bailey,33963,P,NE,1,3,3,4.81,41.0,41.0,,0,0,0,2,19,61.3,1,53,1,0,0.0,0,0,3,14.44,123,0,123
Michael Dickson,35381,P,SEA,1,8,8,4.31,42.75,47.0,8.5,0,0,1,3,29,59.7,2,60,0,0,50.0,34,4,8,34.44,342,0,376
A.J. Cole III,36038,P,OAK,1,3,3,4.19,38.0,44.67,,0,0,0,1,23,58.6,1,52,1,0,0.0,0,0,3,12.58,114,1,134
Colby Wadman,38062,P,DEN,1,3,3,4.2,45.33,46.33,3.0,0,0,0,1,10,64.4,2,58,1,0,33.3,3,1,3,12.61,136,0,139
J.K. Scott,38809,P,GB,1,9,9,4.45,43.56,47.56,9.0,0,0,2,3,12,69.5,5,63,0,0,44.4,36,4,9,40.02,392,0,428
Trevor Daniel,38843,P,HST,1,4,4,4.03,38.0,43.0,6.7,0,0,1,0,13,60.6,1,54,0,0,75.0,20,3,4,16.13,152,0,172
Mitch Wishnowsky,44663,P,SF,1,2,2,4.58,45.5,45.5,0.0,0,0,1,0,28,60.2,1,54,0,0,50.0,0,1,2,9.15,91,0,91
Jamie Gillan,63303,P,CLV,1,5,5,4.75,46.6,46.6,,0,0,1,4,8,68.0,3,52,0,0,0.0,0,0,5,23.76,233,0,233
