player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,12,52,52,4.31,42.08,48.19,8.8,1,1,5,12,1,62.0,18,64,4,1,51.9,238,27,53,223.96,2188,4,2506
Dustin Colquitt,2316,P,KC,14,44,44,4.42,41.34,43.86,4.2,1,0,10,14,16,63.6,21,68,1,0,38.6,71,17,45,194.53,1819,2,1930
Sam Koch,3148,P,BLT,13,35,35,4.21,40.71,46.09,9.0,1,0,4,10,3,65.3,17,62,5,0,34.3,108,12,36,147.39,1425,4,1613
Brett Kern,4580,P,TEN,14,67,67,4.25,43.6,47.52,9.3,0,0,8,17,31,90.8,36,70,16,0,35.8,223,24,67,284.91,2921,2,3184
Kevin Huber,5066,P,CIN,14,64,64,4.31,41.53,44.36,5.1,0,0,9,27,7,64.2,28,63,4,0,31.3,101,20,64,275.75,2658,4,2839
Thomas Morstead,5088,P,NO,14,49,49,4.34,42.82,45.78,6.6,0,0,5,18,20,72.2,29,64,6,0,38.8,125,19,49,212.9,2098,1,2243
Britton Colquitt,5192,P,MIN,13,53,53,4.48,42.28,44.77,6.9,0,0,9,20,18,73.2,22,59,5,0,35.8,132,19,53,237.26,2241,0,2373
Matt Bosher,6344,P,ATL,3,9,9,4.61,40.78,41.89,5.0,1,0,0,7,2,61.5,2,52,0,0,22.2,10,2,10,41.45,367,0,377
Chris Jones,6798,P,DAL,14,42,42,4.5,38.26,42.38,9.0,1,0,8,14,9,72.2,17,58,2,0,40.5,153,17,43,188.93,1607,1,1780
Bryan Anger,7072,P,HST,11,35,35,4.39,43.54,45.86,3.2,0,0,9,11,13,65.4,20,71,0,0,37.1,41,13,35,153.58,1524,2,1605
Johnny Hekker,7252,P,LA,14,56,56,4.34,43.45,48.21,8.1,1,0,9,10,26,67.6,20,69,10,0,41.1,187,23,57,242.89,2433,4,2700
Sam Martin,7947,P,DET,14,64,64,4.31,41.83,44.8,3.6,0,0,12,18,11,60.4,29,62,4,0,39.1,90,25,64,275.62,2677,5,2867
Ryan Allen,8242,P,ATL,6,23,23,3.93,37.65,42.65,7.9,0,0,3,6,2,63.0,10,59,4,0,30.4,55,7,23,90.31,866,3,981
Tress Way,8358,P,WAS,14,70,70,4.39,43.63,49.37,10.1,0,0,11,18,32,71.1,27,79,4,0,48.6,342,34,70,307.6,3054,3,3456
Pat O'Donnell,8826,P,CHI,14,75,75,4.24,40.89,44.48,7.2,1,0,11,26,6,54.5,23,75,4,1,42.7,229,32,76,317.7,3067,2,3336
Kasey Redfern,9155,P,ATL,3,9,9,4.41,36.89,41.22,7.8,0,0,0,3,2,60.2,3,54,1,0,55.6,39,5,9,39.68,332,0,371
Michael Palardy,9277,P,CAR,14,65,65,4.32,40.51,45.32,7.8,0,0,7,15,5,57.5,24,58,6,0,53.8,273,35,65,280.68,2633,2,2946
Bradley Pinion,9598,P,TB,14,52,52,4.49,38.35,43.52,9.5,0,0,8,18,30,71.7,20,63,1,0,42.3,209,22,52,233.7,1994,3,2263
Ty Long,9728,K,LAC,13,39,39,4.09,41.21,47.1,7.3,0,0,3,6,27,52.8,16,60,2,0,66.7,190,26,39,159.58,1607,2,1837
Matt Wile,9972,P,ATL,2,6,6,4.53,44.67,48.33,5.5,0,0,0,0,2,63.7,3,60,2,0,66.7,22,4,6,27.16,268,0,290
Jordan Berry,10236,P,PIT,14,62,62,4.43,41.0,45.89,9.3,0,0,11,19,25,67.9,22,69,3,0,41.9,243,26,62,274.92,2542,3,2845
Riley Dixon,10862,P,NYG,14,60,60,4.35,43.55,46.43,6.0,1,0,15,13,21,67.0,27,62,8,0,36.7,133,22,61,260.78,2613,2,2786
Lachlan Edwards,10869,P,NYJ,14,76,76,4.22,41.8,46.08,6.6,0,0,14,12,22,58.6,26,63,7,0,52.6,265,40,76,320.55,3177,3,3502
Zane Gonzalez,11979,K,ARZ,1,2,2,4.25,42.0,42.0,,0,0,1,1,1,59.7,0,44,0,0,0.0,0,0,2,8.49,84,0,84
Rigoberto Sanchez,12130,P,IND,14,53,53,4.32,41.15,44.26,5.8,0,0,8,13,14,73.3,21,60,6,0,47.2,145,25,53,228.92,2181,1,2346
Matt Haack,12212,P,MIA,14,59,59,4.3,41.03,44.73,7.4,0,0,10,17,17,57.6,22,62,6,0,40.7,178,24,59,253.87,2421,2,2639
Cameron Johnston,12255,P,PHI,14,60,60,4.21,42.85,47.1,6.5,0,0,7,17,24,56.3,28,61,5,0,45.0,175,27,60,252.4,2571,4,2826
Austin Seibert,13701,K,CLV,1,1,1,3.57,37.0,37.0,,0,0,1,0,8,60.0,1,37,0,0,0.0,0,0,1,3.57,37,0,37
Corey Bojorquez,27626,P,BUF,14,67,67,4.55,38.22,42.27,9.4,1,0,11,21,4,70.3,31,67,14,0,20.9,131,14,68,305.1,2561,7,2832
Logan Cooke,29214,P,JAX,14,68,68,4.4,44.24,46.1,4.6,0,0,10,26,15,66.2,26,66,11,0,27.9,87,19,68,299.0,3008,2,3135
Ryan Winslow,30026,P,ARZ,2,6,6,4.15,44.17,48.5,1.5,0,0,1,0,1,53.8,2,55,0,0,66.7,6,4,6,24.88,265,1,291
Jake Bailey,33963,P,NE,14,75,75,4.4,41.28,44.89,6.0,0,0,11,17,19,74.4,36,65,16,0,33.3,151,25,75,330.08,3096,6,3367
Michael Dickson,35381,P,SEA,14,64,64,4.4,40.8,44.97,6.2,0,0,7,17,29,68.8,35,63,8,0,42.2,167,27,64,281.85,2611,5,2878
A.J. Cole III,36038,P,OAK,14,59,59,4.28,39.07,45.73,11.3,0,0,8,17,23,57.7,30,60,3,1,44.1,293,26,59,252.47,2305,5,2698
Colby Wadman,38062,P,DEN,14,69,69,4.38,39.23,43.7,8.4,0,0,8,18,10,61.0,29,60,12,0,39.1,228,27,69,302.53,2707,4,3015
J.K. Scott,38809,P,GB,14,67,67,4.44,39.88,43.75,8.3,0,0,8,20,12,75.2,25,66,12,0,35.8,199,24,67,297.63,2672,3,2931
Trevor Daniel,38843,P,HST,2,11,11,4.12,40.91,43.55,4.1,0,0,1,3,13,58.8,2,54,0,0,63.6,29,7,11,45.33,450,0,479
Mitch Wishnowsky,44663,P,SF,14,45,45,4.33,41.47,44.89,5.7,0,0,8,10,28,62.0,21,65,5,0,44.4,114,20,45,194.73,1866,2,2020
Jamie Gillan,63303,P,CLV,14,54,54,4.53,41.54,46.04,8.9,1,0,11,15,8,76.2,24,71,7,0,29.6,143,16,55,244.85,2243,5,2486
