player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Peyton Manning,327,QB,IND,13,74.8,555,569,9.0,0.0,5,28,4.8,66.4,378,0,155,8.9,584,37,218,14,90.5,88.2,87.5,41.3,4,15,600,2,9.0,91.2,2.4,14,1,0,5,26,16,2.7,4028,7.1
Drew Brees,802,QB,NO,13,78.2,499,525,8.0,0.0,8,35,6.4,69.0,362,0,147,7.2,545,28,192,20,74.5,85.8,86.2,35.1,2,18,566,3,12.2,93.6,3.3,18,2,3,13,28,18,3.2,3855,7.3
Kyle Orton,2323,QB,DEN,13,67.2,469,498,9.8,0.0,9,27,5.1,58.8,293,0,171,7.0,545,22,180,10,77.9,68.0,70.7,36.2,5,9,574,7,19.9,87.6,6.2,34,13,2,13,20,19,3.3,3658,7.3
Carson Palmer,1317,QB,CIN,13,70.5,465,497,9.0,0.0,11,20,3.8,60.4,300,0,155,8.5,531,28,170,7,86.0,68.6,69.6,40.1,4,17,565,2,16.8,78.9,4.9,26,8,1,16,21,23,4.1,3187,6.4
Matt Ryan,4317,QB,ATL,13,72.4,445,475,8.7,0.0,4,27,5.4,63.2,300,0,153,6.8,512,22,169,2,83.0,86.2,87.8,37.0,8,8,544,2,13.1,90.7,3.9,20,17,1,17,22,9,1.7,3147,6.6
Sam Bradford,5526,QB,SL,13,73.5,426,474,6.6,0.0,11,20,4.0,60.3,286,0,176,8.6,516,27,155,26,85.0,68.6,69.1,43.4,17,12,545,1,15.3,79.2,5.2,27,15,3,17,17,16,2.9,2893,6.1
Donovan McNabb,438,QB,WAS,13,69.1,440,472,9.0,0.0,15,21,4.2,58.3,275,0,212,9.5,524,29,160,32,47.9,65.3,67.0,42.5,8,15,550,4,17.5,77.1,7.1,37,15,2,7,14,18,3.3,3377,7.2
Matt Schaub,1811,QB,HST,13,75.1,421,465,8.2,0.0,8,24,4.9,62.2,289,0,162,8.5,498,27,181,13,67.0,82.7,82.6,43.6,11,10,525,1,17.3,90.5,5.6,28,5,4,21,20,12,2.3,3484,7.5
Mark Sanchez,4928,QB,NYJ,13,65.7,411,441,9.8,0.0,13,23,5.0,53.3,235,0,139,13.0,478,35,148,22,65.5,67.1,67.4,50.1,5,12,497,3,18.7,74.2,5.4,26,11,5,7,16,21,4.2,2852,6.5
Philip Rivers,1725,QB,SD,13,75.4,411,439,8.8,0.0,4,30,6.6,66.1,290,0,165,6.5,481,20,195,27,59.9,92.0,93.3,33.2,4,11,501,10,18.8,103.1,6.4,31,11,1,19,26,8,1.6,3868,8.8
