player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Tony Romo,1693,QB,DAL,3,75.8,120,128,8.6,0.0,3,9,6.7,68.8,88,0,39,3.3,129,3,45,9,87.3,91.3,90.9,54.3,3,2,136,2,2.6,94.2,0.8,1,0,0,2,4,2,1.5,949,7.4
Peyton Manning,327,QB,IND,3,76.9,121,126,9.0,0.0,1,10,7.8,69.0,87,0,38,6.5,129,6,50,14,87.3,88.2,87.9,47.2,2,0,132,0,7.9,116.9,2.3,3,0,0,2,9,1,0.8,1013,8.0
Kyle Orton,2323,QB,DEN,3,72.5,120,125,9.2,0.0,2,6,4.7,66.4,83,0,40,4.6,133,4,52,10,71.1,65.5,67.8,51.9,1,2,136,3,12.5,97.5,3.8,5,3,0,2,4,2,1.5,1083,8.7
Carson Palmer,1317,QB,CIN,3,65.5,116,122,8.2,0.0,0,2,1.6,56.6,69,0,37,9.2,128,7,41,7,48.5,55.7,59.3,40.7,1,2,131,1,8.1,74.7,2.3,3,3,0,5,3,8,6.1,707,5.8
Philip Rivers,1725,QB,SD,3,74.3,109,121,10.1,0.0,1,6,4.8,60.3,73,0,53,9.9,130,8,55,27,63.5,75.9,80.8,36.0,3,4,134,5,13.2,95.3,5.4,7,2,1,7,7,1,0.7,1087,9.0
Alex Smith,2218,QB,SF,3,76.2,105,119,6.8,0.0,1,2,1.6,60.5,72,1,45,10.0,129,8,33,28,46.4,50.1,50.1,71.1,4,5,134,6,15.6,66.2,5.4,7,3,0,9,2,4,3.0,732,6.2
Sam Bradford,5526,QB,SL,3,71.3,108,117,6.4,0.0,1,3,2.4,59.0,69,0,44,10.4,124,8,36,26,86.9,64.5,63.6,58.3,7,5,132,0,13.6,68.5,4.8,6,1,0,1,4,3,2.3,664,5.7
Drew Brees,802,QB,NO,3,82.4,108,112,6.9,0.0,1,6,5.2,75.9,85,0,33,4.5,117,4,43,20,68.8,82.7,83.9,46.6,0,2,120,1,15.2,107.6,4.3,5,0,2,1,6,4,3.3,856,7.6
Joe Flacco,4332,QB,BLT,3,65.3,98,108,10.9,0.0,3,4,3.4,54.6,59,0,33,7.8,113,5,36,3,70.1,61.9,65.6,41.1,0,5,122,1,9.1,66.3,2.7,3,2,0,7,4,6,4.9,664,6.1
Shaun Hill,1255,QB,DET,3,74.7,99,107,7.9,0.0,1,1,0.9,58.9,63,0,43,14.9,114,11,29,11,60.8,64.6,67.0,46.6,3,5,119,1,9.3,66.7,3.5,4,3,1,3,3,4,3.4,660,6.2
Matt Ryan,4317,QB,ATL,3,75.3,97,106,8.5,0.0,3,1,0.8,63.2,67,0,30,8.2,117,6,36,2,64.2,72.7,76.7,37.9,2,1,130,0,16.7,94.3,4.3,5,6,0,4,5,3,2.3,705,6.7
Aaron Rodgers,2241,QB,GB,3,77.6,98,105,9.5,0.0,1,5,4.4,68.6,72,0,33,5.3,115,4,48,12,86.9,74.0,73.6,66.2,1,3,124,2,9.1,93.6,2.6,3,7,1,4,5,6,4.8,767,7.3
Donovan McNabb,438,QB,WAS,3,72.8,92,102,9.8,0.0,6,6,5.5,60.8,62,0,44,7.5,109,5,37,32,86.1,68.2,67.2,66.2,1,1,116,1,11.4,89.2,4.6,5,2,1,2,2,2,1.7,833,8.2
Eli Manning,1722,QB,NYG,3,76.5,98,102,10.1,0.0,0,6,5.6,65.7,67,0,38,10.7,110,8,33,21,60.4,62.1,64.2,48.7,2,6,116,2,18.4,81.7,6.4,7,1,0,2,5,4,3.4,810,7.9
Matt Schaub,1811,QB,HST,3,78.1,96,101,8.6,0.0,3,2,1.8,69.3,70,0,36,6.7,112,5,45,13,86.5,69.0,69.0,49.6,1,4,120,0,30.6,94.7,9.8,11,0,0,1,5,2,1.7,845,8.4
Tom Brady,698,QB,NE,3,80.0,95,98,9.4,0.0,3,4,3.8,67.3,66,0,34,13.2,101,10,38,19,58.4,80.8,81.4,45.2,0,2,108,0,5.9,109.1,2.0,2,1,0,0,8,1,0.9,758,7.7
Derek Anderson,2430,QB,ARZ,3,64.1,92,98,10.0,0.0,1,1,1.0,52.0,51,0,50,13.6,105,8,28,1,85.5,50.9,51.7,58.3,3,3,111,1,12.0,67.6,5.7,6,1,0,2,3,5,4.5,581,5.9
Brett Favre,14,QB,MIN,3,71.0,93,97,8.4,0.0,3,2,1.9,61.9,60,0,41,9.1,103,6,29,18,58.5,56.0,56.1,58.4,1,6,111,1,14.6,60.4,5.8,6,0,0,0,2,5,4.5,597,6.2
Chad Henne,4371,QB,MIA,3,74.4,86,93,8.9,0.0,5,3,3.1,60.2,56,0,31,12.5,103,8,34,17,85.6,71.9,72.5,48.8,0,1,107,0,22.6,88.1,6.8,7,3,0,2,3,1,0.9,659,7.1
Jay Cutler,2956,QB,CHI,3,80.5,82,91,10.1,0.0,1,8,7.7,65.9,60,0,48,9.1,107,6,39,6,86.7,82.4,83.1,57.2,2,2,122,0,16.7,109.8,7.5,8,8,0,6,6,5,4.1,872,9.6
