player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Peyton Manning,327,QB,IND,9,399,70.4,98,101,10.5,0.0,1,4,3.9,58.4,59,31,14.5,107,26.8,10,41,,,,,85.5,77.6,80.8,75.9,,,1,1,108,19.4,84.8,5.6,6,0,0,1,4,3,2.8,604,6.0,0,14,86.5,85.3,85.2,42.6,75.6,275,285,8.7,0.0,3,14,4.7,66.3,189,74,9.1,292,73.2,19,105,,,,,80.2,87.2,84.8,84.6,,63.9,3,3,303,8.1,97.1,2.1,6,1,0,4,12,6,2.0,2059,7.2,76.2,290,294,8.3,0.0,2,12,4.0,67.7,199,0,10.0,294,73.7,22,114,,,,,90.7,87.2,84.8,84.7,,,0,3,303,,99.3,0.0,0,0,0,2,14,7,2.3,2058,7.0,2,67.5,83,92,12.1,0.0,2,6,6.3,53.3,49,105,12.5,105,26.3,7,32,,,,,56.8,77.7,80.8,75.5,,63.9,4,1,108,11.4,76.6,11.4,12,1,0,3,2,2,1.9,605,6.6
Drew Brees,802,QB,NO,9,388,85.1,87,95,7.0,0.0,1,3,3.0,71.6,68,38,8.1,103,26.5,6,35,,,,,44.8,76.2,80.8,74.7,,,1,1,107,21.1,101.6,7.8,8,0,0,6,4,2,1.9,689,7.3,0,20,63.9,70.9,72.1,37.4,76.2,269,279,7.3,0.0,3,13,4.5,69.2,193,69,5.9,285,73.5,12,98,,,,,70.4,69.5,84.7,68.6,,58.3,0,11,296,7.2,88.4,1.8,5,1,3,4,14,11,3.7,1898,6.8,83.0,271,280,6.5,0.0,4,10,3.5,74.6,209,0,7.1,281,72.4,16,102,,,,,73.9,85.5,84.6,83.5,,58.3,0,6,290,,101.9,0.0,0,1,3,2,14,4,1.4,2007,7.2,2,63.5,85,94,9.8,0.0,0,6,6.0,55.3,52,107,3.7,107,27.6,2,31,,,,,38.6,42.1,81.0,43.2,,,1,6,113,12.1,61.5,12.1,13,0,0,8,4,9,8.0,580,6.2
Carson Palmer,1317,QB,CIN,9,382,73.9,88,98,9.5,0.0,2,5,4.5,60.2,59,42,9.2,106,27.7,6,36,,,,,86.0,78.2,81.2,75.6,,65.6,2,1,118,16.7,105.0,6.6,7,1,0,6,7,3,2.5,781,8.0,0,7,78.7,72.4,73.3,43.6,70.6,248,262,9.0,0.0,5,13,4.8,61.8,162,75,7.4,276,72.3,13,87,,,,,79.1,70.1,48.9,69.3,,63.0,1,9,285,13.3,76.4,3.6,10,4,1,7,9,13,4.6,1614,6.2,73.7,251,264,8.8,0.0,5,11,4.0,64.4,170,0,8.1,265,69.4,15,93,,,,,78.7,74.4,84.5,73.5,,54.9,0,7,278,,89.9,0.0,0,1,1,7,13,11,4.0,1826,6.9,2,64.7,85,96,10.1,0.0,2,7,6.7,53.1,51,117,7.3,117,30.6,4,30,,,,,86.4,69.6,10.9,67.4,,77.8,3,3,125,14.5,68.4,14.5,17,4,0,6,3,5,4.0,569,5.9
Kyle Orton,2323,QB,DEN,9,382,56.5,115,126,11.7,0.0,4,5,3.8,47.6,60,48,7.7,137,35.9,5,49,,,,,64.7,58.1,19.1,62.1,,28.7,1,2,144,16.7,76.4,5.8,8,3,0,6,5,6,4.2,848,6.7,0,10,67.8,70.9,74.4,34.0,76.3,215,224,8.8,0.0,2,16,6.8,70.1,157,78,4.3,245,64.1,7,87,,,,,66.6,80.3,84.1,79.4,,54.6,2,3,256,16.7,107.8,5.3,13,8,2,3,11,5,2.0,1963,8.8,71.3,244,253,9.3,0.0,5,12,4.6,65.6,166,0,4.6,256,67.0,8,103,,,,,90.5,80.6,84.3,78.0,,74.3,0,2,264,,103.7,0.0,0,3,2,2,12,5,1.9,2090,8.3,6,64.0,86,97,11.2,0.0,1,9,8.5,52.6,51,126,7.3,126,33.0,4,33,,,,,28.6,54.7,15.9,62.0,,28.1,3,3,136,16.7,77.7,16.7,21,8,0,7,4,6,4.4,721,7.4
Matt Ryan,4317,QB,ATL,9,368,69.7,119,126,9.4,0.0,3,9,6.8,61.1,77,42,7.2,133,36.1,6,49,,,,,63.8,85.5,81.8,84.0,,54.2,3,3,139,11.9,96.9,3.8,5,2,0,1,8,3,2.2,988,7.8,0,2,75.2,83.1,85.7,35.4,75.8,194,212,7.9,0.0,1,8,3.5,63.7,135,62,8.2,235,63.9,12,67,,,,,76.8,79.0,84.1,80.5,,42.4,3,2,253,16.1,88.9,4.3,10,13,1,13,8,3,1.2,1277,6.0,75.2,242,251,8.0,0.0,4,9,3.4,65.7,165,0,9.3,264,71.7,17,93,,,,,78.7,89.6,84.5,89.5,,45.5,0,5,278,,89.5,0.4,1,12,1,4,9,4,1.4,1746,7.0,2,67.6,71,87,10.2,0.0,0,8,8.4,54.0,47,104,2.1,104,28.3,1,23,,,,,58.5,65.5,81.0,66.8,,47.0,6,0,114,13.5,98.8,13.5,14,3,0,10,7,2,1.8,519,6.0
Sam Bradford,5526,QB,SL,9,364,72.7,99,112,6.2,0.0,2,9,7.3,60.7,68,56,5.6,127,34.9,4,46,,,,,63.7,73.9,81.8,72.7,,60.8,8,1,138,19.6,88.4,8.7,11,4,0,3,4,4,2.9,740,6.6,0,26,77.8,66.0,67.0,41.5,73.8,206,222,6.6,0.0,3,3,1.3,59.9,133,69,12.5,237,65.1,19,63,,,,,90.4,62.3,84.1,61.7,,60.9,5,7,252,13.0,73.3,3.8,9,6,2,6,8,6,2.4,1194,5.4,78.2,229,235,5.8,0.0,2,4,1.6,67.2,158,0,11.7,239,65.7,21,86,,,,,90.4,77.3,84.1,75.3,,66.6,0,3,252,,91.1,0.0,0,4,2,2,9,4,1.6,1443,6.1,0,59.2,76,99,8.3,0.0,3,8,7.2,43.4,43,125,4.4,125,34.3,2,23,,,,,63.5,49.3,81.8,50.0,,56.4,13,5,138,16.0,48.0,16.0,20,6,0,7,3,6,4.3,491,5.0
Philip Rivers,1725,QB,SD,9,357,67.0,91,99,10.5,0.0,1,6,5.7,58.6,58,46,4.9,109,30.5,3,47,,,,,86.0,83.1,81.1,81.5,,57.9,2,3,116,19.6,89.9,8.3,9,1,0,5,4,1,0.9,906,9.2,0,27,58.5,91.0,92.7,28.9,79.5,215,230,8.2,0.0,2,14,5.9,68.3,157,79,8.2,248,69.5,14,99,,,,,77.3,94.2,45.4,93.1,,72.3,2,5,258,16.5,108.6,5.2,13,5,1,10,15,5,1.9,2038,8.9,79.5,224,230,8.3,0.0,3,13,5.4,72.2,166,0,6.7,232,65.0,12,114,,,,,90.3,97.4,83.9,95.9,,64.1,0,4,242,,120.7,0.0,0,2,1,2,17,1,0.4,2268,9.9,7,65.9,82,99,10.4,0.0,0,7,6.7,49.5,49,125,9.3,125,35.0,5,32,,,,,62.6,65.1,14.1,64.3,,67.6,4,4,132,17.6,61.7,17.6,22,4,0,13,2,5,3.8,676,6.8
Donovan McNabb,438,QB,WAS,9,343,64.6,96,110,9.4,0.0,4,5,4.3,52.7,58,63,6.5,124,36.2,4,36,,,,,69.9,56.2,81.6,53.1,,81.3,4,5,133,14.3,74.1,7.3,9,5,0,6,6,5,3.8,762,6.9,0,32,61.1,62.4,64.0,47.2,70.2,188,198,10.4,0.0,6,11,5.2,59.6,118,89,10.6,219,63.8,14,64,,,,,63.8,71.2,83.8,69.8,,65.2,3,6,232,16.9,75.8,6.8,15,6,1,0,3,6,2.6,1504,7.6,77.5,178,183,9.8,0.0,4,11,5.7,68.9,126,0,8.7,191,55.7,12,73,,,,,90.0,86.6,83.2,84.2,,67.4,0,4,201,,100.4,0.0,0,8,1,0,7,2,1.0,1638,9.0,3,52.8,106,125,10.5,0.0,6,5,3.7,40.0,50,152,10.7,152,44.3,6,27,,,,,38.5,38.6,82.4,37.3,,79.8,7,7,164,15.8,38.4,15.8,24,3,0,6,2,9,5.5,628,5.0
Aaron Rodgers,2241,QB,GB,9,340,74.6,114,121,10.6,0.0,1,8,6.2,62.0,75,37,11.8,132,38.8,10,52,,,,,87.3,83.6,81.8,79.3,,84.0,0,4,140,18.9,85.3,5.3,7,4,0,6,5,5,3.6,917,7.6,0,12,91.1,85.6,85.4,61.5,76.2,168,182,9.5,0.0,3,13,6.8,64.3,117,62,8.6,208,61.2,11,75,,,,,90.1,85.9,39.1,83.4,,72.5,1,5,219,16.1,94.5,4.8,10,16,2,8,10,9,4.1,1396,7.7,78.7,221,228,9.2,0.0,4,14,5.9,68.4,156,0,10.3,241,70.9,18,99,,,,,90.4,91.1,84.1,89.2,,76.0,0,4,250,,104.9,0.0,0,13,2,1,13,8,3.2,1864,8.2,3,63.9,61,75,12.7,0.0,0,7,8.3,48.0,36,99,7.7,99,29.1,3,28,,,,,85.5,69.7,2.1,67.0,,75.8,1,5,109,17.2,48.1,17.2,17,7,0,13,2,6,5.5,449,6.0
Eli Manning,1722,QB,NYG,9,336,71.9,89,97,10.1,0.0,3,12,11.0,60.8,59,39,7.8,104,31.0,5,38,,,,,67.1,75.6,81.1,74.5,,57.9,1,3,116,15.4,99.3,5.8,6,1,0,4,8,2,1.7,744,7.7,0,21,76.3,78.8,79.5,50.9,78.0,214,222,9.5,0.0,1,10,4.3,68.5,152,61,9.0,232,69.0,15,80,,,,,75.9,80.5,83.9,78.1,,71.1,2,10,243,9.8,88.9,2.6,6,4,0,5,11,8,3.3,1704,7.7,83.8,228,234,8.4,0.0,4,13,5.1,73.9,173,0,9.4,236,70.2,18,93,,,,,90.4,87.6,84.1,84.2,,78.2,0,8,255,,104.2,0.0,0,2,0,2,14,4,1.6,1954,8.4,4,53.3,75,85,13.5,0.0,0,9,10.1,44.7,38,100,5.0,100,29.8,2,25,,,,,34.6,61.3,80.7,62.0,,51.9,3,5,104,12.0,58.7,12.0,12,3,0,7,5,6,5.8,494,5.8
