player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Peyton Manning,327,QB,IND,13,584,71.9,135,138,9.8,0.0,1,4,2.9,61.6,85,42,12.4,145,24.8,12,56,,,,,87.7,77.8,82.0,76.2,,,1,3,147,16.7,83.3,4.8,7,0,0,1,6,4,2.7,810,5.9,0,14,90.5,88.2,87.5,41.3,75.7,420,431,8.8,0.0,4,24,5.4,68.0,293,113,7.9,439,75.2,25,162,,,,,87.4,90.0,86.4,87.3,,63.9,3,12,453,6.2,93.7,1.6,7,1,0,4,20,12,2.6,3218,7.5,77.4,425,429,8.0,0.0,2,19,4.3,69.7,299,0,9.1,429,73.5,30,164,,,,,91.4,90.6,86.3,88.8,,,0,7,441,,100.2,0.0,0,0,0,2,22,9,2.0,3058,7.1,2,66.2,130,140,12.2,0.0,3,9,6.3,56.4,79,155,8.1,155,26.5,7,54,,,,,66.7,75.2,82.3,73.3,,63.9,4,8,159,9.0,63.7,9.0,14,1,0,3,4,7,4.4,970,6.9
Drew Brees,802,QB,NO,13,545,81.9,127,138,8.3,0.0,2,8,5.6,68.8,95,51,8.7,148,27.2,9,50,,,,,57.0,81.0,82.2,79.1,,,1,4,154,19.6,93.4,6.8,10,0,0,8,6,5,3.2,1043,7.6,0,20,74.5,85.8,86.2,35.1,76.9,372,387,7.9,0.0,6,27,6.7,69.0,267,96,6.6,397,72.8,19,142,,,,,78.4,86.5,86.0,84.5,,54.5,1,14,412,8.3,93.7,2.0,8,2,3,5,22,13,3.2,2812,7.3,81.2,382,397,7.6,0.0,8,25,6.1,72.5,288,0,7.1,398,73.0,22,149,,,,,81.4,91.9,86.0,90.8,,58.3,0,11,410,,101.8,0.0,0,1,3,4,23,8,2.0,3000,7.6,3,68.4,117,128,9.3,0.0,0,10,7.3,57.8,74,147,7.5,147,27.0,6,43,,,,,51.0,62.4,82.2,62.2,,58.3,2,7,156,12.2,68.3,12.2,18,1,0,9,5,10,6.4,855,6.7
Kyle Orton,2323,QB,DEN,13,545,54.4,160,176,12.0,0.0,5,9,4.8,46.0,81,65,6.9,190,34.9,6,65,,,,,72.1,53.3,0.0,57.2,,28.7,2,4,200,16.9,71.3,5.8,11,3,0,9,7,12,6.0,1144,6.5,0,10,77.9,68.0,70.7,36.2,73.8,309,322,8.7,0.0,4,18,5.3,65.8,212,106,7.0,355,65.1,16,115,,,,,76.1,78.4,85.6,77.3,,57.5,3,5,374,21.7,96.5,6.5,23,10,2,4,13,7,1.9,2514,7.8,69.1,359,371,9.3,0.0,8,17,4.4,62.3,231,0,6.9,374,68.6,17,139,,,,,91.1,79.1,58.4,77.1,,74.3,0,3,389,,96.5,0.0,0,3,2,2,16,9,2.3,2804,7.6,7,60.9,110,127,11.6,0.0,1,10,7.1,48.8,62,171,7.5,171,31.4,5,41,,,,,37.8,47.9,31.7,53.6,,29.6,5,6,185,19.9,61.6,19.9,34,10,0,11,4,10,5.4,854,6.7
Carson Palmer,1317,QB,CIN,13,531,69.4,144,157,9.8,0.0,4,6,3.5,58.0,91,65,9.0,172,32.4,9,57,,,,,89.5,72.8,82.9,71.4,,62.9,3,4,188,20.0,92.2,7.6,13,2,0,6,11,6,3.2,1094,7.0,0,7,86.0,68.6,69.6,40.1,71.0,321,340,8.6,0.0,7,14,3.9,61.5,209,90,8.3,359,67.6,19,113,,,,,84.3,67.0,57.6,66.3,,64.1,1,13,377,14.4,72.8,3.6,13,6,1,10,10,17,4.5,2093,6.2,72.9,354,372,8.7,0.0,9,13,3.3,63.4,236,0,8.5,376,70.8,22,130,,,,,85.3,70.5,85.9,69.9,,49.8,0,13,398,,83.4,0.0,0,4,1,8,17,17,4.3,2479,6.7,2,63.1,111,125,9.9,0.0,2,7,5.1,51.2,64,155,8.6,155,29.2,6,40,,,,,88.6,66.7,26.8,64.9,,77.8,4,4,167,16.8,65.7,16.8,26,4,0,8,4,6,3.6,708,5.7
Donovan McNabb,438,QB,WAS,13,524,67.8,143,162,8.7,0.0,7,6,3.5,55.6,90,92,7.2,181,34.5,7,58,,,,,76.7,62.9,83.0,60.3,,81.3,5,5,192,15.2,77.4,7.7,14,5,0,7,6,6,3.1,1149,7.1,0,32,47.9,65.3,67.0,42.5,69.7,297,310,9.2,0.0,8,15,4.6,59.7,185,120,10.6,343,65.5,22,102,,,,,38.7,69.9,85.5,69.6,,54.3,3,10,358,19.2,76.9,6.7,23,10,2,0,8,12,3.4,2228,7.2,76.8,293,302,8.6,0.0,7,13,4.1,67.5,204,0,9.3,312,59.5,21,117,,,,,72.9,84.6,85.1,83.0,,59.5,0,8,326,,94.2,0.0,0,10,2,0,12,7,2.1,2438,8.1,4,53.7,147,170,10.0,0.0,8,8,4.5,41.8,71,212,10.1,212,40.5,8,43,,,,,29.6,42.6,83.6,41.9,,72.5,8,7,224,17.5,46.7,17.5,37,5,0,7,2,11,4.9,939,5.5
Sam Bradford,5526,QB,SL,13,516,71.1,149,175,6.7,0.0,7,13,7.0,56.0,98,90,7.5,196,38.0,8,64,,,,,72.8,73.3,83.3,72.2,,60.8,12,2,208,18.9,84.8,8.7,17,4,0,7,7,6,2.9,1154,6.6,0,26,85.0,68.6,69.1,43.4,74.7,277,299,6.6,0.0,4,7,2.2,62.9,188,86,9.2,320,62.0,19,91,,,,,90.9,65.7,85.2,64.8,,63.1,5,10,337,11.6,75.9,3.1,10,11,3,10,10,10,3.0,1739,5.8,77.4,323,335,6.3,0.0,6,11,3.1,67.8,227,0,9.2,340,65.9,23,122,,,,,91.0,81.4,85.4,79.7,,59.8,0,5,355,,93.9,0.0,0,5,3,3,14,7,2.0,2225,6.6,1,61.2,103,139,7.5,0.0,5,9,5.9,42.4,59,176,6.3,176,34.1,4,33,,,,,70.8,46.9,83.0,46.2,,63.9,17,7,190,15.3,43.7,15.3,27,10,0,14,3,9,4.7,668,4.8
Matt Ryan,4317,QB,ATL,13,512,70.7,164,174,8.9,0.0,3,12,6.6,63.2,110,61,5.2,181,35.4,6,65,,,,,71.2,87.5,83.0,85.4,,59.2,4,4,192,8.2,94.9,2.8,5,2,0,3,10,3,1.6,1274,7.3,0,2,83.0,86.2,87.8,37.0,73.3,281,301,8.5,0.0,1,15,4.7,63.1,190,92,7.8,331,64.6,16,104,,,,,83.0,82.3,85.4,82.7,,45.5,4,4,352,16.3,88.4,4.5,15,15,1,14,12,6,1.7,1873,6.2,76.1,335,345,8.1,0.0,4,15,4.1,67.8,234,0,8.2,359,70.1,21,133,,,,,84.4,91.5,85.7,91.0,,50.5,0,7,379,,92.0,0.3,1,13,1,5,13,5,1.3,2428,7.0,2,60.9,110,130,10.4,0.0,0,12,8.6,50.8,66,153,1.5,153,29.9,1,36,,,,,67.8,65.8,82.4,66.6,,49.0,8,1,165,12.4,87.3,12.4,19,4,0,12,9,4,2.4,719,5.5
Matt Schaub,1811,QB,HST,13,498,72.2,133,147,8.5,0.0,3,4,2.6,58.5,86,65,10.4,158,31.7,10,57,,,,,67.5,68.3,26.8,68.1,,,5,3,167,16.9,82.7,7.0,11,0,0,6,3,7,4.2,1183,8.0,0,13,67.0,82.7,82.6,43.6,76.4,288,318,8.0,0.0,5,20,6.0,63.8,203,97,7.7,340,68.3,17,124,,,,,63.3,88.4,85.5,86.0,,63.8,6,7,358,17.5,94.1,5.0,17,5,4,15,17,5,1.4,2301,7.2,80.3,314,331,7.9,0.0,6,18,5.1,69.2,229,0,9.1,336,67.5,23,146,,,,,91.0,92.7,55.9,91.7,,63.8,0,6,356,,102.8,0.0,0,5,4,7,15,4,1.1,2824,8.5,1,59.8,107,134,9.1,0.0,2,6,4.3,44.8,60,162,6.3,162,32.5,4,35,,,,,26.8,48.7,82.5,49.2,,,11,4,169,17.3,59.9,17.3,28,0,0,14,5,8,4.7,660,4.9
Philip Rivers,1725,QB,SD,13,481,67.5,114,123,10.3,0.0,1,9,6.9,59.3,73,56,5.2,136,28.3,4,58,,,,,87.5,86.2,81.9,83.9,,62.5,2,5,144,19.6,89.7,8.1,11,2,0,6,6,2,1.4,1147,9.3,0,27,59.9,92.0,93.3,33.2,78.5,297,316,8.2,0.0,3,21,6.4,68.7,217,109,6.9,345,71.7,16,137,,,,,71.6,94.5,56.0,93.3,57.6,72.1,2,6,357,18.3,108.4,5.8,20,9,1,13,20,6,1.7,2721,8.6,78.5,302,310,8.2,0.0,4,19,5.9,71.9,223,0,5.9,316,65.7,14,156,,,,,90.8,97.8,85.1,96.3,57.6,72.4,0,6,327,,119.0,0.0,0,6,1,3,23,2,0.6,2995,9.7,10,67.0,109,129,10.4,0.0,0,11,8.0,51.9,67,165,8.2,165,34.3,6,39,,,,,49.2,66.6,28.8,66.0,,65.0,4,5,174,18.8,65.2,18.8,31,5,0,16,3,6,3.4,873,6.8
Mark Sanchez,4928,QB,NYJ,13,478,62.2,156,167,11.4,0.0,5,12,6.9,50.3,84,60,13.4,182,38.1,13,60,,,,,39.2,69.4,83.0,68.5,,60.2,4,3,190,16.7,84.1,5.5,10,5,0,2,10,9,4.7,1107,6.6,0,22,65.5,67.1,67.4,50.1,67.8,255,274,8.8,0.0,8,11,3.9,55.1,151,79,12.7,296,61.9,22,88,,,,,80.5,64.7,53.5,64.7,59.1,59.0,1,9,307,20.3,68.2,5.4,16,6,5,5,6,12,3.9,1745,6.4,71.0,314,333,8.9,0.0,13,16,4.7,58.3,194,0,13.0,339,70.9,29,118,,,,,90.9,78.8,85.4,78.5,59.1,45.0,0,8,347,,80.6,0.0,0,6,5,1,11,13,3.7,2313,6.9,3,48.5,97,108,12.7,0.0,0,7,5.9,38.0,41,139,12.8,139,29.1,6,30,,,,,25.8,43.2,25.2,42.5,,76.6,5,4,150,18.7,54.5,18.7,26,5,0,6,5,8,5.3,539,5.0
