player_name,primary_tour,last_played,playing_this_week,last_5_finishes,trend_index,baseline_index
"Mouw, William",AM,"May 30, 2022",pga,T10 - T13 - T2 - T2 - T5,-0.20058449999999986,1.6045550744680859
"Tarren, Callum",PGA,"Jun 12, 2022",pga,34 - T61 - T56 - T46 - CUT,-0.21770399999999945,0.34058111363636423
"Langasque, Romain",EURO,"Jun 12, 2022",no,CUT - T8 - T31 - T40 - T7,-0.21946299999999966,-0.005856370786516407
"Bridgeman, Jacob",AM,"Jun 12, 2022",web,1 - CUT - T12 - T29 - T5,-0.2249634999999997,0.20690462500000006
"Reavie, Chez",PGA,"May 29, 2022",no,CUT - T13 - T15 - CUT - T27,-0.2284115,-0.4030683999999999
"Goya, Estanislao",KFT,"Jun 12, 2022",no,T6 - CUT - T18 - T29 - T22,-0.2286799999999997,0.4778728378378382
"Lebioda, Hank",PGA,"Jun 12, 2022",no,T18 - T29 - T41 - CUT - T28,-0.2571220000000002,-0.3443960476190476
"Oppenheim, Rob",KFT,"Jun 12, 2022",web,CUT - T6 - CUT - T19 - T12,-0.2625525000000004,0.5612261249999997
"Stevens, Samuel",KFT,"Jun 12, 2022",pga,T24 - T7 - T18 - T61 - T31,-0.28535200000000005,0.3192539090909089
"Taylor, Ben",KFT,"Jun 12, 2022",no,T17 - T40 - CUT - CUT - T15,-0.2855755000000003,0.25251571951219465
"Gordon, Will",KFT,"Jun 5, 2022",web,T13 - T60 - T23 - T56 - 4,-0.29569800000000035,0.6608235789473682
"Swafford, Hudson",PGA,"Jun 11, 2022",no,T35 - CUT - CUT - CUT - T30,-0.29769499999999993,-0.34929230337078643
"Pulkkanen, Tapio",EURO,"Jun 12, 2022",no,T49 - T23 - T9 - CUT - CUT,-0.3129290000000002,0.380223098765432
"Onishi, Kaito",JPN,"Jun 12, 2022",no,T2 - 6 - T10 - T40 - T6,-0.3225824999999996,0.8601915000000002
"Nunez, Augusto",KFT,"Jun 12, 2022",web,T9 - T21 - T52 - T65 - T3,-0.32752750000000025,0.4121978947368415
"Lewton, Steve",ASA,"Jun 5, 2022",no,T4 - T6 - T5 - T13 - T49,-0.3370135,0.5599147258064516
"Ralston, Spencer",KFT,"Jun 12, 2022",web,CUT - T61 - T5 - T10 - CUT,-0.3411674999999996,0.9572900000000004
"Wu, Ashun",EURO,"Jun 5, 2022",no,T26 - T27 - T44 - T47 - T51,-0.3423424999999999,0.014285528169014183
"Barnes, Erik",KFT,"Jun 12, 2022",pga,T22 - T9 - T16 - T19 - CUT,-0.34302999999999984,-0.07607448979591824
