player_name,sample_size,baseline,major_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"McIlroy, Rory",150,2.198,0.080,33,-0.001,0.057,0.006,0.037,-0.040,0.052,0.006,0.048,0.105,2.442,2.909,"U.S. Open","The Country Club"
"Thomas, Justin",150,2.196,0.029,29,0.012,0.073,-0.020,-0.069,-0.040,0.031,0.011,0.054,0.096,2.278,2.872,"U.S. Open","The Country Club"
"Scheffler, Scottie",150,2.077,0.094,25,0.022,0.081,-0.047,-0.012,-0.040,0.029,-0.003,0.054,0.080,2.254,2.896,"U.S. Open","The Country Club"
"Rahm, Jon",150,1.965,-0.007,27,0.017,-0.004,-0.015,0.123,-0.040,0.041,-0.015,0.038,0.064,2.102,2.902,"U.S. Open","The Country Club"
"Cantlay, Patrick",150,1.898,-0.029,30,0.008,0.017,-0.037,0.009,-0.040,0.017,-0.001,0.042,0.058,1.883,2.880,"U.S. Open","The Country Club"
"Zalatoris, Will",150,1.469,0.094,25,0.022,0.005,0.035,0.119,-0.040,0.031,0.013,0.036,0.080,1.785,2.862,"U.S. Open","The Country Club"
"Lowry, Shane",150,1.770,0.095,35,-0.008,0.020,-0.015,-0.090,-0.040,0.011,-0.010,0.043,0.044,1.775,2.870,"U.S. Open","The Country Club"
"Fitzpatrick, Matthew",150,1.589,0.080,27,0.016,0.054,0.024,0.020,-0.040,0.011,-0.019,0.032,0.024,1.766,2.836,"U.S. Open","The Country Club"
"Schauffele, Xander",150,1.664,0.114,28,0.013,-0.012,-0.014,-0.098,-0.040,0.021,-0.013,0.042,0.051,1.678,2.845,"U.S. Open","The Country Club"
"Smith, Cameron",150,1.791,0.068,28,0.013,-0.041,0.012,-0.265,-0.040,0.007,0.018,0.053,0.077,1.614,2.896,"U.S. Open","The Country Club"
"Im, Sungjae",150,1.566,0.023,24,0.028,0.033,-0.056,0.039,-0.040,0.007,-0.025,0.034,0.016,1.608,2.896,"U.S. Open","The Country Club"
"Burns, Sam",150,1.798,0.009,25,0.022,0.002,-0.010,-0.253,-0.040,0.024,0.004,0.043,0.072,1.601,2.939,"U.S. Open","The Country Club"
"Niemann, Joaquin",150,1.439,-0.045,23,0.030,0.075,0.014,0.047,-0.040,0.028,0.010,0.032,0.070,1.589,2.848,"U.S. Open","The Country Club"
"Finau, Tony",150,1.478,0.107,32,-0.000,-0.023,-0.057,0.037,-0.040,0.019,0.010,0.031,0.060,1.561,2.854,"U.S. Open","The Country Club"
"Matsuyama, Hideki",150,1.393,0.111,30,0.008,-0.053,-0.000,0.056,-0.040,0.010,-0.008,0.038,0.040,1.515,2.899,"U.S. Open","The Country Club"
"Spieth, Jordan",150,1.301,0.122,28,0.013,-0.065,-0.030,0.098,-0.040,0.013,0.013,0.030,0.056,1.454,2.919,"U.S. Open","The Country Club"
"Conners, Corey",150,1.525,0.007,30,0.007,0.002,-0.038,-0.078,-0.040,0.005,-0.033,0.030,0.001,1.387,2.851,"U.S. Open","The Country Club"
"Morikawa, Collin",150,1.190,0.085,25,0.024,0.078,-0.016,0.039,-0.040,0.007,-0.036,0.034,0.005,1.364,2.906,"U.S. Open","The Country Club"
