player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Johnson, Zach",0.195,72,0.095,95,-0.150,198,-0.380,310,-0.240,173,-14.199,399,0.024,114
"Huizing, Daan",0.060,146,-0.201,346,-0.582,351,-0.757,384,-1.479,369,-15.229,400,-0.007,205
"Reavie, Chez",-0.249,358,-0.019,184,0.079,113,-0.128,222,-0.316,190,-15.558,401,0.126,2
"Taylor, Vaughn",-0.126,280,-0.000,169,0.013,134,-0.441,326,-0.555,240,-15.823,402,0.072,26
"Horsey, David",0.004,189,-0.231,362,-0.329,273,-0.462,336,-1.018,315,-15.889,403,0.049,51
"Ormsby, Wade",-0.128,283,0.145,67,-0.279,253,-0.438,324,-0.700,270,-15.931,404,0.053,48
"Putnam, Andrew",0.121,112,0.158,58,-0.051,173,-0.204,245,0.025,140,-16.212,405,0.037,79
"Tarrio Ben, Santiago",-0.129,285,0.065,119,-0.262,248,-0.374,308,-0.699,269,-16.214,406,0.036,82
"Coupland, Dave",-0.099,257,-0.159,305,-0.564,345,-0.565,363,-1.387,360,-16.454,407,0.037,80
"Paisley, Chris",0.015,178,-0.076,238,-0.934,404,-1.629,426,-2.624,420,-16.908,408,-0.051,342
"Drysdale, David",-0.407,404,-0.238,369,-0.648,364,-0.302,285,-1.594,381,-17.227,409,0.115,4
"Morrison, James",0.391,12,-0.248,376,-0.670,370,-0.547,360,-1.075,328,-17.558,410,0.047,57
"Caldwell, Jonathan",0.279,43,-0.179,325,-1.167,420,-1.224,420,-2.290,410,-17.810,411,0.004,172
"Wood, Chris",0.094,127,-0.058,217,-0.779,387,-1.815,427,-2.558,416,-17.867,412,-0.059,357
"Jacquelin, Raphael",-0.356,397,0.162,56,-0.771,385,-0.912,403,-1.877,398,-18.015,413,0.001,178
"Havret, Gregory",-0.509,419,-0.363,415,-0.918,401,-0.768,386,-2.558,417,-18.287,414,0.040,72
"Storm, Graeme",-0.358,398,-0.216,352,-1.555,427,-0.872,400,-3.000,427,-19.741,415,0.028,104
"Kjeldsen, Soren",-0.194,332,-0.038,197,-0.499,330,-0.788,390,-1.518,375,-20.139,416,0.044,61
"Todd, Brendon",0.449,8,0.200,35,-0.036,161,-0.338,297,0.274,98,-20.227,417,0.122,3
"Gagli, Lorenzo",-0.155,305,-0.086,248,-0.331,274,-0.924,405,-1.497,371,-20.625,418,0.021,122
"De La Riva, Eduardo",-0.338,389,-0.249,378,-0.512,333,-0.728,378,-1.828,392,-20.711,419,0.032,90
"Hearn, David",-0.213,340,-0.071,233,-0.621,359,-0.970,410,-1.875,396,-20.823,420,0.039,75
"McEvoy, Richard",-0.191,331,0.053,127,-0.693,373,-0.750,383,-1.580,379,-21.018,421,0.074,21
"Bjorn, Thomas",-0.171,317,-0.139,291,-0.930,403,-0.800,394,-2.041,404,-22.373,422,-0.010,215
"Ford, Matt",-0.011,199,-0.191,337,-1.519,426,-1.087,415,-2.808,424,-22.684,423,-0.001,186
"Stuard, Brian",-0.096,253,0.124,80,-0.041,164,-0.512,346,-0.525,232,-22.951,424,0.114,5
"Chesters, Ashley",-0.309,378,-0.181,328,-0.239,238,-0.412,320,-1.141,339,-23.785,425,0.144,1
"Howell, David",0.141,103,-0.130,283,-1.596,428,-1.879,428,-3.464,429,-23.814,426,-0.037,300
"Choi, K.J.",-0.304,376,-0.022,187,-0.483,325,-1.057,414,-1.866,394,-24.114,427,0.062,35
"Figueiredo, Pedro",-0.288,370,-0.144,297,-0.907,400,-1.394,424,-2.733,423,-24.599,428,-0.010,216
"Chawrasia, S.S.P.",-0.542,424,-0.221,357,-0.806,392,-1.157,419,-2.726,422,-27.351,429,0.042,68
