player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"LaCroix, Frederic",-0.004,195,-0.219,355,-0.237,236,-0.394,314,-0.853,293,4.150,137,-0.049,335
"Chang, Yikeun",-0.109,265,-0.307,405,-1.068,411,-0.969,409,-2.453,415,4.107,138,-0.095,409
"Whaley, Vincent",0.147,100,0.000,167,-0.192,216,0.144,110,0.099,127,4.101,139,-0.068,371
"Moore, Taylor",-0.163,314,-0.005,176,-0.020,148,0.243,73,0.055,132,4.095,140,0.013,146
"Grillo, Emiliano",-0.171,318,-0.130,281,0.106,107,0.408,34,0.213,108,4.006,141,0.054,46
"Migliozzi, Guido",-0.038,216,-0.190,335,-0.504,332,-0.407,318,-1.139,338,3.926,142,-0.058,354
"Hatton, Tyrrell",0.389,13,0.227,24,0.243,65,0.077,140,0.936,36,3.782,143,-0.036,299
"Jones, Matt",-0.237,353,0.227,25,0.144,93,0.211,81,0.344,91,3.739,144,-0.044,325
"Dunne, Paul",0.238,56,0.195,37,-1.449,425,-1.253,421,-2.269,409,3.664,145,-0.152,429
"Valimaki, Sami",0.059,148,-0.392,422,-0.577,348,-0.376,309,-1.287,354,3.637,146,-0.022,248
"Schwartzel, Charl",-0.001,193,0.182,45,0.166,88,-0.112,215,0.235,104,3.521,147,-0.039,308
"Pavon, Matthieu",-0.077,242,-0.059,219,-0.152,199,0.118,124,-0.170,167,3.408,148,-0.021,247
"Von Dellingshausen, Nicolai",-0.277,368,-0.236,367,-0.182,212,-0.351,301,-1.047,324,3.379,149,-0.053,350
"Gavins, Daniel",-0.309,377,0.077,112,-0.055,177,-0.535,354,-0.822,288,3.377,150,-0.063,363
"Schmitt, Max",-0.084,246,-0.190,333,-0.442,312,-0.526,352,-1.242,350,3.361,151,-0.073,380
"Van Rooyen, Erik",-0.019,206,-0.079,242,0.341,44,0.212,80,0.455,78,3.342,152,0.028,105
"Leishman, Marc",0.202,68,0.068,118,0.189,80,0.066,145,0.524,69,3.313,153,-0.027,266
"Kizzire, Patton",0.035,163,0.002,165,0.153,91,-0.162,234,0.028,137,3.309,154,-0.043,319
"Griffin, Lanto",0.140,104,-0.087,250,0.254,64,0.127,120,0.434,82,3.271,155,-0.005,195
"Munoz, Sebastian",0.088,131,0.055,124,0.391,37,0.346,50,0.880,37,3.256,156,0.034,85
"Gooch, Talor",0.249,50,0.305,8,0.527,26,0.013,168,1.093,31,3.188,157,0.017,133
"Morikawa, Collin",-0.059,231,-0.026,188,0.806,4,0.594,16,1.315,20,3.039,158,0.081,15
"Im, Sungjae",0.246,52,0.266,15,0.514,27,0.583,18,1.609,9,3.016,159,0.056,44
"Quiros, Alvaro",-0.182,326,-0.222,358,-0.593,355,-0.511,345,-1.508,372,3.009,160,-0.084,398
"Smith, Cameron",0.450,7,0.313,6,0.785,5,-0.038,187,1.509,13,2.985,161,-0.039,305
"Mickelson, Phil",-0.124,277,-0.067,224,-0.456,317,-0.240,261,-0.886,298,2.929,162,-0.048,331
"Johnston, Liam",-0.084,245,-0.290,397,-1.151,419,-1.091,417,-2.616,419,2.915,163,-0.097,410
"Ortiz, Carlos",0.016,175,-0.083,245,-0.021,150,0.004,172,-0.084,154,2.902,164,-0.020,242
"Dubuisson, Victor",-0.180,323,-0.240,370,-0.385,295,0.183,97,-0.622,250,2.736,165,0.025,112
"Hill, Calum",0.359,20,-0.115,269,-0.278,252,-0.287,277,-0.321,192,2.669,166,-0.022,252
"Lawrence, Thriston",0.070,142,-0.238,368,-0.234,234,0.091,133,-0.311,189,2.646,167,-0.029,279
"Veerman, Johannes",0.192,73,-0.200,345,-0.308,264,0.084,134,-0.233,171,2.636,168,-0.009,209
"Macintyre, Robert",0.034,164,0.086,103,-0.034,159,-0.110,214,-0.024,150,2.473,169,-0.019,239
"Lee, Kyounghoon",0.043,154,0.092,99,0.214,74,0.227,76,0.577,61,2.462,170,0.027,108
"Lagergren, Joakim",0.309,35,-0.299,401,-0.904,397,-0.138,227,-1.033,320,2.451,171,-0.079,390
"Howell III, Charles",-0.069,240,0.188,40,0.155,90,0.344,51,0.618,59,2.418,172,0.009,150
"Armitage, Marcus",-0.320,384,-0.047,206,0.197,76,0.048,150,-0.121,160,2.233,173,-0.030,285
"Conners, Corey",0.108,119,0.020,147,0.612,20,0.679,8,1.418,15,2.227,174,0.076,18
"Lee, Danny",-0.110,268,-0.169,317,0.143,96,0.222,78,0.086,128,2.157,175,-0.006,200
"O'Hair, Sean",-0.111,269,0.007,156,-0.388,297,-0.149,229,-0.642,256,2.106,176,0.016,137
"Samooja, Kalle",0.030,165,-0.132,285,-0.312,267,-0.095,208,-0.508,227,2.095,177,-0.025,257
"Hanna, Chase",0.112,116,-0.067,225,-0.649,365,-0.276,274,-0.881,296,2.059,178,-0.072,377
"Hadley, Chesson",0.139,105,-0.184,331,-0.457,318,-0.685,376,-1.188,343,2.043,179,-0.050,340
"Helligkilde, Marcus",-0.098,255,-0.006,177,-0.719,378,0.176,101,-0.647,257,1.989,180,-0.070,375
"Wiesberger, Bernd",-0.682,429,0.177,48,0.635,16,0.132,119,0.262,102,1.916,181,0.026,110
"Harrington, Padraig",-0.388,402,0.069,117,-0.155,200,-0.166,235,-0.640,255,1.767,182,0.001,179
"Wilson, Oliver",-0.182,327,0.164,54,-0.655,367,-0.246,265,-0.919,302,1.739,183,-0.080,393
"Rose, Justin",0.325,31,0.007,158,0.185,81,0.202,88,0.719,49,1.733,184,0.022,119
"Johnston, Andrew",-0.324,385,-0.090,253,-0.046,168,0.191,93,-0.269,179,1.688,185,0.016,136
"Broberg, Kristoffer",-0.518,420,-0.179,326,-0.040,163,0.108,128,-0.629,252,1.677,186,-0.016,231
"Tringale, Cameron",0.180,77,0.146,66,0.302,56,0.057,147,0.685,53,1.648,187,0.006,163
"Walters, Justin",-0.310,379,-0.285,394,0.026,130,0.181,98,-0.388,201,1.526,188,0.006,164
"Wu, Dylan",0.081,135,-0.069,229,-0.404,306,-0.275,273,-0.667,262,1.519,189,-0.024,255
"Watney, Nick",-0.162,313,-0.217,353,-0.188,214,-0.903,401,-1.469,368,1.488,190,-0.059,356
"Noren, Alex",0.377,14,0.168,50,0.121,102,0.053,148,0.719,48,1.096,191,0.011,147
"Higgs, Harry",0.165,89,0.055,125,-0.368,292,-0.439,325,-0.588,244,1.066,192,-0.054,351
"Noh, Seung-Yul",0.195,71,0.238,20,-0.243,241,-0.921,404,-0.731,277,1.035,193,-0.094,407
"Wallace, Matt",-0.096,252,0.032,139,0.034,128,-0.423,321,-0.452,208,1.012,194,-0.025,259
"Levy, Alexander",-0.126,281,-0.392,421,-0.587,353,0.015,163,-1.090,330,0.919,195,0.000,181
"English, Harris",0.354,21,0.234,23,-0.046,169,-0.481,340,0.062,131,0.728,196,0.001,180
"Burgoon, Bronson",-0.138,293,-0.091,254,-0.322,271,-0.478,339,-1.029,319,0.717,197,-0.044,321
"Willett, Danny",0.106,122,0.152,63,-0.146,197,-0.129,223,-0.017,149,0.678,198,-0.026,262
"Garcia Rodriguez, Sebastian",-0.006,198,-0.158,304,-0.906,399,-0.157,232,-1.228,348,0.594,199,-0.089,404
"Van Der Walt, Dawie",-0.198,334,-0.249,377,-0.337,279,-0.337,295,-1.121,333,0.586,200,-0.027,270
"Hansen, Joachim B",0.126,110,-0.190,336,-0.297,260,-0.290,278,-0.651,258,0.566,201,-0.043,317
"NeSmith, Matthew",-0.085,247,-0.028,190,0.391,38,0.252,70,0.530,68,0.560,202,0.046,58
"Berger, Daniel",0.115,115,0.153,62,0.615,19,0.264,65,1.147,28,0.532,203,0.060,37
"Soderberg, Sebastian",-0.138,291,-0.003,173,-0.261,247,-0.394,313,-0.796,282,0.480,204,-0.047,329
"Leon, Hugo",-0.344,391,0.042,133,-0.697,374,-0.207,246,-1.205,345,0.469,205,-0.064,364
"Evans, Ben",-0.467,414,-0.187,332,-1.621,429,-0.539,355,-2.814,425,0.429,206,-0.011,218
"Hahn, James",-0.161,312,0.010,155,-0.051,172,0.208,83,0.006,142,0.407,207,0.037,78
"Gallacher, Stephen",-0.240,355,-0.068,227,-0.774,386,-0.576,364,-1.658,383,0.403,208,-0.060,358
"Skinns, David",0.023,173,-0.000,168,-0.350,284,-0.645,374,-0.973,312,0.227,209,-0.095,408
"Lieser, Ondrej",-0.346,392,-0.148,299,-0.921,402,-0.243,264,-1.659,386,0.192,210,-0.050,337
"Siem, Marcel",-0.182,328,-0.315,406,-0.320,270,-0.218,250,-1.035,321,0.076,211,-0.014,227
"Senior, Jack",0.097,124,-0.262,384,-0.662,369,0.030,160,-0.796,283,-0.022,212,0.004,174
"Warren, Marc",-0.160,310,-0.326,410,-1.131,416,-0.825,397,-2.442,413,-0.031,213,-0.112,418
"Howie, Craig",-0.025,209,-0.165,311,-0.539,341,-0.075,199,-0.804,285,-0.073,214,-0.003,194
"Novak, Andrew",-0.137,290,0.091,100,0.019,132,-0.257,269,-0.285,180,-0.082,215,-0.052,346
"Buckley, Hayden",-0.298,373,-0.236,366,-0.190,215,0.340,53,-0.384,199,-0.150,216,0.048,53
"Hughes, Mackenzie",0.365,18,0.197,36,-0.022,151,-0.233,255,0.308,94,-0.182,217,-0.040,309
"Jamieson, Scott",0.340,24,-0.044,202,-0.529,340,-0.238,257,-0.472,214,-0.241,218,-0.035,296
"Kim, Si Woo",0.008,184,0.236,22,0.351,42,0.282,64,0.876,38,-0.302,219,0.052,50
"Campillo, Jorge",-0.000,191,-0.073,235,-0.332,275,-0.109,213,-0.514,229,-0.352,220,-0.003,191
"Gligic, Michael",-0.124,278,-0.098,257,-0.315,268,-0.086,206,-0.623,251,-0.423,221,-0.034,293
"Sordet, Clement",-0.061,233,-0.047,204,-0.421,309,-0.366,306,-0.895,299,-0.517,222,-0.042,315
"Hodges, Lee",-0.126,279,-0.059,220,0.118,104,-0.082,203,-0.150,165,-0.521,223,0.020,125
"Poston, J.T.",0.198,70,0.052,129,-0.156,201,0.113,127,0.207,110,-0.584,224,0.005,169
"Baldwin, Matthew",-0.434,409,-0.295,399,-0.489,326,-0.191,241,-1.410,363,-0.777,225,0.008,156
"Paul, Yannik",-0.237,352,-0.197,344,0.031,129,-0.050,190,-0.453,209,-0.780,226,-0.015,229
"Lahiri, Anirban",0.009,183,0.123,81,-0.021,149,0.362,45,0.473,74,-0.797,227,0.015,139
"Haas, Bill",0.157,96,0.184,42,-0.409,308,-0.354,302,-0.422,205,-1.021,228,-0.043,318
"Porteous, Haydn",-0.319,382,-0.033,193,-1.268,422,-1.411,425,-3.032,428,-1.057,229,-0.118,422
"Kirk, Chris",0.042,155,0.281,10,0.310,51,0.386,36,1.020,34,-1.075,230,0.049,52
"Simpson, Webb",0.111,117,0.209,32,0.292,58,0.080,139,0.691,51,-1.114,231,0.044,64
"Laird, Martin",-0.342,390,0.001,166,0.220,73,0.119,123,-0.002,145,-1.212,232,0.092,8
"Streb, Robert",0.018,174,-0.015,183,-0.173,203,-0.078,200,-0.248,175,-1.234,233,-0.017,235
"Grace, Branden",-0.066,237,0.128,75,0.144,95,0.184,96,0.390,89,-1.403,234,-0.019,238
"Southgate, Matthew",-0.225,345,-0.496,428,-0.332,276,-0.012,177,-1.065,327,-1.462,235,0.024,113
"Gouveia, Ricardo",0.082,133,-0.282,393,-0.286,256,-0.492,342,-0.978,313,-1.466,236,-0.027,272
"Norris, Shaun",0.490,6,-0.304,404,-0.245,242,-0.523,350,-0.581,241,-1.475,237,-0.037,301
"Suri, Julian",-0.057,229,0.216,28,-1.141,418,-0.533,353,-1.516,374,-1.504,238,-0.048,333
"Piercy, Scott",-0.110,266,0.062,122,-0.023,152,0.064,146,-0.007,146,-1.542,239,-0.007,204
"Garcia-Heredia, Alfredo",-0.315,381,-0.132,287,-0.241,239,-0.021,179,-0.708,272,-1.571,240,-0.022,251
"Oosthuizen, Louis",0.204,66,0.213,30,0.263,62,0.363,43,1.043,32,-1.591,241,0.044,62
"Nemecz, Lukas",-0.498,417,-0.054,215,-0.064,178,0.136,114,-0.481,221,-1.715,242,0.028,103
"Olesen, Thorbjorn",0.242,54,-0.071,232,-0.140,194,-0.510,344,-0.480,219,-1.865,243,-0.033,291
"Rai, Aaron",0.040,158,0.031,141,0.235,69,0.165,103,0.470,75,-1.942,244,0.073,23
"Hadwin, Adam",0.179,78,0.261,16,0.204,75,0.013,166,0.657,57,-1.965,245,0.046,59
"Sharvin, Cormac",-0.049,221,-0.235,365,-1.278,423,-1.375,423,-2.938,426,-2.004,246,-0.093,406
"Horschel, Billy",0.327,30,0.181,46,0.328,47,0.342,52,1.178,26,-2.032,247,0.070,28
"Lorenzo-Vera, Michael",0.028,168,-0.003,172,-0.454,315,-0.506,343,-0.935,305,-2.276,248,-0.043,316
"Hoge, Tom",0.042,156,0.081,109,0.415,34,0.082,137,0.619,58,-2.295,249,0.031,92
"Elvira Mijares, Ignacio",-0.204,335,-0.075,237,-0.237,237,-0.180,239,-0.696,267,-2.321,250,-0.001,185
"Walker, Jimmy",-0.131,287,0.073,114,-0.233,233,-0.526,351,-0.817,287,-2.367,251,-0.074,381
"Taylor, Nick",-0.004,196,0.014,149,0.173,85,-0.002,173,0.181,113,-2.369,252,0.007,162
"Redman, Doc",-0.024,208,-0.242,373,0.087,112,-0.124,221,-0.303,188,-2.372,253,0.021,123
"Ghim, Doug",-0.218,341,0.004,163,0.378,39,0.328,55,0.493,71,-2.440,254,0.074,19
"Pan, C.T.",0.010,182,0.097,94,0.326,48,-0.028,181,0.405,84,-2.441,255,0.035,83
"Van Tonder, Daniel",-0.113,271,0.124,79,-0.527,339,-0.012,178,-0.529,235,-2.446,256,-0.035,295
"Laporta, Francesco",-0.086,249,-0.125,277,-0.716,376,-0.030,182,-0.957,311,-2.451,257,0.014,142
"Sjoholm, Joel",-0.674,428,-0.127,278,-0.334,278,-0.318,289,-1.454,367,-2.502,258,-0.032,288
"Syme, Connor",-0.003,194,-0.250,380,-0.262,250,-0.117,218,-0.632,254,-2.533,259,0.009,152
"Sterne, Richard",-0.174,320,-0.147,298,-0.556,344,-0.251,268,-1.128,336,-2.534,260,0.016,135
"Henley, Russell",0.036,160,0.164,53,0.681,11,0.133,118,1.014,35,-2.599,261,0.062,36
"Glover, Lucas",-0.325,386,-0.052,210,0.324,49,0.322,58,0.269,100,-2.671,262,0.065,33
"Kim, Sihwan",0.185,75,0.095,96,-0.447,314,-0.778,389,-0.945,308,-2.776,263,-0.041,311
"Schwab, Matthias",0.059,149,0.189,39,0.004,139,-0.223,252,0.029,136,-2.804,264,-0.006,201
"Easton, Bryce",-0.062,234,-0.252,382,-0.641,363,-0.450,330,-1.405,362,-2.807,265,-0.002,188
"Karlberg, Rikard",-0.145,300,-0.105,263,-1.034,409,-0.934,406,-2.217,407,-2.884,266,-0.067,368
"Kofstad, Espen",-0.076,241,-0.222,359,-0.512,334,-0.058,194,-0.869,294,-2.889,267,0.023,117
"Ancer, Abraham",0.202,67,-0.171,318,0.242,66,0.512,23,0.785,43,-3.019,268,0.091,9
"Trahan, D.J.",-0.624,426,-0.175,321,-0.235,235,-0.330,293,-1.364,359,-3.023,269,-0.045,326
"Hickok, Kramer",-0.155,306,-0.071,231,0.006,137,0.126,122,-0.094,158,-3.182,270,0.055,45
"Wu, Brandon",-0.053,225,-0.174,320,-0.127,191,0.100,130,-0.254,177,-3.280,271,0.005,171
"Sloan, Roger",-0.102,261,0.028,143,-0.198,218,-0.228,253,-0.500,224,-3.304,272,-0.007,203
"Ferguson, Ewen",-0.298,372,-0.373,417,-0.180,210,0.157,106,-0.693,266,-3.340,273,0.014,144
"Catlin, John",-0.156,307,-0.094,255,-0.199,220,0.192,92,-0.257,178,-3.369,274,0.084,12
"Kaymer, Martin",-0.100,259,-0.150,300,0.152,92,-0.560,361,-0.657,260,-3.452,275,-0.026,264
"Werenski, Richy",0.126,109,-0.089,251,-0.576,347,-0.489,341,-1.027,318,-3.574,276,-0.022,254
"Law, David",-0.238,354,-0.175,322,-0.081,180,-0.103,211,-0.598,247,-3.582,277,-0.005,196
"Spaun, J.J.",-0.054,226,-0.041,201,0.230,71,0.203,85,0.338,92,-3.725,278,0.048,55
"Sullivan, Andy",-0.057,230,0.006,159,-0.520,335,-0.454,332,-1.025,317,-3.736,279,-0.021,244
"Janewattananond, Jazz",0.160,94,-0.061,221,-0.366,291,-0.319,290,-0.586,243,-3.757,280,-0.003,193
"Hoag, Bo",-0.229,348,-0.141,294,-0.387,296,-0.292,281,-1.050,325,-3.808,281,0.014,141
"Blixt, Jonas",0.013,180,-0.099,258,-0.906,398,-0.293,282,-1.285,353,-3.883,282,-0.001,183
"Schneider, Marcel",0.107,120,-0.107,264,-0.355,287,0.068,143,-0.287,182,-3.899,283,-0.011,220
"Streelman, Kevin",-0.103,262,-0.001,170,0.037,126,0.203,87,0.136,119,-4.022,284,0.084,13
"Ryder, Sam",0.038,159,-0.033,192,-0.005,144,-0.151,230,-0.152,166,-4.032,285,0.008,155
"Zhang, Xinjun",-0.265,364,-0.129,279,-0.497,329,-0.461,335,-1.352,358,-4.080,286,-0.010,213
"Malnati, Peter",0.163,92,0.125,78,-0.187,213,-0.306,286,-0.205,169,-4.130,287,-0.042,314
"Shelton, Robby",-0.099,258,0.106,89,-0.173,204,-0.338,296,-0.504,225,-4.153,288,-0.034,294
"Lipsky, David",0.045,153,0.029,142,0.235,68,-0.042,189,0.267,101,-4.167,289,0.048,54
"Kawamura, Masahiro",-0.145,298,0.095,97,-0.467,321,0.042,155,-0.476,217,-4.171,290,0.065,32
"McCarthy, Denny",0.584,2,0.269,13,-0.036,162,-0.263,270,0.555,63,-4.199,291,0.036,81
"Molinari, Francesco",-0.027,210,0.159,57,0.161,89,-0.136,226,0.157,116,-4.206,292,0.023,118
"Lebioda, Hank",0.181,76,0.063,121,-0.084,181,-0.366,305,-0.206,170,-4.327,293,0.007,161
"Lower, Justin",-0.031,215,-0.100,259,-0.020,147,-0.168,236,-0.319,191,-4.374,294,-0.011,219
"Stanley, Kyle",-0.636,427,-0.212,350,0.125,101,0.205,84,-0.518,230,-4.394,295,0.072,25
"Bryan, Wesley",0.098,123,0.122,82,-0.088,182,-0.962,408,-0.829,290,-4.411,296,-0.066,367
"Knox, Russell",-0.231,350,-0.039,199,0.303,54,0.196,91,0.229,105,-4.456,297,0.080,16
"Sigg, Greyson",-0.057,228,-0.052,214,-0.049,171,0.047,151,-0.111,159,-4.467,298,0.014,140
"Svensson, Adam",-0.137,289,-0.039,198,0.194,79,0.083,135,0.101,126,-4.510,299,0.042,67
"Reed, Patrick",0.362,19,0.269,14,0.019,131,-0.211,247,0.439,80,-4.624,300,0.002,176
"Kim, Michael",0.124,111,0.104,90,0.045,125,-1.091,416,-0.817,286,-4.868,301,-0.119,423
"Brown, Steven",0.088,129,-0.332,411,-0.704,375,-0.453,331,-1.401,361,-4.887,302,-0.005,198
"Westwood, Lee",-0.186,330,-0.120,272,-0.090,183,-0.059,195,-0.456,211,-4.917,303,0.009,151
"Kang, Sung",-0.030,212,-0.132,286,-0.540,342,-0.340,298,-1.043,322,-4.956,304,-0.008,208
"Slattery, Lee",-0.272,366,-0.245,374,-0.946,405,-0.731,379,-2.194,406,-5.063,305,-0.046,327
"Duncan, Tyler",-0.179,322,-0.085,247,0.125,100,0.127,121,-0.013,148,-5.070,306,0.072,24
"Baker, Chris",-0.337,388,-0.165,312,-0.403,304,-0.116,217,-1.022,316,-5.071,307,0.038,76
"Molinari, Edoardo",-0.519,421,-0.026,189,0.308,52,0.116,125,-0.122,161,-5.090,308,0.039,74
"Luiten, Joost",0.068,143,-0.414,424,-0.360,288,-0.071,197,-0.776,281,-5.105,309,0.031,93
"Dahmen, Joel",-0.064,236,-0.090,252,0.259,63,0.230,75,0.336,93,-5.243,310,0.073,22
"Lashley, Nate",0.015,176,0.036,137,-0.003,143,0.023,162,0.071,130,-5.388,311,0.029,98
"Martin, Ben",-0.136,288,-0.112,267,-0.262,249,0.006,171,-0.504,226,-5.614,312,0.021,120
"Norlander, Henrik",-0.312,380,-0.067,226,0.015,133,-0.112,216,-0.476,218,-5.623,313,0.034,87
"Jaeger, Stephan",0.087,132,0.249,18,-0.024,153,-0.405,317,-0.092,157,-5.676,314,-0.027,268
"Brown, Scott",0.035,161,-0.193,339,-0.401,302,-0.398,315,-0.957,310,-5.681,315,0.008,157
"Kearney, Niall",-0.051,222,-0.081,243,-0.344,281,-0.251,267,-0.728,276,-5.711,316,0.026,111
"Brun, Julien",0.258,49,0.070,116,-0.145,196,-0.589,367,-0.406,204,-5.737,317,-0.031,287
"Van Pelt, Bo",-0.261,362,-0.152,301,-0.717,377,-0.562,362,-1.692,389,-5.781,318,-0.019,241
"Larrazabal, Pablo",0.284,42,0.155,60,-0.200,221,-0.241,262,-0.002,144,-5.841,319,-0.047,328
"Pigem, Carlos",-0.365,399,-0.220,356,-1.131,417,-0.997,412,-2.713,421,-5.843,320,-0.079,389
"Seiffert, Chase",-0.160,309,-0.019,185,0.092,110,-0.039,188,-0.127,162,-5.913,321,0.038,77
"Garnett, Brice",0.055,152,0.044,132,-0.256,245,-0.085,205,-0.243,174,-5.938,322,0.057,40
"Rock, Robert",-0.348,393,-0.140,292,-0.309,265,-0.358,304,-1.155,340,-5.942,323,-0.026,263
"Herman, Jim",-0.298,374,-0.240,371,-0.311,266,0.015,164,-0.835,292,-5.949,324,0.083,14
"Aphibarnrat, Kiradech",-0.031,213,-0.118,271,-0.305,261,-0.285,276,-0.739,279,-6.065,325,0.004,173
"Villegas, Camilo",-0.293,371,0.107,88,-0.210,222,-0.309,287,-0.705,271,-6.094,326,-0.048,330
"Hebert, Benjamin",-0.349,394,-0.235,364,-0.424,310,-0.545,359,-1.553,377,-6.195,327,0.006,166
"Zanotti, Fabrizio",-0.302,375,-0.063,222,-0.041,165,0.115,126,-0.290,185,-6.216,328,0.087,11
"McGreevy, Max",0.057,150,-0.047,205,-0.459,320,-0.473,337,-0.921,303,-6.429,329,0.008,158
"Byrd, Jonathan",0.066,145,0.201,34,-0.308,263,-0.446,327,-0.487,222,-6.480,330,-0.016,232
"Winther, Jeff",0.074,140,-0.008,181,-0.475,324,-0.590,368,-0.999,314,-6.494,331,-0.014,226
"Merritt, Troy",0.393,11,0.109,86,-0.132,192,0.029,161,0.400,85,-6.732,332,0.029,99
"Scrivener, Jason",-0.145,299,-0.068,228,0.000,140,-0.082,204,-0.295,186,-6.800,333,0.018,131
"Singh Brar, Jack",0.328,29,-0.501,429,-0.985,408,-0.790,391,-1.948,399,-6.809,334,-0.012,224
"Kinhult, Marcus",-0.023,207,0.004,162,-0.638,361,-0.283,275,-0.940,306,-7.228,335,-0.011,217
"Sharma, Shubhankar",0.106,121,-0.444,426,-0.211,223,-0.647,375,-1.196,344,-7.268,336,0.017,134
"Sciot-Siegrist, Robin",-0.226,347,-0.228,361,-0.657,368,-0.597,370,-1.707,390,-7.343,337,0.021,121
"Harding, Justin",0.088,130,0.110,85,0.007,136,-0.129,224,0.076,129,-7.347,338,0.039,73
"Dufner, Jason",-0.474,415,-0.063,223,-0.349,283,-0.324,292,-1.209,347,-7.370,339,0.021,124
"Long, Adam",0.185,74,0.026,144,0.074,117,0.179,100,0.464,76,-7.446,340,0.068,30
"Harman, Brian",0.232,59,0.224,26,0.100,108,0.189,94,0.745,46,-7.480,341,0.069,29
"Poulter, Ian",0.407,10,0.170,49,-0.175,206,-0.240,260,0.162,115,-7.532,342,0.034,84
"Percy, Cameron",-0.354,395,-0.135,289,0.009,135,-0.192,242,-0.671,263,-7.605,343,0.005,167
"Baddeley, Aaron",0.179,80,0.237,21,-0.613,357,-1.046,413,-1.244,351,-7.768,344,-0.075,384
"Cockerill, Aaron",0.334,28,-0.195,342,-0.680,371,-0.641,373,-1.182,342,-7.804,345,-0.017,234
"Ramsay, Richie",0.173,82,-0.215,351,-0.409,307,0.080,138,-0.371,198,-7.841,346,0.062,34
