datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Dahmen, Joel","Joel Dahmen",150,22992005,6600,22.630,8:35 am,1,35.1,1.6,0,36.7,0.24,100,1.93607091342179,
"Kodaira, Satoshi","Satoshi Kodaira",150,22992007,6600,17.943,8:35 am,1,25.9,0.5,0,26.5,-0.32,100,0.0380124100070528,
"Stuard, Brian","Brian Stuard",150,22992001,6600,18.219,12:41 pm,0,26.9,0.6,0,27.5,-0.27,100,0.159819511373668,
"Besseling, Wil","Wil Besseling",150,22992014,6500,20.690,7:07 am,1,31.3,1.1,0,32.4,-0.01,100,0.48820247290684,
"Hoshino, Rikuya","Rikuya Hoshino",150,22992011,6500,21.594,2:20 pm,0,32.9,1.2,0,34.1,0.11,100,0.995035902647772,
"Piot, James","James Piot",150,22992013,6500,12.443,7:18 am,1,18.3,0.1,0,18.4,-0.69,100,0.0380124100070528,
"Bland, Richard","Richard Bland",150,22992015,6500,19.857,2:20 pm,0,29.3,0.8,0,30.1,-0.12,100,0.12799141490591,
"Samooja, Kalle","Kalle Samooja",150,22992010,6500,19.430,8:35 am,1,28.7,0.8,0,29.5,-0.15,100,0.0805024956537353,
"Morgan, Jediah","Jediah Morgan",150,22992012,6500,10.664,12:30 pm,0,15.8,0.1,0,15.8,-0.82,100,0.0380124100070528,
"Olesen, Thorbjorn","Thorbjorn Olesen",150,22992009,6500,20.037,12:41 pm,0,29.5,0.9,0,30.4,-0.1,100,0.555368129128451,
"Bramlett, Joseph","Joseph Bramlett",150,23043247,6500,21.621,8:24 am,1,32.8,1.2,0,34,0.1,100,0.63728979258676,
"Paul, Yannik","Yannik Paul",150,22992008,6500,19.571,12:41 pm,0,28.9,0.8,0,29.6,-0.14,100,0.0455106604152909,
"Hossler, Beau","Beau Hossler",150,22992023,6400,23.277,8:35 am,1,35.1,1.5,0,36.7,0.31,100,2.116269537245,
"Sugiyama, Tomoyasu","Tomoyasu Sugiyama",150,22992016,6400,12.739,8:46 am,1,18.6,0.1,0,18.7,-0.65,100,0.0380124100070528,
"Kim, Joohyung","Joohyung Kim",150,22992018,6400,20.414,1:25 pm,0,30.8,0.9,0,31.7,-0.01,100,0.78470106958738,
"Sloan, Roger","Roger Sloan",150,22992020,6400,19.186,8:46 am,1,28.3,0.7,0,29,-0.14,100,0.105496663681196,
"Hall, Harry","Harry Hall",150,22992021,6400,20.229,8:46 am,1,30.1,0.9,0,31,-0.05,100,0.558642031908218,
"McCarty, Matt","Matthew McCarty",150,22992022,6400,16.648,6:45 am,1,24.4,0.4,0,24.8,-0.35,100,0.0380124100070528,
"Montgomery, Taylor","Taylor Montgomery",150,23043256,6400,22.876,12:30 pm,0,35.9,1.6,0,37.5,0.37,100,2.07716359314094,
"Lee, Min Woo","Min Woo Lee",150,22992019,6400,23.059,1:25 pm,0,35.3,1.6,0,37,0.33,100,1.40266060625165,
"Hoag, Bo","Bo Hoag",150,22992017,6400,16.213,2:31 pm,0,23.6,0.3,0,23.9,-0.4,100,0.0380124100070528,
"Barnes, Erik","Erik Barnes",150,23043245,6300,21.266,6:45 am,1,31.8,1.2,0,32.9,0.1,100,0.974489988370166,
"Quinn, Fran","Fran Quinn",150,22992029,6300,9.076,6:45 am,1,13.3,0,0,13.3,-0.89,100,0.0380124100070528,
"Silverman, Ben","Ben Silverman",150,22992024,6300,13.583,8:57 am,1,19.7,0.1,0,19.8,-0.57,100,0.0380124100070528,
"Schneider, Marcel","Marcel Schneider",150,22992030,6300,20.584,8:24 am,1,30.4,0.9,0,31.4,0,100,0.852104665593291,
"Furyk, Jim","Jim Furyk",150,22992026,6300,11.659,2:09 pm,0,17.1,0.1,0,17.2,-0.7,100,0.277010216228829,
"Gannon, Luke","Luke Gannon",133,22992031,6300,7.986,8:57 am,1,11.1,0,0,11.1,-1,100,0.0380124100070528,
"Naegel, Chris","Chris Naegel",150,22992028,6300,15.830,8:57 am,1,22.5,0.3,0,22.8,-0.42,100,0.0380124100070528,
"Mueller, Jesse","Jesse Mueller",14,22992027,6300,13.894,2:42 pm,0,19.5,0.2,0,19.7,-0.58,100,0.0380124100070528,
"Shepherd, Laird","Laird Shepherd",150,22992025,6300,8.079,8:13 am,1,11.4,0,0,11.4,-0.99,100,0.0380124100070528,
"Blixt, Jonas","Jonas Blixt",150,22992040,6200,16.413,2:31 pm,0,23.4,0.3,0,23.8,-0.35,100,0.0380124100070528,
"Crocker, Sean","Sean Crocker",150,22992036,6200,19.076,12:30 pm,0,27.9,0.7,0,28.6,-0.11,100,0.125491998103164,
"Shore, Davis","Davis Shore",150,22992035,6200,11.751,2:20 pm,0,17.1,0.1,0,17.2,-0.68,100,0.0380124100070528,
"Sinnott, Todd","Todd Sinnott",150,22992033,6200,13.902,2:31 pm,0,20.2,0.2,0,20.4,-0.52,100,0.0380124100070528,
"Bennett, Sam","Sam Bennett",150,22992039,6200,18.481,6:56 am,1,26.9,0.6,0,27.5,-0.17,100,0.0655059948372591,
"Thorbjornsen, Michael","Michael Thorbjornsen",150,22992034,6200,16.589,6:45 am,1,23.9,0.4,0,24.3,-0.33,100,0.0380124100070528,
"Izumida, Daijiro","Daijiro Izumida",150,22992037,6200,14.657,2:31 pm,0,21.3,0.2,0,21.5,-0.46,100,0.0380124100070528,
"Hardy, Nick","Nick Hardy",150,23043251,6200,22.633,12:41 pm,0,34.7,1.5,0,36.2,0.35,100,1.30565839452278,
"Jacklin, Sean","Sean Jacklin",107,22992038,6200,10.857,2:42 pm,0,15.5,0.1,0,15.5,-0.76,100,0.0380124100070528,
"Stevens, Samuel","Sam Stevens",150,22992032,6200,19.912,2:20 pm,0,28.8,0.8,0,29.6,-0.07,100,0.107996080483942,
"Salinda, Isaiah","Isaiah Salinda",150,22992044,6100,15.158,2:42 pm,0,21.7,0.2,0,21.9,-0.42,100,0.0380124100070528,
"Kozuma, Jinichiro","Jinichiro Kozuma",150,22992041,6100,17.559,8:35 am,1,25.5,0.5,0,26,-0.21,100,0.108943849645482,
"Matthews, Brandon","Brandon Matthews",150,22992046,6100,17.841,7:07 am,1,25.9,0.5,0,26.5,-0.19,100,0.610167331050566,
"Greaser, Austin","Austin Greaser",150,22992043,6100,15.907,1:36 pm,0,22.9,0.3,0,23.2,-0.35,100,0.0380124100070528,
"Mansell, Richard","Richard Mansell",150,22992048,6100,22.482,8:46 am,1,34.6,1.5,0,36.1,0.37,100,2.00940027375952,
"Mouw, William","William Mouw",150,22992042,6100,16.569,7:07 am,1,23.7,0.4,0,24,-0.31,100,0.0380124100070528,
"Greene, Keith","Keith Greene",96,22992047,6100,7.953,8:57 am,1,11.2,0,0,11.2,-0.95,100,0.0380124100070528,
"Daffue, MJ","MJ Daffue",150,22992049,6100,21.757,12:41 pm,0,32.8,1.3,0,34.1,0.24,100,0.97316701388272,
"Calkins, Brady","Brady Calkins",0,22992045,6100,9.207,2:42 pm,0,12.6,0,0,12.6,-0.88,100,0.0380124100070528,
"Reiter, Charles","Charles Reiter",150,22992053,6000,10.232,2:42 pm,0,15.1,0,0,15.1,-0.73,100,0.0380124100070528,
"Kim, Chan","Chan Kim",150,23043252,6000,18.529,8:24 am,1,27.1,0.6,0,27.7,-0.11,100,0.434285693037568,
"Seiffert, Chase","Chase Seiffert",150,23043257,6000,21.287,12:30 pm,0,31.6,1.1,0,32.7,0.19,100,0.860655580666285,
"Nakajima, Keita","Keita Nakajima",150,22992050,6000,18.616,1:58 pm,0,26.8,0.6,0,27.5,-0.12,100,0.545925338056643,
"Chassart, Adrien Dumont de","Adrien Dumont De Chassart",150,22992058,6000,16.986,2:31 pm,0,24.7,0.4,0,25.1,-0.23,100,0.0430112436125448,
"Hagestad, Stewart","Stewart Hagestad",150,22992051,6000,16.556,8:13 am,1,23.6,0.4,0,23.9,-0.29,100,0.0505094940207829,
"Lorenz, Ben","Ben Lorenz",77,22992054,6000,10.568,2:20 pm,0,15.3,0,0,15.4,-0.71,100,0.0380124100070528,
"Moldovan, Maxwell","Maxwell Moldovan",150,22992052,6000,16.351,12:41 pm,0,23.6,0.4,0,24,-0.29,100,0.0380124100070528,
"Beckler, Andrew","Andrew Beckler",60,23043246,6000,10.311,8:57 am,1,15.1,0,0,15.2,-0.72,100,0.0380124100070528,
"Gerard, Ryan","Ryan Gerard",150,22992057,6000,15.831,2:42 pm,0,22.6,0.3,0,22.9,-0.34,100,0.0380124100070528,
"Vick, Travis","Travis Vick",150,22992055,6000,18.389,6:56 am,1,26.9,0.6,0,27.5,-0.11,100,0.0954989964702115,
"Manuel, Caleb","Caleb Manuel",76,23043254,6000,8.970,8:57 am,1,13,0,0,13.1,-0.83,100,0.0380124100070528,
"Biondi, Fred","Fred Biondi",150,22992056,6000,16.120,8:46 am,1,23.4,0.3,0,23.7,-0.3,100,0.0380124100070528,
"Buckley, Hayden","Hayden Buckley",150,23043248,6000,19.723,6:45 am,1,29.3,0.8,0,30.1,0.02,100,0.553762012651215,
"Dunlap, Nick","Nick Dunlap",104,22992059,6000,12.067,2:09 pm,0,17.6,0.1,0,17.7,-0.6,100,0.0380124100070528,
