#,Name,ID,Salary,AvgPointsPerGame,odds_open,odds_close,odds_rank,odds_delta,odds_delta_per,fpts,proj_own,ceil,floor,odds_per_dollar,one,residuals,own_change,adj_own,X.Drafted,FPTS
38,Rickie Fowler,22420107,7400,52.42,0.0075,0.0082,46,0.0007,0.0933,46.51,1.5,71.5,23,1.11,1,-0.28,11.28,15,0,48.92
39,Brendan Steele,22420108,7300,54.04,0.0083,0.0088,42,5.00E-04,0.0602,50.04,3.9,74,23.5,1.21,1,-0.04,11.01,15,0,50.70
40,Dylan Frittelli,22420109,7300,53.71,0.0064,0.0058,59,-0.0006,-0.0938,44.23,0.92,70,22.5,0.79,1,-0.46,8.54,10,0,58.48
41,Alex Smalley,22420110,7300,59.28,0.0083,0.0098,38,0.0015,0.1807,51.96,8.4,75.5,24,1.34,1,0.09,13.39,20,0,50.70
42,Russell Knox,22420111,7300,59.53,0.0104,0.0128,30,0.0024,0.2308,51.96,6.5,75.5,23.93,1.75,1,0.5,15.71,20,0,53.55
43,Denny McCarthy,22420112,7300,66.47,0.0114,0.0103,34,-0.0011,-0.0965,47.63,4.6,72.5,23,1.41,1,0.16,8.01,15,0,50.70
44,Matthias Schwab,22420113,7200,59.64,0.0073,0.0066,52,-7.00E-04,-0.0959,54.48,2.9,77.5,24.5,0.92,1,-0.19,8.55,10,0,53.40
45,Cameron Davis,22420114,7200,58.18,0.0079,0.0099,37,0.002,0.2532,52.06,8.3,76.5,24,1.38,1,0.27,14.84,25,0,50.70
46,Lucas Glover,22420115,7200,65.5,0.0083,0.0088,42,5.00E-04,0.0602,51.74,5.3,75,24,1.22,1,0.11,11.12,15,0,50.70
47,Kurt Kitayama,22420116,7200,53,0.0042,0.0041,74,-1.00E-04,-0.0238,48.25,4.2,73,23,0.57,1,-0.54,9.4,15,0,54.97
48,Stewart Cink,22420117,7200,52.88,0.0032,0.0036,78,4.00E-04,0.125,43.19,1.1,69,22,0.5,1,-0.61,10.5,10,0,46.07
49,Luke List,22420118,7100,58.47,0.0091,0.0092,41,1.00E-04,0.011,56.01,7.6,79.5,25,1.3,1,0.31,10.43,20,0,50.70
50,Beau Hossler,22420119,7100,53.79,0.0046,0.0049,68,3.00E-04,0.0652,42.49,2.4,68.5,21.5,0.69,1,-0.3,10.42,15,0,61.86
51,Mark Hubbard,22420120,7100,72.57,0.0113,0.0103,34,-0.001,-0.0885,48.44,3.8,73,23,1.45,1,0.46,8.42,10,0,53.55
52,Taylor Moore,22420121,7100,50.5,0.006,0.0059,58,-1.00E-04,-0.0167,46.18,0.71,70.5,23,0.83,1,-0.16,9.68,10,0,58.48
53,Martin Laird,22420122,7100,57.27,0.0104,0.0094,40,-0.001,-0.0962,49.26,8.8,73.5,23,1.32,1,0.33,8.34,15,0,50.70
54,J.T. Poston,22420123,7100,45.56,0.0057,0.0066,52,9.00E-04,0.1579,44.5,2,70,22,0.93,1,-0.06,12,15,0,55.77
55,Nate Lashley,22420124,7000,59.65,0.007,0.0063,54,-7.00E-04,-0.1,43.16,2.7,68.5,21.5,0.9,1,0.02,8.71,10,0,47.79
56,Doc Redman,22420126,7000,53.29,0.0043,0.005,66,7.00E-04,0.1628,42.95,0.75,68.5,21.5,0.71,1,-0.17,11.54,10,0,50.50
57,Branden Grace,22420127,7000,47.08,0.0068,0.0075,49,7.00E-04,0.1029,44.91,1.5,70.5,22,1.07,1,0.19,11.65,15,0,47.79
58,Greyson Sigg,22420128,7000,62,0.0073,0.0072,50,-1.00E-04,-0.0137,46.96,2.1,72,22.5,1.03,1,0.15,9.91,10,0,47.79
59,Mackenzie Hughes,22420129,7000,59,0.0062,0.0056,61,-6.00E-04,-0.0968,43.04,0.94,67.5,22,0.8,1,-0.08,8.83,10,0,47.79
60,Adam Svensson,22420130,6900,53.33,0.005,0.0045,70,-5.00E-04,-0.1,48.01,3.3,73,23,0.65,1,-0.14,8.99,10,0,51.17
61,Tyler Duncan,22420131,6900,56,0.0063,0.0077,48,0.0014,0.2222,42.89,1.9,68.5,21.5,1.12,1,0.33,13.54,15,0,47.79
62,Stephan Jaeger,22420132,6900,45.78,0.0061,0.006,57,-1.00E-04,-0.0164,34.82,0.38,61,19.5,0.87,1,0.08,9.86,10,0,51.41
63,Sung Kang,22420133,6900,51.32,0.0066,0.0065,53,-1.00E-04,-0.0152,34.33,1.7,60,19,0.94,1,0.15,9.91,10,0,47.79
64,Scott Piercy,22420134,6900,50.56,0.0031,0.003,90,-1.00E-04,-0.0323,41.65,0.9,67.5,21.5,0.43,1,-0.36,9.54,10,0,46.02
65,Brian Stuard,22420135,6900,51.05,0.006,0.0062,56,2.00E-04,0.0333,43.52,1.4,68.5,21.5,0.9,1,0.11,10.49,10,0,47.79
66,Chad Ramey,22420137,6800,58.25,0.0037,0.0049,68,0.0012,0.3243,39.1,0.89,65,21,0.72,1,0.01,13.46,15,0,51.17
67,Ryan Armour,22420139,6800,47.8,0.0097,0.0087,44,-0.001,-0.1031,52.49,6.7,75.5,24,1.28,1,0.57,8.53,15,0,50.65
68,Zach Johnson,22420140,6800,41.63,0.0041,0.004,76,-1.00E-04,-0.0244,43.13,0.29,68.5,22,0.59,1,-0.12,9.72,10,0,42.20
69,Sam Ryder,22420141,6800,55.33,0.0041,0.0041,74,0,0,43.26,0.41,68.5,22.5,0.6,1,-0.11,9.92,10,0,54.79
70,Austin Smotherman,22420142,6800,54,0.0037,0.0036,78,-1.00E-04,-0.027,42.91,2.3,68.5,22,0.53,1,-0.18,9.67,10,0,41.28
71,Lee Hodges,22420143,6800,53.94,0.0032,0.0033,84,1.00E-04,0.0312,45.64,0.45,71,22,0.49,1,-0.22,10.04,10,0,41.71
72,Andrew Putnam,22420144,6700,54.56,0.0056,0.0055,63,-1.00E-04,-0.0179,41.67,0.5,67.5,21.5,0.82,1,0.19,9.95,10,0,51.41
73,Chez Reavie,22420145,6700,49.24,0.0035,0.0041,74,6.00E-04,0.1714,43.54,0.89,69,21.93,0.61,1,-0.02,11.48,10,0,50.68
74,Kiradech Aphibarnrat,22420146,6700,51.25,0.0023,0.0022,104,-1.00E-04,-0.0435,35.54,0.19,61.5,19,0.33,1,-0.3,9.59,10,0,49.64
75,Kramer Hickok,22420147,6700,49.11,0.005,0.0062,56,0.0012,0.24,47.22,0.31,72,23,0.93,1,0.3,13.2,15,0,51.41
76,Danny Lee,22420148,6700,49.96,0.0027,0.0027,94,0,0,41.27,0.36,67.58,21.5,0.4,1,-0.23,9.83,10,0,49.64
77,Rory Sabbatini,22420149,6700,57.09,0.0037,0.0033,84,-4.00E-04,-0.1081,46.74,0.4,71.58,23,0.49,1,-0.14,9.21,10,0,42.20
78,Joseph Bramlett,22420150,6700,50.36,0.0033,0.0034,80,1.00E-04,0.0303,46.54,0.66,71.5,23,0.51,1,-0.12,10.12,10,0,38.09
79,Kevin Chappell,22420151,6700,54.18,0.0024,0.0023,100,-1.00E-04,-0.0417,42.25,0.37,67.58,21.93,0.34,1,-0.29,9.6,10,0,49.64
80,Hank Lebioda,22420152,6600,44.42,0.0032,0.0031,88,-1.00E-04,-0.0313,44.6,0.74,69.5,22.5,0.47,1,-0.09,9.74,10,0,46.02
81,Charl Schwartzel,22420153,6600,43.23,0.0027,0.0027,94,0,0,38.39,0.62,64,20.5,0.41,1,-0.15,9.89,10,0,46.02
82,Nick Taylor,22420154,6600,54.79,0.0062,0.0056,61,-6.00E-04,-0.0968,48.21,1.2,72.5,23.43,0.85,1,0.29,9.11,10,0,47.79
83,Harry Higgs,22420155,6600,49.29,0.0038,0.0043,71,5.00E-04,0.1316,41.2,0.64,67,21,0.65,1,0.09,11.24,10,0,51.17
84,Peter Malnati,22420156,6600,57.55,0.0037,0.0033,84,-4.00E-04,-0.1081,39.48,1.7,66,21,0.5,1,-0.06,9.27,10,0,38.58
85,Adam Schenk,22420157,6600,44.42,0.0023,0.0023,100,0,0,40.03,0.46,66.08,20.5,0.35,1,-0.21,9.84,10,0,49.64
86,Michael Thompson,22420159,6600,56.28,0.0045,0.0054,64,0.0009,0.2,45.22,0.7,70,22,0.82,1,0.26,12.4,15,0,47.79
87,Andrew Novak,22420160,6500,52.87,0.0034,0.0033,84,-1.00E-04,-0.0294,43.63,0.85,69.08,22,0.51,1,0.01,9.82,10,0,38.09
88,Peter Uihlein,22420161,6500,58.21,0.0025,0.0024,98,-1.00E-04,-0.04,41.03,0.5,67.5,21,0.37,1,-0.13,9.72,10,0,49.64
89,Brice Garnett,22420162,6500,48.39,0.0038,0.0039,77,1.00E-04,0.0263,45.46,0.46,70,22.5,0.6,1,0.1,10.28,10,0,49.08
90,Chase Seiffert,22420163,6500,57.44,0.006,0.0054,64,-6.00E-04,-0.1,47.12,0.77,72,22.5,0.83,1,0.33,9.15,10,0,47.79
91,John Huh,22420164,6500,57.85,0.0041,0.0046,69,5.00E-04,0.122,45.35,0.82,70,22.5,0.71,1,0.21,11.31,10,0,51.17
92,Hayden Buckley,22420165,6500,54.5,0.0029,0.0041,74,0.0012,0.4138,44.27,1.5,70,22.5,0.63,1,0.13,14.21,15,0,50.68
93,Trey Mullinax,22420166,6500,50.03,0.0031,0.003,90,-1.00E-04,-0.0323,45.6,0.42,70.5,22.43,0.46,1,-0.04,9.78,10,0,49.64
94,Dylan Wu,22420167,6500,50.36,0.0032,0.0031,88,-1.00E-04,-0.0313,40.73,0.52,66.5,21,0.48,1,-0.02,9.79,10,0,49.64
95,Bill Haas,22420168,6500,53.34,0.0022,0.0022,104,0,0,38.67,0.16,64,20.5,0.34,1,-0.16,9.88,10,0,49.64
96,James Hahn,22420169,6400,39.61,0.0033,0.0034,80,1.00E-04,0.0303,43.71,0.25,68.5,22,0.53,1,0.09,10.28,10,0,41.71
97,Charley Hoffman,22420170,6400,49.15,0.0028,0.0027,94,-1.00E-04,-0.0357,48.57,0.85,73.5,23,0.42,1,-0.02,9.8,10,0,46.02
98,Satoshi Kodaira,22420172,6400,57.44,0.0028,0.0027,94,-1.00E-04,-0.0357,43.77,1,69,22,0.42,1,-0.02,9.8,10,0,46.02
99,Wesley Bryan,22420174,6400,51.89,0.0021,0.0021,106,0,0,39.02,0.32,65,21,0.33,1,-0.11,9.92,10,0,49.64
100,Ben Kohles,22420175,6400,56.46,0.0028,0.0027,94,-1.00E-04,-0.0357,38.09,0.24,64.5,20.5,0.42,1,-0.02,9.8,10,0,49.64
101,Callum Tarren,22420176,6400,51.37,0.002,0.0019,108,-1.00E-04,-0.05,40.1,0.41,66.08,21,0.3,1,-0.14,9.72,10,0,49.64
102,Cameron Percy,22420178,6300,57.64,0.0028,0.0027,94,-1.00E-04,-0.0357,43.19,0.84,69,22,0.43,1,0.04,9.84,10,0,46.02
103,Ben Martin,22420179,6300,50.28,0.0023,0.0023,100,0,0,41.86,0.57,67.5,21.5,0.37,1,-0.02,9.98,10,0,49.64
104,Roger Sloan,22420181,6300,44.61,0.0026,0.0026,97,0,0,44.28,0.31,70,22,0.41,1,0.02,10.02,10,0,49.64
105,Bo Hoag,22420183,6300,50.18,0.0018,0.0017,110,-1.00E-04,-0.0556,43.73,0.25,69,21.5,0.27,1,-0.12,9.74,10,0,49.64
106,Henrik Norlander,22420184,6300,49.06,0.0024,0.0023,100,-1.00E-04,-0.0417,41.82,0.5,67,21,0.37,1,-0.02,9.8,10,0,49.64
107,Vaughn Taylor,22420186,6300,51.1,0.0029,0.0033,84,4.00E-04,0.1379,42.21,0.64,68,21.5,0.52,1,0.13,11.09,10,0,38.09
108,Jim Herman,22420192,6200,46.58,0.0022,0.0022,104,0,0,38.52,0.23,64.5,20.5,0.35,1,0,10,10,0,40.15
109,Ryan Blaum,22420198,6100,64.33,0.0019,0.0018,109,-1.00E-04,-0.0526,45.07,0.3,71,22,0.3,1,-0.02,9.81,10,0,30.11
110,Scott Gutschewski,22420199,6100,49.67,0.0019,0.002,107,1.00E-04,0.0526,47.41,0.35,72,23,0.33,1,0.01,10.24,10,0,34.63
