#,Name,ID,Salary,AvgPointsPerGame,odds_open,odds_close,odds_rank,odds_delta,odds_delta_per,fpts,proj_own,ceil,floor,odds_per_dollar,one,residuals,own_change,adj_own,X.Drafted,FPTS
1,Rory McIlroy,22420069,11500,88.55,0.1031,0.0821,1,-0.021,-0.2037,79.97,20.3,103,61.43,7.14,1,0.84,-30.96,0,0,76.89
2,Tony Finau,22420070,10600,66.31,0.0418,0.0378,4,-0.004,-0.0957,66.29,12.6,86.5,27.5,3.57,1,-1.19,1.2,15,0,62.05
3,Abraham Ancer,22420071,10400,67.36,0.0311,0.0346,5,0.0035,0.1125,56.62,9.9,79.5,25,3.33,1,-1.16,16.26,25,0,80.71
4,Corey Conners,22420072,10100,72.46,0.0494,0.0533,2,0.0039,0.0789,72.69,30.1,91.5,34.35,5.28,1,1.16,18.73,50,0,90.33
5,Tyrrell Hatton,22420074,9900,78.41,0.0295,0.0272,7,-0.0023,-0.078,62.87,10.8,84.5,26.5,2.75,1,-1.14,4.61,15,0,67.49
6,Marc Leishman,22420075,9700,77.92,0.0293,0.0266,8,-0.0027,-0.0922,58.94,8.9,80.5,25.5,2.74,1,-0.95,3.97,15,0,71.81
7,Keegan Bradley,22420076,9600,69.12,0.0422,0.031,6,-0.0112,-0.2654,64.22,14.6,84,27.5,3.23,1,-0.36,-11.97,5,0,86.97
8,Russell Henley,22420077,9300,81.81,0.0388,0.038,3,-0.0008,-0.0206,64.91,27.4,85.5,27.5,4.09,1,0.78,8.99,35,0,90.33
9,Gary Woodland,22420078,9100,59.89,0.0229,0.0265,9,0.0036,0.1572,58.95,19.3,81.5,25,2.91,1,-0.23,17.27,35,0,70.24
10,Patrick Reed,22420079,9000,65.16,0.0143,0.0149,27,6.00E-04,0.042,48.71,4.5,72.58,23.5,1.66,1,-1.39,10.18,15,0,62.78
11,Paul Casey,22420080,8800,66.75,0.0282,0.0251,11,-0.0031,-0.1099,66.51,8.2,87,28.5,2.85,1,-0.04,3.89,10,0,69.10
12,Sergio Garcia,22420081,8700,71,0.0249,0.0238,13,-0.0011,-0.0442,64.09,15.1,86,26.5,2.74,1,-0.07,7.77,25,0,67.54
13,Max Homa,22420082,8600,73,0.0219,0.0231,14,0.0012,0.0548,59.37,17.9,81.5,25.5,2.69,1,-0.04,12.4,30,0,72.34
14,Si Woo Kim,22420083,8400,70.44,0.0179,0.0224,15,0.0045,0.2514,56.65,12.6,79.5,25,2.67,1,0.1,19.71,30,0,53.32
15,Seamus Power,22420084,8300,72.73,0.029,0.0259,10,-0.0031,-0.1069,62.22,14.5,83.5,27,3.12,1,0.63,4.39,20,0,70.39
16,Jason Day,22420085,8200,59.11,0.0118,0.0151,26,0.0033,0.2797,52.18,3.4,76,24,1.84,1,-0.56,16.96,20,0,54.42
17,Webb Simpson,22420086,8100,71.05,0.0178,0.0189,18,0.0011,0.0618,60.06,11.3,81.5,26,2.33,1,0.03,12.26,25,0,53.32
18,Cameron Young,22420087,8000,68.32,0.021,0.0244,12,0.0034,0.1619,60.04,26.3,82.5,26,3.05,1,0.86,17.71,45,0,85.37
19,Matt Kuchar,22420088,7900,73.04,0.0143,0.0161,22,0.0018,0.1259,52.86,14.7,76,24,2.04,1,-0.04,13.73,30,0,65.36
20,Aaron Rai,22420089,7900,57.91,0.012,0.0125,31,5.00E-04,0.0417,53.31,6.8,76,24,1.58,1,-0.5,10.64,15,0,62.78
21,Jhonattan Vegas,22420090,7800,69.82,0.0173,0.0162,21,-0.0011,-0.0636,60.92,8.8,82.5,26,2.08,1,0.12,7.93,15,0,64.72
22,Keith Mitchell,22420091,7800,71.62,0.0206,0.0192,16,-0.0014,-0.068,57.17,14.6,80,25.5,2.46,1,0.5,7.62,20,0,63.72
23,Doug Ghim,22420092,7800,56.84,0.016,0.0157,23,-0.0003,-0.0188,53.94,11.4,76.5,24.5,2.01,1,0.05,9.44,20,0,53.17
24,Brian Harman,22420093,7700,61.14,0.0162,0.0152,24,-0.001,-0.0617,58.44,13.8,80,25.5,1.97,1,0.14,8.14,20,0,58.58
25,Matt Jones,22420094,7700,61.16,0.0094,0.0085,45,-9.00E-04,-0.0957,55.68,2.8,79,24.5,1.1,1,-0.73,7.74,10,0,54.42
26,Kevin Streelman,22420095,7700,56.74,0.0185,0.0165,19,-0.002,-0.1081,58.21,6.4,80.5,25,2.14,1,0.31,6.35,15,0,60.23
27,Sepp Straka,22420096,7600,60.18,0.0163,0.0192,16,0.0029,0.1779,51.82,16.5,75.5,24,2.53,1,0.84,16.75,35,0,68.21
28,Matthew NeSmith,22420097,7600,57.18,0.0111,0.0121,32,0.001,0.0901,51.14,11.1,75,23.5,1.59,1,-0.1,12.01,25,0,53.17
29,Joel Dahmen,22420098,7600,66.87,0.0163,0.0164,20,0.0001,0.0061,50.93,13.6,75,23.5,2.16,1,0.47,10.55,25,0,60.66
30,Lanto Griffin,22420099,7600,63.97,0.0087,0.0081,47,-6.00E-04,-0.069,51.04,5.3,75,24,1.07,1,-0.62,8.38,15,0,62.78
31,Troy Merritt,22420100,7500,69.54,0.0154,0.014,28,-0.0014,-0.0909,51.6,10.5,76,24,1.87,1,0.33,7.53,20,0,49.50
32,C.T. Pan,22420101,7500,63.72,0.0142,0.013,29,-0.0012,-0.0845,53.35,9.4,77,24.43,1.73,1,0.19,7.81,15,0,53.81
33,Brandon Wu,22420102,7500,52.37,0.0085,0.0104,33,0.0019,0.2235,43.63,9,69,22,1.39,1,-0.15,14.19,25,0,48.92
34,David Lipsky,22420103,7500,53.88,0.0081,0.01,36,0.0019,0.2346,50.59,5.7,75,23.5,1.33,1,-0.21,14.19,20,0,59.11
35,Anirban Lahiri,22420104,7400,53.44,0.0086,0.0096,39,0.001,0.1163,46.02,5.1,71.5,22.5,1.3,1,-0.09,12.07,15,0,46.21
36,Adam Long,22420105,7400,59.94,0.0153,0.0151,26,-0.0002,-0.0131,47.56,11.5,72.58,22.5,2.04,1,0.65,10.09,20,0,42.16
37,Francesco Molinari,22420106,7400,53.7,0.0061,0.0056,61,-5.00E-04,-0.082,42.8,1.2,68.5,22,0.76,1,-0.63,8.59,10,0,53.99
