player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"McIlroy, Rory",150,1.723,33,-0.001,0.040,-0.005,0.040,-0.040,-0.131,-0.027,-0.078,-0.236,1.521,2.890,"Wells Fargo Championship",TPC Potomac at Avenel Farm
"Conners, Corey",150,1.363,30,0.008,-0.004,-0.025,-0.058,-0.013,-0.011,0.196,-0.042,0.143,1.413,2.829,"Wells Fargo Championship",TPC Potomac at Avenel Farm
"Fitzpatrick, Matthew",150,1.263,27,0.016,0.039,0.024,-0.014,-0.040,-0.019,0.128,-0.070,0.040,1.328,2.821,"Wells Fargo Championship",TPC Potomac at Avenel Farm
"Henley, Russell",150,1.246,33,-0.001,0.014,0.015,-0.197,-0.042,0.013,0.184,-0.067,0.130,1.165,2.834,"Wells Fargo Championship",TPC Potomac at Avenel Farm
"Ancer, Abraham",150,0.813,31,0.005,0.006,0.002,-0.044,0.023,0.018,0.248,-0.024,0.243,1.048,2.842,"Wells Fargo Championship",TPC Potomac at Avenel Farm
"Power, Seamus",150,0.929,35,-0.008,0.022,0.038,0.079,0.023,-0.022,0.023,-0.052,-0.051,1.032,2.867,"Wells Fargo Championship",TPC Potomac at Avenel Farm
"Bradley, Keegan",150,0.963,35,-0.011,0.004,0.018,-0.024,-0.002,-0.038,0.063,-0.035,-0.010,0.938,2.864,"Wells Fargo Championship",TPC Potomac at Avenel Farm
"Kim, Si Woo",150,0.691,26,0.019,0.046,0.000,0.123,-0.068,-0.010,0.097,-0.036,0.051,0.862,2.865,"Wells Fargo Championship",TPC Potomac at Avenel Farm
"Finau, Tony",150,1.003,32,0.000,-0.011,-0.022,0.089,-0.028,-0.039,-0.107,-0.041,-0.187,0.844,2.828,"Wells Fargo Championship",TPC Potomac at Avenel Farm
"Garcia, Sergio",150,1.066,42,-0.031,-0.072,0.000,-0.030,-0.040,-0.054,0.025,-0.021,-0.051,0.842,2.836,"Wells Fargo Championship",TPC Potomac at Avenel Farm
"Ghim, Doug",150,0.378,26,0.022,0.063,0.008,0.190,-0.033,0.012,0.190,-0.015,0.187,0.814,2.813,"Wells Fargo Championship",TPC Potomac at Avenel Farm
