player_id,team,opp,pos,name,fpts,proj_own,noto_rtg,ceil,floor,min_exposure,max_exposure,salary,custom,rg_id,partner_id
1284,,,G,Si Woo Kim,56.65,12.6,72.39,79.5,25,0,0,8400,,34895,1284
2010,,,G,Cameron Percy,43.19,0.84,51.35,69,22,0,0,6300,,34989,2010
1174,,,G,Bill Haas,38.67,0.16,38.54,64,20.5,0,0,6500,,34765,1174
1295,,,G,Justin Lower,29.01,0.34,34.95,51.5,17.5,0,0,6400,,3083531,1295
1075,,,G,Matt Fitzpatrick,68.57,19.2,86.29,87.5,29.5,0,0,10000,,34759,1075
2065,,,G,Ben Martin,41.86,0.57,39.6,67.5,21.5,0,0,6300,,34910,2065
1120,,,G,Dylan Frittelli,44.23,0.92,51.65,70,22.5,0,0,7300,,36651,1120
698025,,,G,Harry Higgs,41.2,0.64,43.73,67,21,0,0,6600,,1266428,698025
2022,,,G,Matt Jones,55.68,2.8,62.11,79,24.5,0,0,7700,,34892,2022
2044,,,G,Stephan Jaeger,34.82,0.38,46.36,61,19.5,0,0,6900,,37129,2044
1890,,,G,William McGirt,35.87,0.1,34.4,62.5,20,0,0,6000,,34911,1890
694065,,,G,Bryson Nimmer,31.6,0.23,34.13,57,18.5,0,0,6200,,2203406,694065
699433,,,G,Dylan Wu,40.73,0.52,42.69,66.5,21,0,0,6500,,1327333,699433
1220,,,G,Morgan Hoffmann,34.66,0.07,31,60,19.5,0,0,6000,,34887,1220
1055,,,G,Gary Woodland,58.95,19.3,84.04,81.5,25,0,0,9100,,35025,1055
2056,,,G,Mark Hubbard,48.44,3.8,62.17,73,23,0,0,7100,,34890,2056
670471,,,G,Callum Tarren,40.1,0.41,38.79,66.08,21,0,0,6400,,1074859,670471
