"","Name","ID","Salary","odds_open","odds_close","odds_delta","odds_delta_per","odds_rank","own_change","own"
"72","Andrew Putnam",22420144,6700,0.0056,0.0055,-1e-04,-0.0179,63,9.95,0
"73","Chez Reavie",22420145,6700,0.0035,0.0041,6e-04,0.1714,74,11.48,0
"74","Kiradech Aphibarnrat",22420146,6700,0.0023,0.0022,-9.99999999999998e-05,-0.0435,104,9.59,0
"75","Kramer Hickok",22420147,6700,0.005,0.0062,0.0012,0.24,56,13.2,0
"76","Danny Lee",22420148,6700,0.0027,0.0027,0,0,94,9.83,0
"77","Rory Sabbatini",22420149,6700,0.0037,0.0033,-4e-04,-0.1081,84,9.21,0
"78","Joseph Bramlett",22420150,6700,0.0033,0.0034,9.99999999999998e-05,0.0303,80,10.12,0
"79","Kevin Chappell",22420151,6700,0.0024,0.0023,-9.99999999999998e-05,-0.0417,100,9.6,0
"80","Hank Lebioda",22420152,6600,0.0032,0.0031,-1e-04,-0.0313,88,9.74,0
"81","Charl Schwartzel",22420153,6600,0.0027,0.0027,0,0,94,9.89,0
"82","Nick Taylor",22420154,6600,0.0062,0.0056,-6e-04,-0.0968,61,9.11,0
"83","Harry Higgs",22420155,6600,0.0038,0.0043,5e-04,0.1316,71,11.24,0
"84","Peter Malnati",22420156,6600,0.0037,0.0033,-4e-04,-0.1081,84,9.27,0
"85","Adam Schenk",22420157,6600,0.0023,0.0023,0,0,100,9.84,0
"86","Michael Thompson",22420159,6600,0.0045,0.0054,0.000900000000000001,0.2,64,12.4,0
"87","Andrew Novak",22420160,6500,0.0034,0.0033,-9.99999999999998e-05,-0.0294,84,9.82,0
"88","Peter Uihlein",22420161,6500,0.0025,0.0024,-1e-04,-0.04,98,9.72,0
"89","Brice Garnett",22420162,6500,0.0038,0.0039,9.99999999999998e-05,0.0263,77,10.28,0
"90","Chase Seiffert",22420163,6500,0.006,0.0054,-6e-04,-0.1,64,9.15,0
"91","John Huh",22420164,6500,0.0041,0.0046,5e-04,0.122,69,11.31,0
"92","Hayden Buckley",22420165,6500,0.0029,0.0041,0.0012,0.4138,74,14.21,0
"93","Trey Mullinax",22420166,6500,0.0031,0.003,-9.99999999999998e-05,-0.0323,90,9.78,0
"94","Dylan Wu",22420167,6500,0.0032,0.0031,-1e-04,-0.0313,88,9.79,0
"95","Bill Haas",22420168,6500,0.0022,0.0022,0,0,104,9.88,0
"96","James Hahn",22420169,6400,0.0033,0.0034,9.99999999999998e-05,0.0303,80,10.28,0
"97","Charley Hoffman",22420170,6400,0.0028,0.0027,-9.99999999999998e-05,-0.0357,94,9.8,0
"98","Satoshi Kodaira",22420172,6400,0.0028,0.0027,-9.99999999999998e-05,-0.0357,94,9.8,0
"99","Wesley Bryan",22420174,6400,0.0021,0.0021,0,0,106,9.92,0
"100","Ben Kohles",22420175,6400,0.0028,0.0027,-9.99999999999998e-05,-0.0357,94,9.8,0
"101","Callum Tarren",22420176,6400,0.002,0.0019,-1e-04,-0.05,108,9.72,0
"102","Cameron Percy",22420178,6300,0.0028,0.0027,-9.99999999999998e-05,-0.0357,94,9.84,0
"103","Ben Martin",22420179,6300,0.0023,0.0023,0,0,100,9.98,0
"104","Roger Sloan",22420181,6300,0.0026,0.0026,0,0,97,10.02,0
"105","Bo Hoag",22420183,6300,0.0018,0.0017,-1e-04,-0.0556,110,9.74,0
"106","Henrik Norlander",22420184,6300,0.0024,0.0023,-9.99999999999998e-05,-0.0417,100,9.8,0
"107","Vaughn Taylor",22420186,6300,0.0029,0.0033,4e-04,0.1379,84,11.09,0
"108","Jim Herman",22420192,6200,0.0022,0.0022,0,0,104,10,0
"109","Ryan Blaum",22420198,6100,0.0019,0.0018,-1e-04,-0.0526,109,9.81,0
"110","Scott Gutschewski",22420199,6100,0.0019,0.002,1e-04,0.0526,107,10.24,0
