player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jerry Hughes,5556,ED,BUF,13,10,3,60.0,1,0,4,65.5,56.3,4.7,71.2,47.4,37.4,3,37,0,6,17.5,7,0,9,64.6,3,5,5,1,64,724,704,0,4,686,14,0,20,372,288,14,16,23,5,45,0,11,13,3.7
Patrick Robinson,5557,CB,IND,7,3,0,61.9,0,1,14,54.6,56.2,84.1,56.2,62.4,55.2,0,0,0,38,14.3,4,4,3,111.7,26,0,28,241,256,402,4,0,0,4,0,0,398,3,143,128,2,21,42,0,3,345,142,13.3
Nate Allen,5562,S,OAK,4,2,0,66.7,0,0,23,47.2,51.1,77.6,,65.8,56.3,0,0,1,34,16.7,2,0,0,70.1,2,0,44,0,61,107,6,0,0,6,0,54,101,0,46,3,4,8,3,0,0,50,9,25.0
T.J. Ward,5563,S,DEN,13,12,0,71.4,0,3,10,62.8,65.5,85.1,60.2,67.2,60.6,4,11,1,27,12.6,11,5,5,91.3,40,1,419,42,492,910,58,0,0,58,0,228,852,55,363,163,26,64,56,16,2,339,134,8.5
Arrelious Benn,5564,WR,JAX,1,0,0,,0,0,15,,60.0,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Koa Misi,5565,LB,MIA,3,3,0,77.8,0,0,17,52.5,60.3,78.4,58.2,66.6,74.3,0,0,0,19,8.0,2,0,0,100.9,7,0,87,0,54,128,29,0,0,29,0,0,99,11,63,12,7,20,9,0,0,74,56,10.6
Lamarr Houston,5569,ED,CHI,2,1,0,,0,0,6,64.4,61.4,76.5,60.2,57.2,70.5,1,1,0,,0.0,0,0,0,0.0,0,0,0,0,5,31,29,0,0,29,0,0,2,14,12,2,0,0,0,2,0,0,0,
Linval Joseph,5571,DI,MIN,13,18,0,,1,1,18,48.1,80.6,77.5,71.6,78.6,45.0,8,14,0,,8.6,5,0,1,0.0,0,3,0,0,0,555,555,360,195,0,0,0,0,292,263,0,26,35,0,25,0,0,0,
Carlos Dunlap,5579,ED,CIN,13,6,13,60.0,0,2,7,57.6,74.9,64.0,76.6,65.9,57.3,15,31,0,17,15.8,6,0,3,82.9,3,8,2,0,18,690,688,0,10,653,25,0,2,431,241,0,19,26,5,54,0,37,24,12.3
Sean Lee,5580,LB,DAL,13,23,0,87.9,0,0,9,84.3,80.2,84.5,55.7,69.9,76.4,1,3,0,44,8.4,11,1,0,106.1,58,0,713,9,530,846,35,0,0,35,0,24,811,56,260,65,52,97,66,4,1,544,327,9.4
Brandon Spikes,5587,ED,BUF,10,3,0,100.0,0,0,4,27.9,33.5,80.9,49.6,51.2,53.8,0,1,0,18,11.1,1,0,0,118.8,3,0,32,0,15,97,61,0,0,61,0,0,36,25,57,4,1,5,3,1,0,46,18,15.3
Morgan Burnett,5596,S,GB,12,7,0,64.1,0,0,12,75.8,80.6,82.8,77.9,78.7,78.0,1,3,2,26,8.6,7,6,2,70.2,25,3,297,17,432,736,32,0,0,32,0,312,704,30,274,78,27,67,39,7,1,258,127,10.3
Donald Butler,5603,LB,MIA,11,9,0,50.0,0,0,17,75.6,57.1,78.6,48.5,45.1,60.1,0,0,0,9,13.0,3,0,0,56.3,3,0,199,0,96,262,50,0,0,50,0,0,212,23,143,13,8,11,6,0,0,15,15,5.0
Earl Mitchell,5605,DI,MIA,6,2,0,,0,0,17,59.5,74.3,82.2,77.4,62.0,73.5,1,8,0,,0.0,0,0,0,0.0,0,0,0,0,1,170,170,11,152,2,5,0,0,105,64,0,8,9,0,9,0,0,0,
Corey Peters,5607,DI,ARZ,12,3,0,,0,0,1,29.2,63.1,52.5,58.1,69.9,55.7,1,4,0,,5.3,1,0,2,0.0,0,0,0,0,4,386,386,194,191,0,1,0,0,190,192,0,11,15,0,5,0,0,0,
NaVorro Bowman,5615,LB,SF,4,6,0,46.7,0,1,28,71.1,71.8,14.7,49.2,73.2,55.5,0,2,1,12,13.2,5,1,1,25.7,7,1,237,0,123,251,2,0,0,2,0,3,249,24,104,9,20,27,15,3,0,43,22,6.1
Everson Griffen,5624,ED,MIN,13,3,1,50.0,1,2,18,67.6,71.7,40.4,68.3,64.9,34.5,13,41,0,14,20.9,9,0,6,72.9,1,8,1,0,14,734,733,0,1,706,26,0,1,475,245,0,28,31,2,62,0,14,0,14.0
Perry Riley,5627,LB,OAK,8,3,0,64.0,0,1,23,62.3,71.6,84.3,67.9,76.1,72.4,0,7,0,69,8.3,3,0,0,114.3,16,0,402,5,256,442,8,0,0,8,0,2,434,23,163,25,16,30,25,7,2,193,158,12.1
Alterraun Verner,5628,CB,TB,7,0,0,46.4,0,0,30,65.5,65.3,83.7,60.0,58.4,67.1,0,0,1,42,7.7,1,5,1,67.9,13,0,8,216,160,234,1,0,0,1,0,0,233,1,73,9,2,12,28,0,1,202,47,15.5
Darrell Stuckey,5634,S,SD,7,0,0,100.0,0,0,27,55.3,59.5,77.5,60.0,68.6,81.3,0,1,0,25,0.0,0,0,0,118.8,1,0,1,0,17,29,9,0,0,9,0,13,20,1,11,6,1,3,1,1,0,25,2,25.0
Geno Atkins,5643,DI,CIN,13,4,0,,0,0,7,59.9,85.7,87.8,81.7,73.1,50.6,11,39,0,,16.7,4,0,0,0.0,0,7,3,0,1,644,641,79,549,4,9,0,3,419,224,0,20,16,0,57,0,0,0,
