player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Shane Lechler,673,P,HST,6,29,29,4.4,37.9,48.1,14.5,0,0,1,4,13,63.2,11,62,3,0,65.5,276,19,29,127.72,1099,1,1395
Andy Lee,1906,P,CAR,6,26,26,4.53,40.12,49.5,18.4,0,0,7,6,5,74.0,14,76,0,0,38.5,184,10,26,117.82,1043,3,1287
Donnie Jones,1939,P,PHI,5,23,23,4.39,38.22,44.35,16.2,0,0,5,9,24,66.7,8,72,1,0,21.7,81,5,23,100.99,879,3,1020
Dustin Colquitt,2316,P,KC,5,24,24,4.49,39.33,43.04,4.9,0,0,4,7,16,63.6,11,58,1,0,41.7,49,10,24,107.72,944,2,1033
Sam Koch,3148,P,BLT,6,31,31,4.22,37.39,47.55,16.2,0,0,2,5,3,77.4,10,68,5,0,54.8,275,17,31,130.96,1159,2,1474
Jon Ryan,3493,P,SEA,5,25,25,4.27,39.16,43.88,9.8,0,0,4,9,29,63.2,10,58,1,0,32.0,78,8,25,106.64,979,2,1097
Brett Kern,4580,P,TEN,6,29,29,4.36,36.03,46.24,17.1,0,0,3,8,31,78.0,12,71,1,0,51.7,256,15,29,126.32,1045,2,1341
Kevin Huber,5066,P,CIN,6,30,30,4.2,38.23,44.2,8.7,0,0,4,5,7,59.5,12,58,3,0,53.3,139,16,30,126.01,1147,2,1326
Thomas Morstead,5088,P,NO,5,20,20,4.55,44.05,51.4,8.7,0,0,4,0,20,80.2,7,66,3,0,50.0,87,10,20,91.09,881,3,1028
Pat McAfee,5146,P,IND,6,22,22,4.35,44.0,50.36,7.5,0,0,3,3,14,84.2,11,74,4,0,36.4,60,8,22,95.76,968,4,1108
Britton Colquitt,5192,P,CLV,6,29,29,4.44,41.45,47.52,9.7,0,0,3,8,8,71.8,5,65,2,0,48.3,136,14,29,128.74,1202,2,1378
Matt Bosher,6344,P,ATL,6,20,20,4.48,42.45,46.15,7.7,0,0,2,9,2,70.9,12,68,0,0,35.0,54,7,20,89.61,849,1,923
Chris Jones,6798,P,DAL,6,17,17,4.7,39.12,48.24,14.4,0,0,1,4,9,81.4,7,63,2,0,47.1,115,8,17,79.85,665,2,820
Bryan Anger,7072,P,TB,5,27,27,4.78,43.41,47.07,7.4,0,0,1,14,30,82.4,12,59,1,0,29.6,59,8,27,128.93,1172,2,1271
Brad Nortman,7192,P,JAX,5,22,22,4.68,45.64,49.86,7.6,0,0,7,4,15,73.1,10,78,1,0,31.8,53,7,22,103.0,1004,2,1097
