player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Julius Peppers,1010,ED,GB,14,2,1.8,0,0,12,58.8,74.4,63.5,76.5,61.4,58.1,15.4,2,2,149,155,4.7,7,9
Dwight Freeney,1019,ED,ATL,12,1,0.7,0,0,2,60.0,65.4,89.7,65.3,49.8,42.4,20.0,1,1,56,57,5.4,3,3
James Harrison,1251,ED,PIT,14,6,2.0,0,0,25,70.8,83.0,86.7,82.1,69.4,78.8,8.0,2,0,171,172,7.0,12,17
Terence Newman,1321,CB,MIN,13,0,3.0,0,0,18,82.9,82.0,86.1,53.9,70.2,68.2,16.7,1,4,255,262,1.6,4,5
Terrell Suggs,1326,ED,BLT,13,5,0.5,1,0,3,58.9,72.6,27.7,70.4,75.5,60.6,9.1,2,5,183,193,7.1,13,15
Robert Mathis,1447,ED,IND,12,2,2.3,0,0,14,49.9,52.1,88.7,57.7,43.5,46.0,18.8,3,0,130,134,6.2,8,11
Cullen Jenkins,1637,DI,WAS,13,1,1.0,0,0,32,57.2,60.7,61.2,62.7,59.2,58.9,7.1,1,1,95,99,10.5,10,12
DeAngelo Hall,1729,S,WAS,3,0,5.8,0,0,32,53.2,55.4,79.3,54.9,64.9,57.1,16.7,1,0,73,73,2.7,2,5
Vince Wilfork,1742,DI,HST,13,5,1.3,0,0,13,59.5,55.7,57.6,58.7,55.9,76.5,4.5,1,2,221,231,5.9,13,16
Karlos Dansby,1754,LB,CIN,14,8,3.8,1,0,7,55.5,59.1,60.4,56.1,65.5,63.7,8.5,4,2,248,255,9.3,23,35
Daryl Smith,1760,LB,TB,14,2,1.8,0,0,30,58.0,56.0,84.4,53.8,54.8,59.1,14.3,2,0,198,202,4.5,9,10
Antonio Smith,1856,DI,HST,11,1,1.0,0,0,13,,52.2,27.3,59.5,50.6,71.1,0.0,0,2,32,36,6.3,2,2
Mike Adams,1972,S,IND,13,4,11.3,0,2,14,73.7,80.4,88.7,61.0,90.0,90.5,6.5,2,0,304,313,1.3,4,25
Adam Jones,2223,CB,CIN,14,1,6.4,1,0,7,72.2,71.7,45.2,54.0,70.4,53.6,14.3,2,5,340,348,0.9,3,11
DeMarcus Ware,2228,ED,DEN,8,4,4.0,2,0,10,65.0,64.4,8.8,68.3,63.7,59.1,18.2,2,4,84,85,2.4,2,5
Thomas Davis Sr.,2231,LB,CAR,14,9,3.8,0,1,5,60.0,68.7,44.5,89.9,67.3,71.4,5.3,2,2,274,281,5.8,16,27
Derrick Johnson,2232,LB,KC,13,15,3.4,0,0,16,82.8,70.5,88.7,50.5,51.4,47.5,18.4,14,0,310,317,10.0,31,47
Jonathan Babineaux,2276,DI,ATL,14,2,2.9,0,0,2,52.1,51.3,85.5,55.0,53.5,27.6,21.1,4,0,124,128,8.1,10,13
Darren Sproles,2347,HB,PHI,2,0,30.0,0,0,24,,63.6,62.9,,61.7,71.4,0.0,0,1,2,2,0.0,0,1
Trent Cole,2363,ED,IND,5,2,2.5,0,0,14,42.9,59.3,83.5,58.8,61.7,32.7,20.0,2,0,60,61,6.7,4,6
Lorenzo Alexander,2476,ED,BUF,14,7,2.4,0,0,4,59.8,78.1,59.8,77.6,72.5,67.9,8.6,3,3,250,260,8.8,22,25
Ahmad Brooks,2945,ED,SF,14,10,2.7,3,1,28,64.3,59.4,17.8,58.3,66.2,42.8,15.4,6,8,373,383,4.3,16,23
Mario Williams,2946,ED,MIA,12,1,0.1,0,0,17,64.2,67.1,89.8,56.5,69.8,44.4,14.3,2,0,179,181,5.6,10,11
Donte Whitner,2953,S,WAS,9,8,8.2,0,1,32,50.9,55.2,47.6,50.1,70.1,84.0,6.7,2,1,185,190,3.2,6,20
Haloti Ngata,2957,DI,DET,11,2,2.1,0,0,11,54.3,59.0,71.7,52.9,69.0,50.9,0.0,0,1,140,150,6.4,9,9
Chad Greenway,2962,LB,MIN,14,7,1.5,0,0,18,41.1,56.6,82.0,57.4,70.5,46.0,15.4,4,0,194,200,6.7,13,15
Antonio Cromartie,2964,CB,IND,4,0,,1,0,14,52.0,52.7,82.7,,55.6,68.0,100.0,1,5,63,66,0.0,0,0
Tamba Hali,2965,ED,KC,14,6,3.8,2,0,16,78.0,78.1,44.8,73.4,72.8,84.8,0.0,0,3,158,161,5.7,9,15
Johnathan Joseph,2969,CB,HST,12,1,6.4,0,0,13,64.6,66.8,52.3,59.1,78.6,65.6,9.1,1,4,200,209,1.0,2,9
D'Qwell Jackson,2979,LB,IND,12,11,4.3,1,0,14,49.0,49.4,59.2,46.9,57.7,52.8,11.1,6,2,268,275,6.7,18,37
