player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Shane Lechler,673,P,HST,11,48,48,4.3,39.56,48.4,12.1,0,0,1,8,13,69.8,18,62,5,0,62.5,364,30,48,206.2,1899,3,2323
Matt Bryant,1223,K,ATL,1,2,2,4.02,33.5,33.5,,0,0,0,2,2,59.2,0,36,0,0,0.0,0,0,2,8.03,67,0,67
Andy Lee,1906,P,CAR,9,36,36,4.45,40.36,49.14,13.9,0,0,7,7,5,72.4,18,76,1,0,47.2,236,17,36,160.03,1453,4,1769
Donnie Jones,1939,P,PHI,11,47,47,4.27,39.45,45.38,11.4,0,0,9,13,24,64.4,15,72,4,0,29.8,159,14,47,200.63,1854,6,2133
Dustin Colquitt,2316,P,KC,11,57,57,4.55,41.65,46.11,5.6,0,0,5,18,16,75.9,28,64,3,0,42.1,134,24,57,259.09,2374,6,2628
Sam Koch,3148,P,BLT,11,60,60,4.32,39.85,46.7,11.8,0,0,7,9,3,82.7,27,68,12,0,46.7,331,28,60,258.96,2391,4,2802
Jon Ryan,3493,P,SEA,11,55,55,4.34,41.05,45.69,8.5,1,0,10,15,29,66.8,22,62,3,0,41.8,195,23,56,238.83,2258,3,2513
Brett Kern,4580,P,TEN,12,54,54,4.38,38.17,44.96,12.3,0,0,5,17,31,71.7,22,71,2,0,46.3,307,25,54,236.64,2061,3,2428
Kevin Huber,5066,P,CIN,11,56,56,4.14,38.84,45.75,9.9,0,0,7,12,7,55.3,21,63,3,0,51.8,287,29,56,231.7,2175,5,2562
Thomas Morstead,5088,P,NO,11,41,41,4.6,42.61,48.93,7.6,0,0,5,6,20,87.6,18,66,4,0,51.2,159,21,41,188.74,1747,5,2006
Pat McAfee,5146,P,IND,11,42,42,4.44,43.14,50.12,9.5,0,0,3,11,14,89.7,16,74,6,0,33.3,133,14,42,186.41,1812,8,2105
Britton Colquitt,5192,P,CLV,12,62,62,4.43,40.76,45.4,8.3,0,0,8,18,8,70.3,19,65,3,0,48.4,248,30,62,274.36,2527,2,2815
Graham Gano,5443,K,CAR,1,4,4,4.35,29.75,45.0,10.5,0,0,0,0,5,50.2,0,54,0,0,50.0,21,2,4,17.41,119,2,180
