team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
GB,12,11,510,5,70,510,90.1,88,13
OAK,23,11,446,10,75,446,89.6,89,4
NO,20,11,473,14,70,473,89.0,94,10
TEN,31,12,418,8,72,418,88.0,90,10
PIT,25,11,439,12,72,439,87.9,95,11
DAL,9,11,373,11,66,373,87.8,84,7
KC,16,11,444,12,66,444,87.2,96,18
PHI,24,11,429,16,65,429,87.1,96,15
CHI,6,11,431,17,69,431,87.0,99,13
WAS,32,11,453,18,84,453,86.8,111,9
JAX,15,11,493,13,96,493,86.7,120,11
ATL,2,11,419,24,59,419,86.0,100,17
NYG,21,11,431,17,87,431,85.8,113,9
NE,19,11,411,18,77,411,85.5,107,12
BLT,3,11,477,19,97,477,85.3,128,12
CIN,7,11,458,10,84,458,84.9,116,22
LA,26,11,413,15,88,413,83.9,118,15
CAR,5,11,419,18,89,419,83.7,122,15
TB,30,11,460,33,103,460,83.5,144,8
DET,11,11,432,12,102,432,83.1,130,16
CLV,8,12,505,25,105,505,82.8,152,22
MIN,18,11,410,31,76,410,82.6,125,18
BUF,4,11,386,14,98,386,82.6,123,11
NYJ,22,11,419,17,95,419,82.3,130,18
HST,13,11,431,24,104,431,81.4,144,16
ARZ,1,11,494,33,109,494,81.2,164,22
MIA,17,11,369,24,80,369,80.8,123,19
DEN,10,11,431,18,112,431,80.5,149,19
SF,28,11,429,16,123,429,80.3,154,15
SEA,29,11,431,28,116,431,79.8,159,15
SD,27,11,430,26,110,430,79.3,157,21
IND,14,11,483,26,142,483,77.6,192,24
