player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Johnathan Joseph,2969,CB,HST,2,1,16.0,37.5,100.0,12.3,4.6,0,0,4,25.0,13,62.1,63.7,80.5,,68.7,80.8,0,17,0.0,0,3,1,50.3,6,79,79,1,6,16,0,65,15,0.9,10.8
D'Qwell Jackson,2979,LB,IND,2,0,4.0,66.7,92.1,26.5,17.7,0,0,0,0.0,14,59.3,55.6,79.3,52.1,54.9,45.7,0,9,33.3,1,0,0,75.7,2,58,63,1,2,3,0,13,4,0.2,6.5
Roman Harper,2988,S,NO,2,0,6.5,100.0,66.7,7.0,7.0,0,0,0,0.0,20,55.9,52.8,75.1,51.4,60.3,71.6,0,10,0.0,0,0,0,104.2,2,14,21,0,1,2,0,18,5,1.3,9.0
Will Blackmon,3060,S,WAS,1,0,3.0,100.0,100.0,2.0,2.0,0,0,0,0.0,32,61.5,62.8,70.4,,,,0,10,,0,0,0,108.3,1,3,3,0,0,1,0,10,7,5.0,10.0
Stephen Tulloch,3061,LB,PHI,1,0,5.0,100.0,83.3,4.0,4.0,0,0,0,0.0,24,67.3,73.4,71.6,60.0,66.3,75.9,0,5,0.0,0,0,0,87.5,1,5,6,0,2,1,0,5,0,1.3,5.0
Domata Peko Sr.,3068,DI,CIN,2,0,,,2.3,,,0,0,0,,7,59.9,58.7,82.1,57.8,58.4,71.8,0,,,0,0,0,0.0,0,1,43,0,0,0,0,0,0,0.0,
Kedric Golston,3141,DI,WAS,2,0,,,11.1,,,0,0,0,,32,60.0,61.0,77.9,56.2,63.0,69.7,0,,,0,0,0,0.0,0,1,9,0,0,0,0,0,0,0.0,
Antoine Bethea,3152,S,SF,2,0,10.2,100.0,96.5,12.8,12.8,0,0,1,16.7,28,58.8,71.3,79.8,52.7,91.2,89.8,1,78,0.0,0,1,0,118.8,6,82,85,3,7,6,2,114,56,1.5,19.0
Tramon Williams,3558,CB,CLV,2,1,6.0,80.0,97.1,8.0,6.4,0,0,0,0.0,8,50.4,55.8,78.5,53.2,77.9,85.3,0,19,0.0,0,0,1,135.0,8,68,70,2,6,10,1,84,32,1.3,10.5
Brent Grimes,3589,CB,TB,2,0,15.0,57.1,100.0,10.0,5.7,1,1,3,21.4,30,59.3,61.4,79.5,,68.1,80.2,0,27,0.0,0,2,1,119.0,8,82,82,0,6,14,2,100,20,1.3,12.5
Darrelle Revis,3630,CB,NYJ,2,0,14.6,76.9,100.0,7.0,5.4,0,0,0,0.0,22,43.2,47.8,79.2,,73.0,26.7,0,84,30.8,4,0,0,143.9,10,74,74,3,9,13,1,173,62,2.5,17.3
Lawrence Timmons,3631,LB,PIT,2,2,5.6,77.8,93.2,9.3,7.2,0,0,1,11.1,25,64.5,68.5,77.2,52.8,72.6,43.4,0,31,27.3,3,1,0,105.1,7,68,73,2,6,9,0,83,46,1.3,11.9
Leon Hall,3634,CB,NYG,2,1,2.3,66.7,92.0,11.0,7.3,0,0,0,0.0,21,69.6,64.1,75.9,68.1,31.6,44.8,0,10,0.0,0,0,0,70.1,4,46,50,1,2,6,0,15,18,0.3,3.8
Reggie Nelson,3637,S,OAK,2,3,30.3,100.0,100.0,26.0,26.0,0,0,0,0.0,23,45.8,47.7,80.4,,68.8,82.4,0,48,6.3,1,0,0,118.8,3,83,83,0,12,3,0,103,12,1.3,34.3
Paul Posluszny,3650,LB,JAX,2,0,4.1,85.7,88.1,9.0,7.7,0,0,0,0.0,15,52.7,60.9,80.1,58.4,71.3,69.6,0,44,20.0,1,0,0,158.3,6,59,67,1,4,7,1,109,86,2.0,18.2
Eric Weddle,3653,S,BLT,2,1,8.0,33.3,100.0,63.0,21.0,0,0,1,33.3,3,71.0,78.4,80.9,,77.8,64.1,1,6,33.3,1,1,0,2.8,1,67,67,0,1,3,0,6,0,0.1,6.0
David Harris,3663,LB,NYJ,2,0,2.2,40.0,83.8,29.0,11.6,0,0,1,20.0,22,71.7,63.5,78.7,56.1,50.0,61.3,0,4,0.0,0,0,0,47.9,2,62,74,3,3,5,0,5,9,0.1,2.5
