player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
A.Q. Shipley,5150,C,ARZ,12,1,1,76.6,5,9,541,100.0,100.0,98.3,1,16,2,586,586,69.7,3,6,239,100.0,100.0,97.3,11,2,265,265
D.J. Humphries,9457,T,ARZ,12,1,1,61.0,7,30,541,100.0,100.0,94.9,3,46,9,586,586,53.0,6,16,239,100.0,100.0,92.1,30,8,265,265
Lane Taylor,8365,G,GB,12,0,12,76.4,1,20,543,100.0,100.0,97.9,0,22,1,581,581,72.8,1,13,211,100.0,100.0,96.2,15,1,232,232
A.J. Cann,9500,G,JAX,12,1,15,75.4,2,19,539,100.0,100.0,97.5,4,24,3,577,577,70.9,1,15,255,100.0,100.0,95.7,19,3,280,280
Jermey Parnell,5426,T,JAX,12,0,15,70.2,4,24,539,100.0,100.0,96.8,2,31,3,577,577,65.7,4,16,255,100.0,100.0,94.9,23,3,280,280
Bryan Bulaga,5548,T,GB,12,0,12,84.4,2,17,534,100.0,100.0,97.7,1,22,3,572,572,80.3,1,11,208,100.0,100.0,95.7,15,3,229,229
Jeremy Zuttah,4397,C,BLT,12,0,3,79.0,1,18,523,100.0,100.0,97.6,2,22,3,568,568,71.5,0,12,236,100.0,100.0,96.6,14,2,256,256
David Bakhtiari,7891,T,GB,12,2,12,92.9,0,10,519,100.0,100.0,98.3,3,14,4,556,556,89.6,0,6,205,100.0,100.0,97.1,9,3,226,226
Anthony Castonzo,6174,T,IND,12,0,14,77.2,7,29,515,100.0,100.0,95.5,2,41,5,553,553,71.3,6,19,265,100.0,100.0,93.8,29,4,283,283
Max Unger,4972,C,NO,12,0,20,82.9,1,5,517,100.0,100.0,99.4,1,6,0,551,551,82.9,0,2,199,100.0,100.0,99.5,2,0,219,219
Ali Marpet,9494,G,TB,12,1,30,82.2,3,13,492,100.0,100.0,98.0,1,18,2,542,542,81.5,2,8,238,100.0,100.0,97.5,11,1,258,258
Demar Dotson,5410,T,TB,12,1,30,71.0,7,22,492,100.0,100.0,96.6,9,31,2,542,542,64.7,5,21,238,100.0,100.0,93.7,28,2,258,258
Donovan Smith,9467,T,TB,12,0,30,59.4,13,35,492,100.0,100.0,94.7,5,50,2,542,542,51.2,9,28,238,100.0,100.0,91.4,39,2,258,258
Jahri Evans,3053,G,NO,12,1,20,76.1,3,13,507,100.0,100.0,98.2,3,17,1,541,541,61.6,3,8,195,100.0,100.0,96.7,12,1,215,215
Joe Thomas,3619,T,CLV,12,1,8,90.0,4,21,503,99.6,99.6,97.1,1,27,2,534,536,87.6,2,13,261,100.0,100.0,96.7,16,1,276,276
Mike Iupati,5542,G,ARZ,11,3,1,64.3,6,16,496,100.0,100.0,97.2,5,25,3,533,533,51.9,3,13,221,100.0,100.0,95.0,19,3,241,241
Austin Pasztor,7689,T,CLV,12,1,8,72.9,2,32,499,100.0,100.0,95.8,4,38,4,530,530,64.5,1,29,258,100.0,100.0,92.6,34,4,273,273
Brandon Linder,8728,C,JAX,11,0,15,81.7,2,8,493,100.0,100.0,98.6,0,12,2,529,529,79.4,1,4,236,100.0,100.0,98.1,7,2,260,260
Rodney Hudson,6207,C,OAK,12,0,23,86.7,0,8,481,100.0,100.0,99.2,1,8,0,528,528,82.1,0,4,190,100.0,100.0,98.9,4,0,208,208
Zach Strief,3155,T,NO,12,2,20,77.1,5,13,495,100.0,100.0,98.0,2,19,1,528,528,65.1,4,11,191,100.0,100.0,95.5,16,1,210,210
Gabe Jackson,8716,G,OAK,12,2,23,76.9,5,15,480,100.0,100.0,97.9,2,20,0,527,527,70.1,5,8,190,100.0,100.0,96.6,13,0,208,208
Kelechi Osemele,7062,G,OAK,12,0,23,84.4,1,6,479,100.0,100.0,99.3,3,7,0,526,526,77.4,1,4,189,100.0,100.0,98.7,5,0,207,207
Donald Penn,3459,T,OAK,12,1,23,84.4,2,17,479,99.8,99.8,98.0,7,19,0,526,527,74.6,2,11,190,100.0,100.0,96.6,13,0,208,208
Jason Kelce,6343,C,PHI,12,1,24,47.3,4,16,492,100.0,100.0,97.8,2,21,1,522,522,45.0,1,12,208,100.0,100.0,96.4,14,1,218,218
Kevin Zeitler,7032,G,CIN,12,0,7,85.1,3,10,489,100.0,100.0,98.5,1,14,1,520,520,82.3,2,6,191,100.0,100.0,97.9,8,0,208,208
Brandon Scherff,9438,G,WAS,12,0,32,76.7,7,16,482,100.0,100.0,97.6,1,23,0,517,517,73.2,4,10,227,100.0,100.0,96.9,14,0,245,245
Clint Boling,6253,G,CIN,12,0,7,78.4,2,16,486,100.0,100.0,97.5,1,21,3,517,517,68.2,2,12,191,100.0,100.0,94.8,17,3,208,208
Taylor Decker,10650,T,DET,12,0,11,79.1,4,26,479,100.0,100.0,96.2,2,33,3,516,516,73.6,2,19,217,100.0,100.0,94.2,23,2,236,236
Travis Swanson,8711,C,DET,12,0,11,79.2,3,7,479,100.0,100.0,98.5,1,12,2,516,516,71.4,2,5,217,100.0,100.0,97.9,8,1,236,236
Ryan Kelly,10652,C,IND,12,0,14,77.4,2,15,478,100.0,100.0,98.2,1,17,0,516,516,79.0,2,10,242,100.0,100.0,97.5,12,0,260,260
John Greco,4379,G,CLV,12,1,8,78.7,5,15,483,100.0,100.0,97.1,2,24,4,514,514,73.7,3,10,245,100.0,100.0,96.1,16,3,260,260
Alejandro Villanueva,9091,T,PIT,12,0,25,78.4,4,28,478,100.0,100.0,95.4,0,38,6,511,511,62.8,3,24,211,100.0,100.0,91.2,32,5,222,222
Jason Peters,2148,T,PHI,12,1,24,90.5,7,9,481,100.0,100.0,97.7,1,19,3,510,510,85.0,5,5,205,100.0,100.0,96.6,12,2,215,215
Kelvin Beachum,7229,T,JAX,11,0,15,74.0,6,28,474,100.0,100.0,96.0,2,36,2,510,510,68.0,5,22,222,100.0,100.0,93.5,28,1,246,246
David DeCastro,7640,G,PIT,12,1,25,83.2,4,10,477,100.0,100.0,98.1,2,16,2,510,510,72.6,4,8,211,100.0,100.0,96.2,14,2,222,222
Mark Glowinski,9567,G,SEA,12,2,29,61.8,6,18,475,100.0,100.0,96.6,3,28,4,507,507,40.9,5,17,187,100.0,100.0,93.0,24,2,202,202
Ereck Flowers,9442,T,NYG,12,1,21,66.3,5,41,472,100.0,100.0,94.7,7,48,2,502,502,44.3,5,36,203,100.0,100.0,89.4,42,1,218,218
John Jerry,5598,G,NYG,12,0,21,78.7,4,11,472,100.0,100.0,98.2,2,16,1,502,502,72.9,1,10,203,100.0,100.0,96.8,12,1,218,218
Russell Bodine,8746,C,CIN,12,0,7,62.8,2,16,471,100.0,100.0,97.2,2,22,4,502,502,54.4,2,10,183,100.0,100.0,95.6,14,2,200,200
Andrew Whitworth,3000,T,CIN,12,2,7,92.4,0,9,470,97.3,97.5,98.2,3,13,4,501,514,85.8,0,8,188,100.0,100.0,96.3,11,3,205,205
Morgan Moses,8701,T,WAS,12,1,32,74.0,2,18,467,100.0,100.0,97.0,3,24,4,500,500,74.3,1,12,224,100.0,100.0,95.8,16,3,241,241
Xavier Su'a-Filo,8668,G,HST,12,0,13,65.3,6,18,471,100.0,100.0,96.6,1,28,4,496,496,58.0,4,13,224,100.0,100.0,94.9,20,3,235,235
Matt Slauson,5117,C,SD,12,0,27,74.2,5,17,461,100.0,100.0,97.6,1,22,0,494,494,70.6,5,7,215,100.0,100.0,97.2,12,0,232,232
Eric Fisher,7783,T,KC,12,2,16,72.6,3,16,470,100.0,100.0,97.1,4,23,4,494,494,58.1,1,9,155,100.0,100.0,94.8,13,3,167,167
Mitchell Schwartz,7041,T,KC,12,1,16,73.9,1,18,470,100.0,100.0,96.3,2,27,8,494,494,60.7,0,16,155,100.0,100.0,91.6,21,5,167,167
Andrew Norwell,9126,G,CAR,12,0,5,79.1,2,14,453,100.0,100.0,98.0,4,17,1,494,494,79.8,1,10,235,100.0,100.0,97.2,12,1,253,253
Greg Mancz,10019,C,HST,12,0,13,83.7,4,9,469,100.0,100.0,98.4,0,14,1,494,494,73.7,4,7,223,100.0,100.0,97.1,12,1,234,234
Mitch Morse,9482,C,KC,12,0,16,79.0,1,10,470,100.0,100.0,98.8,1,11,0,494,494,77.4,1,2,155,100.0,100.0,99.0,3,0,167,167
Max Garcia,9566,G,DEN,12,1,10,65.7,4,17,459,100.0,100.0,96.8,1,25,4,493,493,50.8,3,15,215,100.0,100.0,94.0,22,4,240,240
Mike Remmers,7431,T,CAR,12,4,5,67.5,3,30,452,100.0,100.0,95.0,7,39,6,493,493,54.4,3,25,234,100.0,100.0,91.5,34,6,252,252
Michael Schofield III,8730,G,DEN,12,1,10,71.5,4,18,459,100.0,100.0,97.2,3,24,2,493,493,64.6,2,12,215,100.0,100.0,96.3,15,1,240,240
Matt Paradis,8841,C,DEN,12,0,10,86.5,0,7,459,100.0,100.0,99.0,0,8,1,493,493,82.0,0,5,215,100.0,100.0,98.8,5,0,240,240
David Andrews,9948,C,NE,12,0,19,70.6,5,11,456,100.0,100.0,98.2,2,16,0,492,492,54.8,3,7,152,100.0,100.0,96.7,10,0,169,169
Joe Thuney,10712,G,NE,12,0,19,69.2,7,25,456,99.8,99.8,96.1,3,34,2,492,493,69.5,3,11,153,100.0,100.0,94.1,16,2,170,170
Alex Mack,4944,C,ATL,12,0,2,79.2,3,10,459,100.0,100.0,98.1,0,15,2,489,489,77.1,1,5,166,100.0,100.0,97.6,7,1,182,182
Rick Wagner,7950,T,BLT,11,1,3,77.9,4,18,450,100.0,100.0,96.9,1,25,3,489,489,73.8,3,13,194,100.0,100.0,94.8,18,2,210,210
Andy Levitre,4974,G,ATL,12,1,2,78.6,2,10,459,100.0,100.0,97.6,2,17,5,489,489,72.5,2,5,166,100.0,100.0,96.1,10,3,182,182
Chris Chester,3001,G,ATL,12,0,2,52.8,11,23,459,100.0,100.0,95.4,1,38,4,489,489,39.9,7,16,166,100.0,100.0,91.3,26,3,182,182
Ryan Schraeder,8496,T,ATL,12,0,2,74.5,5,13,459,100.0,100.0,96.9,1,23,5,489,489,67.7,4,9,166,100.0,100.0,94.3,16,3,182,182
Trai Turner,8727,G,CAR,12,2,5,68.4,2,20,449,100.0,100.0,97.1,4,24,2,489,489,54.8,2,16,233,100.0,100.0,95.3,20,2,251,251
Weston Richburg,8678,C,NYG,12,0,21,82.7,1,6,459,100.0,100.0,98.8,1,9,2,487,487,79.3,0,2,195,100.0,100.0,98.5,4,2,210,210
