player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
LeGarrette Blount,5863,HB,NE,3,75,10,2,22.5,67,0,298,0,0,10,198,35.2,8,16,19,2,43,29.7,50.5,78.7,,60.0,50.2,52.4,58.1,41,0,0,0,30,88,0,0,0,75,4,298,198,2.64,4.0,0.0,32
Lamar Miller,7097,HB,HST,3,74,5,1,5.6,15,0,269,0,0,5,129,10.4,4,11,13,1,34,59.9,61.2,81.9,,84.9,64.0,59.1,59.4,15,0,52,10,72,84,0,0,11,84,0,269,129,1.74,3.6,0.72,38
Ezekiel Elliott,10638,HB,DAL,3,71,4,2,15.3,42,0,274,0,0,4,160,11.9,4,19,9,2,27,29.6,58.4,79.8,,44.7,59.0,59.1,60.0,21,0,25,5,46,77,0,0,5,76,2,274,160,2.25,3.9,0.54,43
Matt Forte,4358,HB,NYJ,3,67,7,1,5.7,15,0,261,1,2,7,177,31.3,8,12,22,0,15,85.1,71.0,81.3,,78.8,61.5,70.6,60.0,15,0,67,9,58,73,0,0,11,76,3,261,177,2.64,3.9,1.16,50
DeAngelo Williams,2972,HB,PIT,3,66,10,2,12.4,32,0,258,3,4,10,188,49.8,5,14,25,0,31,85.3,67.2,81.9,,60.4,51.3,71.8,60.0,17,0,89,14,92,67,0,0,21,80,2,258,188,2.85,3.9,0.97,28
Todd Gurley II,9443,HB,LA,3,63,7,1,8.7,16,0,183,1,2,7,161,34.8,3,10,26,0,11,84.7,58.4,5.5,,85.5,43.6,61.6,60.1,16,1,9,3,49,76,0,0,5,66,2,183,161,2.56,2.9,0.18,52
Carlos Hyde,8692,HB,SF,3,58,6,3,30.2,68,0,225,1,1,6,140,26.4,5,11,28,1,23,50.7,57.2,84.7,,57.1,47.2,60.7,58.6,34,0,25,6,58,65,0,0,7,64,4,225,140,2.41,3.9,0.43,34
Melvin Gordon III,9448,HB,SD,3,54,7,3,29.4,57,0,194,0,1,7,124,30.1,4,13,27,0,18,83.9,63.1,79.4,,87.0,68.5,59.8,59.7,21,0,61,7,49,58,0,0,10,61,4,194,124,2.3,3.6,1.24,32
C.J. Anderson,8101,HB,DEN,3,54,8,1,13.8,28,0,203,1,3,8,126,41.4,8,9,10,0,2,83.8,56.0,78.8,,74.8,69.4,51.4,60.0,28,0,70,8,61,57,0,0,10,62,2,203,126,2.33,3.8,1.15,49
Frank Gore,2282,HB,IND,3,48,5,1,10.3,19,0,185,1,0,5,122,22.7,2,8,14,1,17,47.2,52.8,78.2,,57.7,54.9,52.8,60.0,19,0,39,8,59,50,0,0,10,56,1,185,122,2.54,3.9,0.66,30
