player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Darius Slay,7817,CB,DET,12,0,11,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.3,1,396,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Desmond Trufant,7803,CB,ATL,9,0,2,0,0,0,0,0,0,66.7,2,2,100.0,2,2,0,0,0.8,3,383,2,66.7,0,0,0,0,33.3,1,0,0.0,0,0,0,2,2,0
Briean Boddy-Calhoun,10903,CB,CLV,12,1,8,0,0,1,0,0,0,100.0,2,1,50.0,1,1,0,0,0.8,2,265,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Darrell Stuckey,5634,S,SD,4,0,27,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,6.7,1,15,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jackrabbit Jenkins,7043,CB,NYG,14,0,21,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,2,557,1,50.0,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
Josh Norman,7649,CB,WAS,14,0,32,1,3,0,1,1,1,66.7,2,2,50.0,0,0,0,1,0.7,4,541,4,50.0,0,0,1,0,33.3,1,1,50.0,0,0,0,0,0,0
Shareece Wright,6241,CB,BLT,10,0,3,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.3,1,343,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Brent Grimes,3589,CB,TB,14,0,30,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.2,1,501,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Buster Skrine,6289,CB,NYJ,12,0,22,0,3,0,0,0,0,50.0,3,1,33.3,1,1,0,0,1.5,6,405,4,41.7,0,0,3,0,50.0,3,3,50.0,0,1,1,1,2,1
Brandon Flowers,4349,CB,SD,6,0,27,0,5,0,0,2,0,50.0,3,2,33.3,0,0,0,0,2.5,6,236,5,41.7,0,0,3,0,50.0,3,3,50.0,0,0,0,0,0,0
Daryl Worley,10711,CB,CAR,13,0,5,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.8,4,483,2,37.5,0,0,1,0,100.0,4,2,37.5,1,1,0,1,1,0
Tyrann Mathieu,7850,S,ARZ,10,0,1,0,1,0,0,1,0,50.0,2,1,25.0,0,0,0,0,1.2,4,333,2,37.5,0,0,0,0,50.0,2,1,50.0,1,1,0,1,1,0
Ramon Humber,5310,LB,BUF,7,0,4,0,2,0,0,1,0,66.7,2,1,25.0,0,0,0,0,12.0,3,25,2,33.3,0,0,1,0,33.3,1,1,50.0,0,0,0,0,0,0
Joe Haden,5532,CB,CLV,11,0,8,0,2,0,0,2,1,66.7,2,2,50.0,0,0,0,1,0.8,3,396,2,33.3,0,0,0,0,33.3,1,0,0.0,0,0,0,0,0,0
Eric Pinkins,8842,LB,NYG,1,0,21,1,1,0,0,1,0,33.3,1,1,50.0,0,0,0,0,100.0,3,3,2,33.3,0,1,0,0,66.7,2,1,25.0,0,0,0,0,0,0
Josh Johnson,8386,CB,JAX,3,0,15,0,0,0,0,0,0,33.3,1,0,0.0,0,0,0,0,7.1,3,42,1,33.3,0,0,0,0,66.7,2,1,50.0,1,0,0,1,0,0
Lardarius Webb,5011,S,BLT,14,0,3,0,3,0,0,3,1,100.0,8,4,31.3,1,1,0,1,1.5,8,545,4,31.3,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Jaylen Watkins,8736,S,PHI,12,0,24,0,3,0,0,2,1,40.0,2,2,50.0,0,0,0,1,2.2,5,228,3,30.0,0,0,1,0,60.0,3,1,16.7,0,0,0,0,0,0
Chris Davis,9242,CB,SF,4,0,28,0,1,0,0,0,0,60.0,3,1,33.3,1,1,0,0,17.9,5,28,2,30.0,0,0,1,0,40.0,2,1,25.0,0,0,0,1,1,0
Demontre Hurst,8359,S,CHI,7,1,6,0,1,1,0,0,0,80.0,4,1,25.0,1,1,0,0,4.7,5,107,2,30.0,0,0,1,0,20.0,1,1,50.0,0,0,0,1,1,0
A.J. Bouye,8110,CB,HST,13,0,13,0,1,0,0,0,0,60.0,3,1,33.3,1,1,0,0,1.3,5,385,2,30.0,0,0,1,0,40.0,2,1,25.0,0,0,0,1,1,0
Brian Poole,11052,CB,ATL,14,0,2,2,5,0,0,3,0,43.8,7,4,35.7,1,1,0,0,3.1,16,509,8,28.1,0,2,2,0,56.3,9,4,22.2,0,0,0,1,1,0
Jamar Taylor,7835,CB,CLV,13,0,8,1,4,0,0,3,0,44.4,4,3,37.5,0,0,0,0,2.1,9,421,5,27.8,0,1,1,0,55.6,5,2,20.0,0,0,1,0,0,1
