player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
A.J. Green,6156,WR,CIN,8,12.7,6,70.2,80.0,8,10,1,4.8,3,38,7,0,76.7,80.4,90.6,,90.5,0.6,2,0,54,0.0,0,327,3,59,93.3,305,20.8,68,117.0,84,3,78.6,257,896,252,4.3,15.2,2.94
Mike Evans,8642,WR,TB,7,16.3,1,53.0,66.7,6,9,0,8.3,4,37,30,0,62.0,78.8,87.8,,85.9,0.0,0,4,45,0.0,0,301,1,44,90.7,273,16.9,51,80.1,83,6,83.1,250,595,63,1.4,13.5,2.18
Larry Fitzgerald,1724,WR,ARZ,8,8.9,7,71.8,75.0,9,12,0,5.1,3,34,1,1,75.9,53.8,81.7,78.7,79.5,0.5,2,1,29,0.8,3,364,1,56,92.6,337,66.5,242,107.5,78,5,33.0,120,554,185,3.3,9.9,1.64
Amari Cooper,9437,WR,OAK,8,10.9,10,67.5,42.9,3,7,0,5.5,3,31,23,2,71.3,40.0,81.0,,81.5,0.0,0,0,64,0.0,0,357,3,52,91.9,328,17.1,61,109.6,77,2,81.8,292,787,287,5.5,15.1,2.4
Emmanuel Sanders,5606,WR,DEN,8,12.4,5,60.3,100.0,7,7,1,0.0,0,29,10,1,90.2,31.2,82.3,,81.8,0.0,0,3,41,0.0,0,286,2,44,92.0,263,23.1,66,81.3,73,3,76.9,220,567,130,3.0,12.9,2.16
T.Y. Hilton,7092,WR,IND,8,13.3,4,63.0,66.7,4,6,0,8.0,4,31,14,0,57.5,80.4,80.3,,79.7,0.3,1,1,63,0.0,0,377,0,46,92.0,347,56.0,211,107.6,73,4,43.8,165,709,149,3.2,15.4,2.04
Michael Crabtree,4933,WR,OAK,8,11.4,8,64.4,81.8,9,11,0,7.8,4,34,23,0,65.6,79.5,81.0,,81.5,0.0,0,2,56,0.0,0,328,6,47,91.8,301,22.6,74,104.2,73,6,77.4,254,569,140,3.0,12.1,1.89
Antonio Brown,5718,WR,PIT,7,10.7,3,66.7,68.4,13,19,1,2.0,1,29,25,0,85.4,81.7,80.7,,81.2,0.0,0,2,51,0.0,0,289,3,48,95.8,277,12.8,37,103.5,72,5,86.9,251,592,134,2.8,12.3,2.14
DeAndre Hopkins,7808,WR,HST,8,12.0,3,55.6,40.0,4,10,0,2.4,1,29,13,0,82.3,78.3,77.9,,75.9,0.0,0,7,35,0.0,0,332,2,40,95.8,318,16.0,53,47.8,72,3,84.0,279,434,78,2.0,10.9,1.36
Brandon Marshall,3064,WR,NYJ,8,14.1,2,47.9,33.3,2,6,2,12.8,5,27,22,0,45.1,81.5,71.3,,70.6,0.0,0,5,41,0.0,0,324,4,34,94.8,307,19.1,62,53.7,71,2,80.9,262,540,133,3.9,15.9,1.76
Terrelle Pryor Sr.,6944,WR,CLV,8,14.6,3,59.4,50.0,5,10,2,6.8,3,28,8,0,68.0,45.1,76.5,,82.1,0.0,0,4,44,0.0,0,324,5,41,90.4,293,8.6,28,74.1,69,3,88.0,285,532,110,2.7,13.0,1.82
Julio Jones,6158,WR,ATL,8,15.3,4,64.2,50.0,5,10,0,4.4,2,34,2,0,76.5,78.6,90.4,,90.4,0.0,0,2,75,0.0,0,282,3,43,95.0,268,28.0,79,115.1,67,4,71.6,202,859,280,6.5,20.0,3.21
Allen Robinson II,8696,WR,JAX,7,13.6,1,49.2,40.0,6,15,1,17.9,7,22,15,1,29.7,28.0,63.3,,62.2,0.0,0,3,35,0.0,0,329,1,32,91.8,302,23.4,77,62.7,65,3,76.6,252,366,60,1.9,11.4,1.21
Odell Beckham Jr.,8647,WR,NYG,7,11.7,8,62.5,28.6,2,7,1,7.0,3,26,21,1,66.9,31.6,77.9,,80.3,0.0,0,1,75,0.0,0,287,5,40,94.1,270,9.8,28,104.3,64,3,89.5,257,630,247,6.2,15.8,2.33
Demaryius Thomas,5547,WR,DEN,8,10.6,2,67.7,57.1,4,7,1,10.6,5,24,10,2,53.9,23.4,73.1,,71.1,0.7,2,1,55,0.0,0,283,3,42,91.5,259,18.4,52,109.3,62,4,80.9,229,535,190,4.5,12.7,2.07
Alshon Jeffery,7048,WR,CHI,8,14.1,1,58.1,75.0,6,8,1,12.2,5,29,6,0,54.6,77.4,72.0,,71.1,0.0,0,1,54,0.0,0,316,2,36,95.3,301,17.4,55,88.3,62,1,82.6,261,583,160,4.4,16.2,1.94
Greg Olsen,3647,TE,CAR,7,12.3,0,65.6,100.0,4,4,0,0.0,0,29,5,0,90.1,78.1,87.1,67.3,88.1,17.7,53,2,78,11.7,35,299,1,40,81.6,244,55.9,167,96.4,61,2,20.4,61,621,228,5.7,15.5,2.55
Tavon Austin,7789,WR,LA,7,7.2,2,59.0,50.0,2,4,0,14.3,6,15,26,0,38.4,84.9,63.1,75.8,61.9,4.1,10,6,43,0.8,2,242,1,36,92.6,224,56.2,136,43.0,61,2,36.4,88,299,159,4.4,8.3,1.33
