player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Anthony Castonzo,6174,T,IND,5,0,14,83.1,3,4,234,100.0,100.0,97.2,1,10,3,256,256,79.4,3,3,125,100.0,100.0,96.0,8,2,134,134
Ryan Kelly,10652,C,IND,5,0,14,79.0,2,8,234,100.0,100.0,97.9,0,10,0,256,256,80.6,2,3,125,100.0,100.0,98.0,5,0,134,134
Jack Mewhort,8694,G,IND,5,0,14,84.1,0,7,232,100.0,100.0,98.5,0,7,0,254,254,86.3,0,5,125,100.0,100.0,98.0,5,0,134,134
Donovan Smith,9467,T,TB,5,0,30,60.9,5,20,229,100.0,100.0,93.7,2,27,2,250,250,55.4,4,15,114,100.0,100.0,89.9,21,2,123,123
Ali Marpet,9494,G,TB,5,1,30,77.4,2,6,229,100.0,100.0,97.8,1,9,1,250,250,68.4,2,4,114,100.0,100.0,96.5,7,1,123,123
Demar Dotson,5410,T,TB,5,0,30,70.0,3,11,229,100.0,100.0,96.9,4,14,0,250,250,67.5,2,11,114,100.0,100.0,94.3,13,0,123,123
Marshal Yanda,3702,G,BLT,5,0,3,90.4,0,4,229,100.0,100.0,99.1,2,4,0,247,247,89.2,0,2,102,100.0,100.0,99.0,2,0,112,112
Jeremy Zuttah,4397,C,BLT,5,0,3,68.0,1,13,228,100.0,100.0,95.6,0,17,3,246,246,57.9,0,8,102,100.0,100.0,94.1,10,2,112,112
Kevin Pamphile,8784,G,TB,5,0,30,62.2,4,7,218,100.0,100.0,97.5,0,11,0,237,237,46.7,4,7,110,100.0,100.0,95.0,11,0,118,118
Joe Hawley,5641,C,TB,5,0,30,63.9,3,5,214,100.0,100.0,97.2,1,10,2,234,234,66.0,2,3,104,100.0,100.0,96.6,6,1,113,113
