player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Julius Peppers,1010,ED,GB,4,1,0,12,71.1,2,8,77,94.2,19.5,15,0,9.1,2,86,81,12,1,75.9,1,8,51,100.0,25.5,13,12.7,2,54,54,11
Dwight Freeney,1019,ED,ATL,5,0,0,2,68.6,3,15,120,99.2,20.8,25,0,10.8,4,129,128,22,0,69.6,2,12,64,100.0,28.1,18,15.6,3,70,70,17
James Harrison,1251,ED,PIT,5,0,0,25,69.7,3,7,79,68.8,17.7,14,0,6.3,0,125,86,10,0,72.9,2,4,40,86.0,25.0,10,7.5,0,50,43,6
Terrell Suggs,1326,ED,BLT,5,0,1,3,57.9,2,8,132,97.9,10.6,14,3,6.8,4,144,141,14,0,54.4,1,3,73,100.0,9.6,7,6.8,3,76,76,7
Robert Mathis,1447,ED,IND,5,0,0,14,58.5,1,11,129,94.0,11.6,15,0,4.7,0,151,142,12,0,58.1,1,6,54,94.1,14.8,8,6.5,0,68,64,7
Cullen Jenkins,1637,DI,WAS,4,0,0,32,55.1,0,2,51,96.5,2.0,1,0,2.0,0,57,55,2,0,59.7,0,2,18,100.0,5.6,1,5.6,0,21,21,2
DeAngelo Hall,1729,S,WAS,3,0,0,32,54.9,0,0,3,3.2,0.0,0,0,0.0,0,93,3,0,0,59.7,0,0,1,2.8,0.0,0,0.0,0,36,1,0
Vince Wilfork,1742,DI,HST,5,0,0,13,67.7,1,5,88,100.0,8.0,7,0,3.4,0,96,96,6,0,57.8,1,1,25,100.0,4.0,1,4.0,0,27,27,2
Karlos Dansby,1754,LB,CIN,5,0,0,7,53.8,0,1,16,13.1,0.0,0,1,3.1,0,145,19,1,0,48.3,0,0,7,12.0,0.0,0,0.0,0,75,9,0
Daryl Smith,1760,LB,TB,5,0,0,30,52.9,0,2,23,33.3,4.3,1,0,4.3,0,72,24,2,0,58.7,0,1,7,42.1,14.3,1,7.1,0,19,8,1
Antonio Smith,1856,DI,HST,2,0,0,13,72.9,2,1,14,100.0,21.4,3,0,17.9,1,16,16,4,0,60.3,1,1,7,100.0,28.6,2,28.6,1,9,9,3
Mike Adams,1972,S,IND,5,0,0,14,64.9,2,0,15,6.8,0.0,0,0,6.7,0,219,15,2,0,62.2,1,0,7,7.8,0.0,0,7.1,0,90,7,1
DeMarcus Ware,2228,ED,DEN,2,0,0,10,76.2,0,2,28,97.0,21.4,6,0,14.3,3,33,32,5,0,81.7,0,1,18,100.0,27.8,5,19.4,3,20,20,4
Thomas Davis Sr.,2231,LB,CAR,5,1,0,5,68.9,1,5,36,24.2,22.2,8,0,11.1,1,157,38,7,0,55.6,0,0,12,20.3,8.3,1,0.0,0,59,12,0
Derrick Johnson,2232,LB,KC,4,0,0,16,60.2,0,1,10,6.4,0.0,0,0,15.0,1,156,10,2,0,65.7,0,0,5,10.6,0.0,0,20.0,1,47,5,1
