team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
GB,12,8,358,3,41,358,91.6,52,8
NO,20,8,357,9,47,357,90.2,63,7
OAK,23,9,374,8,64,374,89.6,75,3
PHI,24,8,299,11,37,299,89.0,57,9
TEN,31,9,319,7,57,319,87.8,71,7
KC,16,8,318,8,42,318,87.4,65,15
DAL,9,8,272,8,49,272,87.3,63,6
CHI,6,8,308,14,51,308,87.2,72,7
WAS,32,8,333,12,59,333,87.2,78,7
NYG,21,8,319,9,59,319,86.8,76,8
PIT,25,8,334,10,57,334,86.7,78,11
JAX,15,8,371,8,73,371,86.7,90,9
ATL,2,9,345,19,45,345,86.1,80,16
CIN,7,8,328,8,62,328,84.8,85,15
LA,26,8,310,11,64,310,84.7,85,10
CAR,5,8,313,12,65,313,84.5,87,10
CLV,8,9,367,21,70,367,84.3,103,12
NE,19,8,283,17,54,283,83.9,81,10
ARZ,1,8,353,16,62,353,83.6,97,19
BLT,3,8,358,19,77,358,83.5,107,11
DET,11,9,352,9,83,352,83.2,105,13
TB,30,8,349,26,79,349,83.0,112,7
BUF,4,9,325,13,83,325,82.5,105,9
HST,13,8,318,18,70,318,82.4,100,12
NYJ,22,9,351,14,78,351,82.3,108,16
SEA,29,8,308,23,73,308,82.1,103,7
DEN,10,9,341,14,84,341,81.8,111,13
MIN,18,8,300,26,55,300,81.5,96,15
SF,28,8,299,10,83,299,80.8,104,11
SD,27,9,352,18,89,352,80.3,123,16
MIA,17,8,269,19,61,269,79.6,95,15
IND,14,9,408,16,121,408,77.8,159,22
