player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Desmond Trufant,7803,CB,ATL,6,0,2,0,0,0,0,0,0,100.0,2,2,100.0,2,2,0,0,0.7,2,273,2,100.0,0,0,0,0,0.0,0,0,,0,0,0,2,2,0
Briean Boddy-Calhoun,10903,CB,CLV,4,0,8,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.9,1,107,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Orlando Scandrick,4457,CB,DAL,2,0,9,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.8,1,57,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Darius Slay,7817,CB,DET,6,0,11,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,0.4,1,225,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Duke Ihenacho,7297,S,WAS,4,0,32,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,1.1,1,90,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Josh Norman,7649,CB,WAS,6,0,32,0,1,0,0,0,0,,0,0,,0,0,0,0,0.4,1,225,1,50.0,0,0,0,0,,0,0,,0,0,0,0,0,0
Joe Haden,5532,CB,CLV,4,0,8,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.6,1,159,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Shareece Wright,6241,CB,BLT,5,0,3,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.6,1,169,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Tyrann Mathieu,7850,S,ARZ,6,0,1,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0.5,1,216,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Lardarius Webb,5011,S,BLT,6,0,3,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,0.4,1,229,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
