player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Julius Peppers,1010,ED,GB,10,7,0,12,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,66,2,0,0,0,0,0,,,0,0,-2.5,50.0,2.9,4.0,2.0,0,1,50.0,59.4,0,5,,0,1,56.3,1,4,57.1,136,2,0,2,0,5,9,1.3,5.0
Dwight Freeney,1019,ED,ATL,9,1,0,2,0,,,1.3,,,0,0,,60.0,0,,100.0,1,0,0.0,0,1,100.0,77,0,0,0,0,0,0,0.0,,0,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,114,2,0,0,0,0,0,,
James Harrison,1251,ED,PIT,10,68,0,25,0,22.0,0.0,11.5,,5.0,0,0,0.0,64.6,0,,0.0,0,0,39.6,0,6,8.8,52,1,1,1,0,0,0,0.0,,0,1,5.0,100.0,34.4,13.3,13.3,0,0,0.0,71.4,0,9,0.0,0,0,99.0,4,53,77.9,154,2,4,4,0,31,11,0.6,7.8
Terence Newman,1321,CB,MIN,10,332,0,18,0,13.6,42.9,100.0,14.8,6.4,1,2,14.3,68.4,1,15,16.7,1,2,25.6,6,100,30.1,100,1,5,14,0,59,15,0.7,9.8,0,2,13.5,53.6,98.1,13.4,7.2,0,6,21.4,85.9,0,24,5.0,1,4,65.3,15,209,63.0,213,4,17,28,0,125,7,0.6,8.3
Terrell Suggs,1326,ED,BLT,9,7,0,3,0,,,1.4,,,0,0,,36.9,0,,,0,0,0.0,0,1,14.3,74,2,0,0,0,0,0,0.0,,0,1,0.0,100.0,2.8,5.0,5.0,0,0,0.0,79.9,0,1,16.7,1,0,79.2,1,5,71.4,181,6,4,1,0,1,1,0.2,1.0
Robert Mathis,1447,ED,IND,10,26,0,14,0,0.0,100.0,5.1,7.0,7.0,0,0,0.0,67.1,0,5,0.0,0,0,87.5,1,7,26.9,136,1,1,1,0,5,5,0.7,5.0,0,0,10.5,100.0,12.3,8.5,8.5,0,0,0.0,42.0,0,14,0.0,0,0,114.6,2,17,65.4,138,1,1,2,0,23,2,1.4,11.5
Cullen Jenkins,1637,DI,WAS,9,2,0,32,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,46,0,1,0,0,0,0,,,0,0,,,1.8,,,0,0,,60.0,0,,,0,0,0.0,0,1,50.0,55,0,0,0,0,0,0,0.0,
DeAngelo Hall,1729,S,WAS,3,90,0,32,0,1.7,66.7,92.9,12.0,8.0,0,1,33.3,69.6,0,6,16.7,1,1,70.1,2,26,28.9,28,1,5,3,0,7,9,0.3,3.5,0,0,8.3,100.0,98.2,13.0,13.0,0,0,0.0,42.3,0,29,0.0,0,0,118.8,4,55,61.1,56,0,2,4,0,72,39,1.4,18.0
Karlos Dansby,1754,LB,CIN,10,243,0,7,0,12.3,75.0,78.3,8.8,6.6,0,0,0.0,45.6,0,44,0.0,0,0,156.3,6,54,22.2,69,2,6,8,1,100,30,1.9,16.7,0,2,3.5,85.7,90.6,6.9,5.9,0,1,3.6,45.9,0,39,18.5,5,1,116.7,24,174,71.6,192,9,20,28,1,256,173,1.6,10.7
Daryl Smith,1760,LB,TB,10,119,0,30,0,7.0,50.0,46.8,21.0,10.5,0,0,0.0,58.9,0,9,,0,0,62.5,1,22,18.5,47,0,0,2,0,9,12,0.4,9.0,0,0,7.3,100.0,80.2,12.7,12.7,0,0,0.0,51.2,1,33,16.7,1,0,79.2,6,81,68.1,101,0,5,6,0,114,70,1.5,19.0
