player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Daryl Worley,10711,CB,CAR,5,12,,6.0,5,0,39.6,0,2,0,0,0,0.0
Leodis McKelvin,4325,CB,PHI,5,10,,5.0,24,0,39.6,0,2,0,0,0,0.0
Robert Nelson,8989,CB,HST,3,5,,5.0,13,1,0.0,0,1,0,0,0,0.0
Prince Amukamara,6171,CB,JAX,8,27,,27.0,15,0,39.6,0,1,0,0,0,0.0
Deji Olatoye,9061,CB,ATL,1,2,,2.0,2,0,39.6,0,1,0,0,0,0.0
Marcus Sherels,6017,CB,MIN,1,2,,1.0,18,0,39.6,0,2,0,0,0,0.0
Ha Ha Clinton-Dix,8656,S,GB,12,19,,9.5,12,1,0.0,0,2,0,0,0,0.0
Sam Shields,5943,CB,GB,1,1,,1.0,12,0,39.6,0,1,0,0,0,0.0
Shane Ray,9456,ED,DEN,4,6,,6.0,10,0,39.6,0,1,0,0,0,0.0
Cody Davis,8458,S,LA,3,4,,4.0,26,0,39.6,0,1,0,0,0,0.0
Dre Kirkpatrick,7023,CB,CIN,6,12,,6.0,7,0,39.6,0,2,0,0,0,0.0
P.J. Williams,9511,CB,NO,1,2,,1.0,20,0,39.6,0,2,0,0,0,0.0
Mychal Kendricks,7049,LB,PHI,7,8,,8.0,24,0,39.6,0,1,0,0,0,0.0
Derrick Morgan,5541,ED,TEN,8,12,,12.0,31,0,39.6,0,1,0,0,0,0.0
Ramik Wilson,9551,LB,KC,1,1,,1.0,16,0,39.6,0,1,0,0,0,0.0
Ray-Ray Armstrong,8271,LB,SF,2,7,,7.0,28,1,0.0,0,1,0,0,0,0.0
Paul Worrilow,8141,LB,ATL,4,4,,4.0,2,0,39.6,0,1,0,0,0,0.0
Andrew Adams,11240,S,NYG,11,44,,44.0,21,0,39.6,0,1,0,0,0,0.0
Rob Ninkovich,3080,ED,NE,6,8,,8.0,19,0,39.6,0,1,0,0,0,0.0
Jayron Kearse,10878,S,MIN,2,2,,2.0,18,0,39.6,0,1,0,0,0,0.0
Cameron Lynch,9911,LB,TB,1,3,,3.0,30,0,39.6,0,1,0,0,0,0.0
Jonathan Meeks,7925,S,BUF,2,3,,3.0,4,0,39.6,0,1,0,0,0,0.0
Shareece Wright,6241,CB,BLT,4,9,,9.0,3,0,39.6,0,1,0,0,0,0.0
Eli Apple,10644,CB,NYG,8,15,,15.0,21,0,39.6,0,1,0,0,0,0.0
Vontae Davis,4948,CB,IND,10,21,,10.5,14,0,39.6,0,2,0,0,0,0.0
Artie Burns,10659,CB,PIT,7,10,,5.0,25,0,39.6,0,2,0,0,0,0.0
Myles Jack,10670,LB,JAX,8,13,,13.0,15,0,39.6,0,1,0,0,0,0.0
Derrick Kindred,10763,S,CLV,8,25,,25.0,8,0,39.6,0,1,0,0,0,0.0
J.J. Wilcox,7861,S,DAL,6,8,,8.0,9,0,39.6,0,1,0,0,0,0.0
Deon Bush,10758,S,CHI,3,10,,10.0,6,0,39.6,0,1,0,0,0,0.0
James Bradberry,10696,CB,CAR,7,8,,8.0,5,0,39.6,0,1,0,0,0,0.0
Tracy Porter,4354,CB,CHI,6,8,,8.0,6,0,39.6,0,1,0,0,0,0.0
Telvin Smith Sr.,8779,LB,JAX,14,36,36.0,12.0,15,0,66.0,1,3,0,26,22,0.72
Eddie Pleasant,7593,S,HST,11,36,36.0,12.0,13,0,43.8,1,3,0,10,0,0.28
Derrick Johnson,2232,LB,KC,10,26,26.0,8.7,16,0,42.4,1,3,0,9,11,0.35
Rodney McLeod,7271,S,PHI,11,26,26.0,26.0,24,0,79.2,1,1,0,0,0,0.0
Justin Coleman,9892,CB,NE,6,43,21.5,4.8,19,0,39.6,2,9,0,22,0,0.51
Darian Stewart,5820,S,DEN,13,42,21.0,10.5,10,0,66.7,2,4,0,22,15,0.52
Johnathan Joseph,2969,CB,HST,9,21,21.0,7.0,13,0,61.8,1,3,0,23,10,1.1
D'Qwell Jackson,2979,LB,IND,11,41,20.5,13.7,14,0,84.0,2,3,0,19,11,0.46
Chad Greenway,2962,LB,MIN,7,20,20.0,20.0,18,0,116.7,1,1,0,12,7,0.6
Adrian Phillips,9177,S,SD,10,20,20.0,20.0,27,0,158.3,1,1,1,64,31,3.2
Chris Lewis-Harris,7624,CB,BLT,3,20,20.0,5.0,3,1,0.0,1,4,0,8,0,0.4
Josh Norman,7649,CB,WAS,12,39,19.5,13.0,32,0,79.9,2,3,0,16,19,0.41
Mackensie Alexander,10688,CB,MIN,3,19,19.0,19.0,18,0,118.8,1,1,1,1,0,0.05
