player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Julius Peppers,1010,ED,GB,13,1,-2.5,50.0,5.0,16.0,8.0,0,0,1,50.0,12,58.8,71.9,60.1,73.3,62.4,53.3,0,5,33.3,1,1,2,56.3,1,16,320,7,1,2,0,5,9,0.3,5.0
Dwight Freeney,1019,ED,ATL,12,0,,,0.4,,,0,0,0,,2,60.0,65.3,89.4,65.0,50.7,42.4,0,,100.0,1,0,1,0.0,0,1,283,2,0,0,0,0,0,0.0,
James Harrison,1251,ED,PIT,13,2,8.4,77.8,36.1,15.1,11.8,0,0,0,0.0,25,72.7,87.3,86.2,85.1,72.8,75.0,1,18,10.0,1,0,0,52.5,7,112,310,6,7,9,0,55,15,0.5,7.9
Terence Newman,1321,CB,MIN,12,2,14.1,50.0,99.0,14.4,7.2,0,1,8,16.0,18,83.5,82.1,85.8,53.9,67.2,66.9,1,24,6.5,2,6,3,60.2,25,384,388,8,27,50,1,217,26,0.6,8.7
Terrell Suggs,1326,ED,BLT,12,1,0.0,100.0,2.6,10.0,10.0,1,0,0,0.0,3,50.2,76.1,32.9,72.0,81.1,76.8,0,1,16.7,1,0,4,79.2,1,10,381,10,4,1,0,1,1,0.1,1.0
Robert Mathis,1447,ED,IND,11,0,7.0,100.0,8.7,9.0,9.0,0,0,0,0.0,14,49.5,49.8,88.5,55.5,43.3,44.3,0,14,0.0,0,0,0,105.6,3,27,309,3,2,3,0,28,7,1.0,9.3
Cullen Jenkins,1637,DI,WAS,12,0,,,1.3,,,0,0,0,,32,57.2,57.4,59.5,61.5,55.7,57.7,0,,0.0,0,0,1,0.0,0,2,150,0,1,0,0,0,0,0.0,
DeAngelo Hall,1729,S,WAS,3,0,5.4,85.7,96.8,14.0,12.0,0,0,1,14.3,32,53.2,55.4,79.3,54.9,64.9,57.1,0,29,12.5,1,1,0,113.7,6,90,93,1,7,7,0,79,48,0.9,13.2
Vince Wilfork,1742,DI,HST,12,0,,,0.5,,,0,0,0,,13,59.5,56.7,55.7,59.4,56.9,76.5,0,,0.0,0,0,2,0.0,0,1,213,1,1,0,0,0,0,0.0,
Karlos Dansby,1754,LB,CIN,13,3,4.7,81.3,87.0,8.1,6.6,1,0,1,2.1,7,54.0,60.3,57.8,57.0,70.1,66.8,0,44,12.8,6,1,2,117.3,39,328,377,15,38,48,2,423,250,1.3,10.8
Daryl Smith,1760,LB,TB,13,0,6.2,88.9,72.4,16.0,14.2,0,0,0,0.0,30,57.2,56.4,83.9,53.8,56.6,57.8,1,33,14.3,1,0,0,79.2,8,139,192,1,6,9,0,127,88,1.0,15.9
Mike Adams,1972,S,IND,12,1,6.8,76.2,95.9,27.1,20.7,0,1,0,0.0,14,68.5,73.7,88.3,61.0,80.8,90.0,1,34,0.0,0,0,0,112.0,16,466,486,5,26,21,2,174,64,0.4,10.9
Adam Jones,2223,CB,CIN,13,2,10.6,66.1,99.8,12.6,8.3,1,1,4,6.5,7,69.0,69.6,65.5,57.7,69.7,54.3,1,41,17.0,8,3,4,94.2,41,539,540,5,37,62,3,410,143,0.8,10.0
DeMarcus Ware,2228,ED,DEN,8,0,,,2.6,,,2,0,0,,10,63.5,63.4,4.6,68.5,62.5,57.6,0,,0.0,0,0,4,0.0,0,5,189,4,1,0,0,0,0,0.0,
Thomas Davis Sr.,2231,LB,CAR,13,4,3.9,77.6,84.7,8.6,6.7,0,0,0,0.0,5,57.2,68.6,64.6,90.5,67.8,71.7,3,42,12.5,6,0,1,104.0,52,466,550,13,38,67,5,501,352,1.1,9.6
