player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Julius Peppers,1010,ED,GB,1,0,,0,0,12,55.7,45.0,77.5,52.6,53.3,,,0,0,4,4,0.0,0,0
Dwight Freeney,1019,ED,ATL,1,0,,0,0,2,,45.9,78.8,59.7,38.3,,,0,0,6,6,0.0,0,0
James Harrison,1251,ED,PIT,1,0,-1.0,0,0,25,78.2,75.0,76.2,57.0,67.2,74.4,0.0,0,0,3,3,33.3,1,1
Terence Newman,1321,CB,MIN,1,0,,0,0,18,53.5,53.0,77.0,,52.1,66.1,100.0,1,0,22,22,0.0,0,0
Terrell Suggs,1326,ED,BLT,1,0,1.5,0,0,3,60.0,55.6,76.8,52.8,60.2,74.5,0.0,0,0,11,11,9.1,1,2
Robert Mathis,1447,ED,IND,1,0,6.5,0,0,14,60.7,52.3,79.7,47.8,61.6,72.8,0.0,0,0,13,13,7.7,1,2
DeAngelo Hall,1729,S,WAS,1,0,8.3,0,0,32,58.4,61.8,76.9,59.7,67.7,80.6,0.0,0,0,30,30,0.0,0,3
Vince Wilfork,1742,DI,HST,1,0,-1.0,0,0,13,,51.6,76.7,58.5,51.1,67.6,0.0,0,0,15,16,6.7,1,1
Karlos Dansby,1754,LB,CIN,1,2,4.7,0,0,7,51.2,51.3,78.2,54.1,57.9,59.7,16.7,1,0,29,29,6.9,2,3
Daryl Smith,1760,LB,TB,1,0,2.0,0,0,30,28.7,34.3,74.1,55.6,64.5,72.8,0.0,0,0,11,11,18.2,2,2
Mike Adams,1972,S,IND,1,0,6.7,0,0,14,67.6,73.5,78.4,60.0,72.2,84.1,0.0,0,0,23,23,4.3,1,3
Adam Jones,2223,CB,CIN,1,0,14.0,0,0,7,67.6,68.6,78.5,,68.0,78.5,0.0,0,0,27,27,0.0,0,1
DeMarcus Ware,2228,ED,DEN,1,1,,0,0,10,60.0,63.1,77.1,74.0,41.0,42.8,50.0,1,0,9,9,0.0,0,0
Thomas Davis Sr.,2231,LB,CAR,1,0,2.0,0,0,5,51.0,51.2,77.5,62.2,53.5,46.3,33.3,1,0,26,26,7.7,2,2
Derrick Johnson,2232,LB,KC,1,3,2.5,0,0,16,56.8,62.6,77.9,53.9,68.7,45.4,12.5,1,0,31,32,9.7,3,4
Jonathan Babineaux,2276,DI,ATL,1,0,1.0,0,0,2,60.0,52.7,76.6,65.8,58.3,25.1,0.0,0,0,14,15,14.3,2,2
