player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Shane Lechler,673,P,HST,12,53,53,4.28,38.87,47.7,12.4,0,0,2,9,13,68.8,20,62,5,0,62.3,408,33,53,226.81,2060,3,2528
Matt Bryant,1223,K,ATL,1,2,2,4.02,33.5,33.5,,0,0,0,2,2,59.2,0,36,0,0,0.0,0,0,2,8.03,67,0,67
Andy Lee,1906,P,CAR,9,36,36,4.45,40.36,49.14,13.9,0,0,7,7,5,72.4,18,76,1,0,47.2,236,17,36,160.03,1453,4,1769
Donnie Jones,1939,P,PHI,12,50,50,4.26,39.26,45.02,10.5,0,0,10,13,24,64.2,17,72,4,0,32.0,168,16,50,212.87,1963,6,2251
Dustin Colquitt,2316,P,KC,12,60,60,4.56,41.42,46.3,5.3,0,0,5,18,16,76.9,28,64,3,0,41.7,133,25,60,273.72,2485,8,2778
Sam Koch,3148,P,BLT,12,63,63,4.31,39.43,45.95,11.8,0,0,7,11,3,81.7,29,68,13,0,44.4,331,28,63,271.83,2484,4,2895
Jon Ryan,3493,P,SEA,12,56,56,4.35,41.05,45.61,8.5,1,0,10,15,29,67.1,22,62,4,0,41.1,195,23,57,243.54,2299,3,2554
Brett Kern,4580,P,TEN,12,54,54,4.38,38.17,44.96,12.3,0,0,5,17,31,71.7,22,71,2,0,46.3,307,25,54,236.64,2061,3,2428
Kevin Huber,5066,P,CIN,12,57,57,4.14,38.89,45.81,9.8,0,0,7,12,7,55.2,21,63,3,0,52.6,294,30,57,236.07,2217,5,2611
Thomas Morstead,5088,P,NO,12,45,45,4.58,42.42,48.18,7.6,0,0,7,6,20,85.2,20,66,6,0,46.7,159,21,45,205.95,1909,5,2168
Pat McAfee,5146,P,IND,12,44,44,4.44,43.34,50.0,9.5,0,0,4,12,14,89.6,18,74,6,0,31.8,133,14,44,195.51,1907,8,2200
Britton Colquitt,5192,P,CLV,12,62,62,4.43,40.76,45.4,8.3,0,0,8,18,8,70.3,19,65,3,0,48.4,248,30,62,274.36,2527,2,2815
Graham Gano,5443,K,CAR,1,4,4,4.35,29.75,45.0,10.5,0,0,0,0,5,50.2,0,54,0,0,50.0,21,2,4,17.41,119,2,180
Matt Bosher,6344,P,ATL,10,27,27,4.46,41.96,46.89,11.3,0,0,4,11,2,68.6,16,68,0,0,37.0,113,10,27,120.36,1133,1,1266
Chris Jones,6798,P,DAL,12,39,39,4.7,40.72,46.44,8.9,0,0,4,10,9,83.6,17,63,5,0,41.0,143,16,39,183.48,1588,4,1811
Bryan Anger,7072,P,TB,12,54,54,4.75,42.13,45.87,6.1,0,0,5,21,30,86.9,27,59,3,0,37.0,122,20,54,256.54,2275,4,2477
Brad Nortman,7192,P,JAX,12,60,60,4.49,38.27,46.33,14.3,0,0,12,13,15,65.5,25,78,3,0,40.0,344,24,60,269.69,2296,7,2780
Johnny Hekker,7252,P,LA,12,72,72,4.42,45.81,47.49,3.7,0,0,9,27,26,82.5,45,78,8,0,37.5,101,27,72,318.13,3298,1,3419
Drew Butler,7302,P,ARZ,6,27,27,4.42,35.41,41.26,9.9,0,0,2,7,1,49.0,9,51,2,0,59.3,158,16,27,119.47,956,0,1114
Marquette King,7410,P,OAK,12,57,57,4.43,42.54,48.21,12.2,0,0,12,11,23,89.4,29,72,9,2,35.1,243,20,57,252.54,2425,4,2748
Ryan Quigley,7573,P,ARZ,6,34,34,4.71,38.26,41.65,9.4,1,0,5,18,1,65.9,15,55,1,0,23.5,75,8,35,160.26,1301,2,1416
Jeff Locke,7937,P,MIN,12,63,63,4.45,40.0,43.13,7.6,0,0,13,25,18,67.5,31,72,3,0,28.6,137,18,63,280.29,2520,3,2717
Sam Martin,7947,P,DET,12,46,46,4.56,44.78,48.63,6.3,0,0,3,14,11,77.0,22,63,3,0,54.3,157,25,46,209.88,2060,1,2237
Colton Schmidt,8104,P,BUF,12,57,57,4.32,38.56,42.11,6.5,0,0,6,6,4,57.8,21,58,17,0,43.9,162,25,57,246.32,2198,2,2400
Ryan Allen,8242,P,NE,12,52,52,4.21,40.81,43.81,5.1,0,0,9,16,19,63.3,22,57,4,0,36.5,96,19,52,218.96,2122,3,2278
Brad Wing,8256,P,NYG,12,66,66,4.27,40.7,47.0,11.5,0,0,14,12,21,68.5,25,63,8,0,36.4,276,24,66,281.95,2686,7,3102
Tress Way,8358,P,WAS,12,31,31,4.43,37.48,43.58,7.8,0,0,3,6,32,69.5,13,61,4,0,45.2,109,14,31,137.33,1162,4,1351
Pat O'Donnell,8826,P,CHI,12,58,58,4.44,38.21,43.52,13.4,0,0,4,28,6,71.7,22,67,4,0,29.3,228,17,58,257.64,2216,4,2524
Chandler Catanzaro,9140,K,ARZ,1,2,2,3.61,33.0,33.0,,0,0,1,0,1,58.8,0,47,1,0,0.0,0,0,2,7.21,66,0,66
Michael Palardy,9277,P,CAR,3,18,18,4.36,37.89,45.22,7.7,0,0,3,1,5,60.6,6,56,0,0,66.7,92,12,18,78.47,682,2,814
Jacob Schum,9373,P,GB,12,37,37,4.41,39.97,44.68,9.5,0,0,5,10,12,66.9,11,65,7,0,32.4,114,12,37,163.09,1479,3,1653
Bradley Pinion,9598,P,SF,12,72,72,4.5,39.43,44.22,9.2,0,0,8,29,28,59.4,19,65,1,0,43.1,285,31,72,323.99,2839,3,3184
Matt Darr,9812,P,MIA,12,66,66,4.3,40.33,45.08,8.0,0,1,7,20,17,73.2,25,66,6,1,43.9,233,29,66,283.51,2662,4,2975
Matt Wile,9972,K,ATL,1,2,2,5.05,52.0,58.0,6.0,0,0,0,0,2,68.0,0,59,0,0,100.0,12,2,2,10.1,104,0,116
Jordan Berry,10236,P,PIT,12,54,54,4.38,40.67,45.44,9.9,1,0,7,14,25,73.3,23,63,9,0,40.7,218,22,55,236.7,2196,2,2454
Drew Kaser,10813,P,SD,12,45,45,4.28,40.36,45.22,5.6,0,0,4,8,27,47.0,17,62,4,0,55.6,139,25,45,192.61,1816,4,2035
Riley Dixon,10862,P,DEN,12,65,65,4.39,41.42,45.94,6.7,0,0,9,17,10,68.5,21,68,4,0,44.6,194,29,65,285.22,2692,5,2986
Lachlan Edwards,10869,P,NYJ,12,57,57,4.37,37.84,43.32,9.3,0,0,7,14,22,52.1,19,59,6,0,47.4,252,27,57,248.81,2157,3,2469
